
2026-04-12 23:14:33
业绩预测：
代码	名称	公告类型	周期	营收/利润	营收/利润比	近三季度财报	最近一年财报	公告内容
000421	 南京公用	"2026-04-13
报表披露"	"年报
202512"	 0|0	   0%|4%	               None	"
0%
4%"	                                                                                                             2025年年报归属净利润4808万元，同比增长4.70%，基本每股收益0.0836元
920394	 民士达：	"2026-04-13
报表披露"	" 季报
20263"	 0|0	   0%|0%	"            3
0%
0%"	  None	                                                                                                                                  于2026-04-13披露2026年一季报
920866	 绿亨科技	"2026-04-13
报表披露"	"年报
202512"	 0|0	   0%|0%	"12, 9
2%, 2%
4%, 4%"	  None	                                                                                                                                   于2026-04-13披露2025年年报
000055	 方大集团	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-5.155亿元，同比下降455.95%，基本每股收益-0.48元
000551	 创元科技	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润2.95亿元，同比增长17.69%，基本每股收益0.6105元
000949	 新乡化纤	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润1.98亿元，同比下降19.36%，基本每股收益0.1195元
002083	 孚日股份	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润4.284亿元，同比增长23.16%，基本每股收益0.47元
002107	 沃华医药	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2026年一季报归属净利润3665万元，同比增长60.32%，基本每股收益0.06元
002229	 鸿博股份	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-1.458亿元，同比增长50.30%，基本每股收益-0.2956元
002246	 北化股份	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润2.63亿元，同比增长1029.22%，基本每股收益0.48元
002306	*ST云网	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-5537万元，同比下降66.14%，基本每股收益-0.0676元
002583	 海能达：	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-2.578亿元，同比增长92.60%，基本每股收益-0.1418元
002827	 高争民爆	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润1.98亿元，同比增长33.64%，基本每股收益0.72元
002847	 盐津铺子	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润7.484亿元，同比增长16.95%，基本每股收益2.78元
200055	 方大Ｂ：	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-5.155亿元，同比下降455.95%，基本每股收益-0.48元
300242	 佳云科技	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-3597万元，同比增长66.06%，基本每股收益-0.0567元
300301	 ST长方	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                        2025年年报归属净利润-1.503亿元，同比下降345.67%，基本每股收益-0.1812元
300394	 天孚通信	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润20.17亿元，同比增长50.15%，基本每股收益2.596元
300688	 创业黑马	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润-4909万元，同比增长53.49%，基本每股收益-0.3元
301113	 雅艺科技	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润757.9万元，同比下降32.14%，基本每股收益0.08元
600128	 苏豪弘业	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                               2025年年报归属净利润4827万元，同比增长44.47%，基本每股收益0.2元
600130	*ST波导	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润525.1万元，同比增长2.73%，基本每股收益0.01元
600257	 大湖股份	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润506.5万元，同比增长106.58%，基本每股收益0.01元
600267	 海正药业	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润5.407亿元，同比下降10.06%，基本每股收益0.46元
600619	 海立股份	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润7182万元，同比增长112.18%，基本每股收益0.07元
601069	 西部黄金	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润4.72亿元，同比增长86.09%，基本每股收益0.5159元
603239	 浙江仙通	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润2.219亿元，同比增长29.22%，基本每股收益0.82元
603799	 华友钴业	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润61.1亿元，同比增长47.07%，基本每股收益3.34元
605016	 百龙创园	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润3.686亿元，同比增长50.06%，基本每股收益0.88元
688041	 海光信息	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2026年一季报归属净利润6.871亿元，同比增长35.82%，基本每股收益0.3元
688526	 科前生物	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                               2025年年报归属净利润4.187亿元，同比增长9.51%，基本每股收益0.9元
900910	 海立Ｂ股	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润7182万元，同比增长112.18%，基本每股收益0.07元
920009	 丹娜生物	"2026-04-08
报表披露"	     None	None	    None	               None	  None	                                                                                                                 2025年年报归属净利润9774万元，同比增长12.10%，基本每股收益2元
000409	 云鼎科技	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润8241万元，同比下降11.15%，基本每股收益0.1241元
000987	 越秀资本	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润35.19亿元，同比增长53.42%，基本每股收益0.699元
002072	 凯瑞德：	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                        2026年一季报归属净利润-449.5万元，同比下降76.03%，基本每股收益-0.0122元
002644	 佛慈制药	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润4921万元，同比下降18.08%，基本每股收益0.0964元
002697	 红旗连锁	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润4.806亿元，同比下降7.78%，基本每股收益0.35元
002760	 凤形股份	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润2017万元，同比增长133.16%，基本每股收益0.19元
002771	 真视通：	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-6361万元，同比下降1000.74%，基本每股收益-0.3元
002959	 小熊电器	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润3.925亿元，同比增长36.40%，基本每股收益2.498元
003018	 金富科技	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.009亿元，同比下降28.56%，基本每股收益0.39元
300001	 特锐德：	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润12.43亿元，同比增长35.62%，基本每股收益1.2元
300030	 阳普医疗	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1453万元，同比增长112.32%，基本每股收益0.05元
300180	 华峰超纤	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润6677万元，同比下降5.98%，基本每股收益0.0379元
300340	 科恒股份	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-2.186亿元，同比下降14.07%，基本每股收益-0.79元
300539	 横河精密	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润5276万元，同比增长38.83%，基本每股收益0.22元
301078	 孩子王：	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润2.976亿元，同比增长64.21%，基本每股收益0.2379元
600125	 铁龙物流	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润5.251亿元，同比增长37.48%，基本每股收益0.402元
600127	 金健米业	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润377.3万元，同比增长69.28%，基本每股收益0.0059元
600241	 时代万恒	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-1.318亿元，同比下降780.07%，基本每股收益-0.45元
600415	 小商品城	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润42.04亿元，同比增长36.76%，基本每股收益0.77元
600601	 方正科技	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润4.722亿元，同比增长83.46%，基本每股收益0.11元
600833	 第一医药	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润5775万元，同比下降64.59%，基本每股收益0.26元
601098	 中南传媒	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润15.94亿元，同比增长16.20%，基本每股收益0.89元
603112	 华翔股份	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润5.579亿元，同比增长18.55%，基本每股收益1.1元
603335	 迪生力：	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润4848万元，同比增长133.48%，基本每股收益0.11元
603806	 福斯特：	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润7.697亿元，同比下降41.14%，基本每股收益0.3元
605006	 山东玻纤	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润-1343万元，同比增长86.42%，基本每股收益-0.02元
605286	 同力天启	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.987亿元，同比下降19.37%，基本每股收益1.18元
688252	 天德钰：	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润2.335亿元，同比下降15.05%，基本每股收益0.57元
688332	 中科蓝讯	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润14.15亿元，同比增长371.66%，基本每股收益11.75元
688557	 兰剑智能	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润1.095亿元，同比下降2.32%，基本每股收益1.07元
688663	 新风光：	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润9541万元，同比下降47.00%，基本每股收益0.69元
688669	 聚石化学	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                                                   于2026-04-09披露2025年年报
920111	 聚星科技	"2026-04-09
报表披露"	     None	None	    None	               None	  None	                                                                                                                2025年年报归属净利润1.2亿元，同比增长3.42%，基本每股收益0.77元
000048	 京基智农	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润1.528亿元，同比下降78.59%，基本每股收益0.2965元
000155	 川能动力	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润5.025亿元，同比下降30.87%，基本每股收益0.27元
000506	 招金黄金	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润1.589亿元，同比增长224.66%，基本每股收益0.17元
000531	 穗恒运Ａ	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润3.025亿元，同比增长81.54%，基本每股收益0.2925元
000762	 西藏矿业	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-3021万元，同比下降127.04%，基本每股收益-0.06元
000778	 新兴铸管	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润9.472亿元，同比增长465.67%，基本每股收益0.2389元
000859	 国风新材	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润-7247万元，同比下降3.94%，基本每股收益-0.08元
001282	 三联锻造	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.098亿元，同比下降24.97%，基本每股收益0.49元
001288	 运机集团	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.957亿元，同比增长24.42%，基本每股收益0.84元
001306	 夏厦精密	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-1674万元，同比下降126.96%，基本每股收益-0.27元
001391	 国货航：	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润25.85亿元，同比增长32.33%，基本每股收益0.21元
002065	 东华软件	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润4.773亿元，同比下降4.49%，基本每股收益0.1489元
002066	 瑞泰科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-5777万元，同比下降201.31%，基本每股收益-0.249元
002155	 湖南黄金	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润14.88亿元，同比增长75.77%，基本每股收益0.95元
002297	 博云新材	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润6185万元，同比增长192.00%，基本每股收益0.1079元
002300	 太阳电缆	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润8315万元，同比下降8.54%，基本每股收益0.1151元
002342	 巨力索具	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润1744万元，同比增长137.25%，基本每股收益0.0182元
002392	 北京利尔	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润4.01亿元，同比增长25.86%，基本每股收益0.34元
002408	 齐翔腾达	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-5.745亿元，同比下降1767.51%，基本每股收益-0.2元
002484	 江海股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润6.746亿元，同比增长3.04%，基本每股收益0.7999元
002534	 西子洁能	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润4.366亿元，同比下降0.73%，基本每股收益0.57元
002542	 中化岩土	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                                                   于2026-04-10披露2025年年报
002716	 湖南白银	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润3.402亿元，同比增长100.38%，基本每股收益0.12元
002730	 电光科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润6707万元，同比下降28.97%，基本每股收益0.19元
002738	 中矿资源	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润4.576亿元，同比下降39.54%，基本每股收益0.6343元
002865	 钧达股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2026年一季报归属净利润1416万元，同比增长113.38%，基本每股收益0.05元
002895	 川恒股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润12.6亿元，同比增长31.76%，基本每股收益2.19元
002917	 金奥博：	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润1.746亿元，同比增长40.70%，基本每股收益0.5102元
002933	 新兴装备	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润3947万元，同比增长108.88%，基本每股收益0.34元
003008	 开普检测	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                               2025年年报归属净利润8819万元，同比增长3.08%，基本每股收益0.85元
300042	 朗科科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润2715万元，同比增长127.35%，基本每股收益0.1355元
300053	 航宇微：	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-3.412亿元，同比下降15.97%，基本每股收益-0.4896元
300342	 天银机电	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润1279万元，同比下降85.85%，基本每股收益0.0301元
300346	 南大光电	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润3.198亿元，同比增长18.00%，基本每股收益0.46元
300351	 永贵电器	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润6250万元，同比下降50.32%，基本每股收益0.16元
300370	 安控科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-1.232亿元，同比下降30.85%，基本每股收益-0.0787元
300414	 中光防雷	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1738万元，同比增长113.07%，基本每股收益0.05元
300442	 润泽科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2026年一季报归属净利润5.822亿元，同比增长35.35%，基本每股收益0.36元
300444	 双杰电气	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润1.855亿元，同比增长129.41%，基本每股收益0.2322元
