
2025-05-08 00:00:03
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
91	99/143	58.58%/80.34%	3.57%/4.31%	14/27

2025-05-08 00:00:03
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/20/8天4板	军工/17/8天4板	西部大开发/12/6天6板	人工智能/12/6天3板	新能源车/11/8天4板

2025-05-08 00:00:04
龙头股信息：
代码	名称	板块	板数	标签	警告
002809	红墙股份	    环氧丙烷	12天7板	12天7板,环氧丙烷,化学制品   	7/7/20250507
001316	润贝航科	     大飞机	12天7板	12天7板,大飞机,消毒剂     	5/7/20250507
002915	中欣氟材	PEEK材料概念	 9天6板	9天6板,PEEK材料概念,化学制品	4/4/20250507
600592	龙溪股份	    军民融合	 8天4板	8天4板,军民融合,大飞机     	4/6/20250507
603335	迪生力：	 汽车一体化压铸	 7天4板	7天4板,汽车一体化压铸,贬值受益 	5/8/20250507

2025-05-08 00:00:04
连板天梯信息：
昨板数	今板数	涨停数	连板成功	连板成功率
5	->6	  1	 1	100.0%
4	->5	  1	 0	  0.0%
3	->4	  4	 2	 50.0%
2	->3	 17	 5	29.41%
1	->2	128	16	 12.5%

2025-05-08 00:00:17
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
5	->6	success	000565	   渝三峡Ａ	 9.99%	6天6板,军工,化学制品       	 2/5/20250507
4	->5	   fail	002229	   鸿博股份	 5.87%	6天4板,参股银行,造纸印刷     	 2/6/20250507
3	->4	   fail	600774	   汉商集团	 1.32%	4天3板,商业百货,新零售      	 5/9/20250507
3	->4	   fail	603040	   新坐标：	 7.39%	4天3板,汽车零部件,新能源车    	 4/6/20250507
3	->4	success	603030	   全筑股份	10.00%	4天4板,装修装饰,新型城镇化    	 4/8/20250507
3	->4	success	688280	精进电动-UW	20.05%	                   	None/None/nan
2	->3	   fail	603586	   金麒麟：	 0.65%	5天3板,汽车零部件,新能源车    	 4/8/20250507
2	->3	   fail	600735	   新华锦：	-3.51%	3天2板,医疗器械概念,婴童概念   	 5/9/20250507
2	->3	   fail	603900	   莱绅通灵	-1.49%	3天2板,黄金概念,珠宝首饰     	 6/9/20250507
2	->3	   fail	603359	   东珠生态	-6.85%	PPP模式,环保行业         	 8/8/20250507
2	->3	   fail	000158	   常山北明	 1.33%	3天2板,京津冀,雄安新区      	 6/9/20250507
2	->3	   fail	603922	   金鸿顺：	-2.71%	4天2板,新能源车,并购重组概念   	8/10/20250507
2	->3	   fail	605133	   嵘泰股份	 0.65%	工业母机人气龙头,工业母机,汽车零部件	 6/8/20250507
2	->3	   fail	002272	   川润股份	 0.93%	3天2板,军工,风能         	 6/8/20250507
2	->3	   fail	002355	   兴民智通	 4.21%	3天2板,无人机,低空经济      	 5/9/20250507
2	->3	   fail	603166	   福达股份	-2.05%	3天2板,机器人概念,减速器     	 6/7/20250507
2	->3	   fail	002164	   宁波东力	 3.30%	机构增持,风能,通用设备       	 5/8/20250507
2	->3	   fail	002664	   信质集团	 2.90%	3天2板,无人机,汽车零部件     	 5/9/20250507
2	->3	success	002471	   中超控股	10.09%	3天3板,商业航天,军工       	 5/9/20250507
2	->3	success	001316	   润贝航科	10.01%	12天7板,大飞机,消毒剂      	 5/7/20250507
2	->3	success	002730	   电光科技	10.01%	3天3板,军工,专用设备       	 5/8/20250507
2	->3	success	600592	   龙溪股份	10.01%	8天4板,军民融合,大飞机      	 4/6/20250507
2	->3	success	002915	   中欣氟材	 9.99%	9天6板,PEEK材料概念,化学制品 	 4/4/20250507

2025-05-08 00:00:24
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
603286	日盈电子	-5.45%	| 0%	0% |	0%	0%	0% |	0%	4天2板,汽车零部件,无人驾驶     
601595	上海电影	 -3.7%	| 0%	0% |	0%	0%	0% |	0%	影视概念,文化传媒           
600259	广晟有色	-3.46%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,稀土永磁,小金属       
002422	科伦药业	-3.08%	| 0%	0% |	0%	0%	0% |	0%	大股东增持,肝炎概念,创新药      
603300	海南华铁	-3.07%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,数字经济,算力概念      
301123	奕东电子	-2.94%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,消费电子,电子烟       
000016	深康佳Ａ	-2.87%	| 0%	0% |	0%	0%	0% |	0%	华为海思,IPv6           
002672	东江环保	-2.68%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,垃圾分类,深圳特区      
603168	莎普爱思	-2.59%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,婴童概念,化学制药      
603883	老百姓：	-2.37%	| 0%	0% |	0%	0%	0% |	0%	机构推荐,中药概念,电商概念      
600303	曙光股份	-2.36%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,新能源车,汽车整车      
002576	通达动力	 -2.3%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,机器人概念,电机       
603322	超讯通信	-2.06%	| 0%	0% |	0%	0%	0% |	0%	智慧灯杆人气龙头,算力概念,Kimi概念
603109	神驰机电	-1.87%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,发电机概念,新能源      
603533	掌阅科技	-1.86%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,数字阅读,Kimi概念    
002860	星帅尔：	-1.84%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,光通信模块,ETC      
002861	瀛通通讯	-1.73%	| 0%	0% |	0%	0%	0% |	0%	AI眼镜,富士康            
002034	旺能环境	-1.72%	| 0%	0% |	0%	0%	0% |	0%	大股东增持,绿色电力,垃圾分类     
002440	闰土股份	 -1.7%	| 0%	0% |	0%	0%	0% |	0%	4天2板,化学制品           
605151	西上海：	-1.65%	| 0%	0% |	0%	0%	0% |	0%	统一大市场,新能源车          
603028	赛福天：	-1.54%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,TOPCon电池,知识产权  
001896	豫能控股	-1.51%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,华为概念,电力行业      
002719	麦趣尔：	 -1.4%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,新零售,婴童概念       
002790	瑞尔特：	-1.36%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,装修建材,智能家居      
300963	中洲特材	-1.32%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,有色金属,超超临界发电    
301387	光大同创	-1.04%	| 0%	0% |	0%	0%	0% |	0%	碳纤维人气龙头,消费电子,智能穿戴   
002562	兄弟科技	 -0.8%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,PEEK材料概念,化学制品  
603185	弘元绿能	-0.76%	| 0%	0% |	0%	0%	0% |	0%	太阳能,光伏设备            
300005	探路者：	-0.75%	| 0%	0% |	0%	0%	0% |	0%	抗菌面料人气龙头,商业航天,抗菌面料  
002981	朝阳科技	-0.68%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,医疗器械概念,小米概念    
600889	南京化纤	-0.63%	| 0%	0% |	0%	0%	0% |	0%	化纤行业,风能             
600775	南京熊猫	 -0.6%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,军工,人脑工程        
002482	广田集团	-0.53%	| 0%	0% |	0%	0%	0% |	0%	昨日首板,装修装饰,新型城镇化     
001256	炜冈科技	-0.42%	| 0%	0% |	0%	0%	0% |	0%	专用设备                
