
2025-05-20 09:48:24
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	1.03%/337	央国企改革(27),并购重组(26),西部大开发(15),一带一路(11),电商(11)
飙升	 1.66%/74	       央国企改革(6),电池(5),微盘股(5),深圳特区(5),有色金属(5)
大涨	11.24%/47	   并购重组(6),央国企改革(6),西部大开发(3),家用轻工(3),电网设备(3)

2025-05-20 09:48:24
资金流入板块信息：
板块(量比/涨幅)
水泥建材(7.6/0.4),仪器仪表(6.2/0.2),生物制品(6.0/2.6),食品饮料(5.5/1.4),航运港口(5.4/-2.2)

(今日与昨日量比)上证：-9% 深证：-5% 创业板：-5% 沪深300：-10% 中证1000：-14% 银行板块：3%：

2025-05-20 09:48:42
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
301559	中集环科	20250514	1	70.0%	21.0%	6.0%	 3.0%	0.714	-1.0	医疗器械概念,通用设备       
601083	锦江航运	20250514	2	69.0%	18.0%	2.0%	12.0%	2.698	-5.0	沪企改革估值龙头,沪企改革,航运港口
300240	飞力达：	20250514	1	68.0%	16.0%	7.0%	10.0%	1.792	-1.0	物流行业,统一大市场        
603839	安正时尚	20250515	2	63.0%	26.0%	2.0%	 9.0%	0.856	 1.0	4天2板,婴童概念,电商概念    

2025-05-20 09:48:45
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
603363	傲农生物	2.48%	4.26	51.75	2.0	188	1032	猪肉概念,农牧饲渔	9/30	9/44%/0.9%

2025-05-20 09:49:54
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
300121	阳谷华泰	 3.22%	12%	6%	101	 12	2754	1591	 1.0	F	光刻机(胶)人气龙头,并购重组概念,光刻	2+38        	2/100%/16.2%
002559	亚威股份	 2.61%	 7%	2%	107	 59	 917	 458	 9.0	F	大股东增持,新型工业化,存储芯片    	1+49        	  4/50%/0.5%
300290	荣科科技	-0.37%	12%	9%	118	 12	 669	 858	-3.0	F	AI制药（医疗）,互联医疗       	134-27/3+104	 4/100%/9.4%
300061	旗天科技	  2.2%	12%	5%	125	 -2	1289	 684	 1.0	F	文化传媒,长江三角           	97-13/18+66 	  6/50%/6.0%
300341	麦克奥迪	 1.77%	13%	7%	140	  8	3019	1617	 1.0	F	病毒防治,电网设备           	10/31       	  1/0%/-8.3%
002146	荣盛发展	  0.0%	 8%	4%	141	-12	1155	 721	-2.0	F	并购重组概念,通用航空         	2/38        	  9/67%/4.7%
603588	高能环境	 1.54%	 6%	4%	143	 99	2209	1285	 2.0	F	黄金概念,PPP模式          	3+69        	 2/100%/4.2%
600187	国中水务	 1.52%	 6%	3%	177	  1	 813	 323	 1.0	F	养老概念,PPP模式          	3+42        	 14/64%/0.4%
600527	江南高纤	-0.43%	12%	1%	178	-21	  75	1122	 8.0	F	婴童概念,长江三角           	1/24        	 10/50%/2.1%
301297	富乐德：	 0.58%	 5%	1%	181	 72	2828	2054	-4.0	F	并购重组概念,半导体          	8/47        	6/100%/18.5%
600843	上工申贝	-2.34%	 8%	3%	183	-32	1106	 494	-1.0	F	沪企改革,碳纤维            	5+71        	 12/75%/4.5%
002092	中泰化学	-1.18%	 0%	0%	184	651	 -43	 959	 0.0	F	消毒剂,降解塑料            	13/82       	 1/100%/0.2%
600501	航天晨光	-1.75%	10%	4%	187	-22	 617	 861	-1.0	F	商业航天,UWB概念          	1+-1        	 3/33%/-2.7%
001298	好上好：	-2.18%	 8%	3%	191	-16	 401	 843	-1.0	F	小米概念,AI眼镜           	6+20        	  9/67%/2.7%
000524	岭南控股	 3.04%	10%	5%	192	 -2	 286	 869	 1.0	F	旅游酒店,旅游概念           	4+17        	  3/67%/1.2%
301296	新巨丰：	 2.33%	 8%	7%	203	 38	3397	2076	 2.0	F	并购重组概念,包装材料         	3/11        	 1/100%/7.3%
601798	蓝科高新	 2.72%	 8%	6%	207	 -3	1174	1311	 1.0	F	熔盐储能人气龙头,页岩气,专用设备   	2+15        	  7/57%/1.2%
600178	东安动力	  5.0%	 7%	2%	217	 -1	1202	 430	 9.0	F	东北振兴人气龙头,飞行汽车(eVTOL)	0+30        	  9/78%/3.0%
300277	海联讯：	 1.28%	 8%	4%	219	 65	2281	2554	 9.0	F	并购重组概念,央国企改革        	0/32        	  3/67%/2.2%
603991	至正股份	-0.45%	12%	6%	222	 13	1903	1617	-3.0	F	并购重组概念,核能核电         	53-14/2+37  	 13/77%/5.0%
002080	中材科技	 1.22%	14%	4%	225	 61	 430	1244	 3.0	F	玻璃玻纤人气龙头,燃料电池,央国企改革 	8+94        	 2/100%/6.4%
300710	万隆光电	-0.05%	11%	5%	238	-36	3300	1850	 0.0	F	电子竞技人气龙头,电子竞技,微盘股   	0/15        	         nan
000006	深振业A	-1.29%	 8%	5%	245	-51	1423	1074	-5.0	F	粤港自贸,房地产开发          	2+64        	 12/67%/2.5%
300783	三只松鼠	 3.27%	 8%	5%	247	-70	 837	 499	 3.0	F	宠物经济,食品饮料           	32+42       	         nan
002128	电投能源	-3.16%	 0%	0%	255	-17	2341	1535	-1.0	F	内蒙古业绩龙头,稀缺资源,煤炭行业   	50/138      	         nan

2025-05-20 09:49:54
热榜个股信息2：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002465	海格通信	 3.22%	10%	  2%	 13	  8	1173	 552	 9.0	T1	昨日首板,飞行汽车(eVTOL),央国企	29/186    	        nan
