
2025-05-21 09:48:25
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	-0.11%/339	央国企改革(23),谷子经济(15),参股银行(14),固态电池(12),绿色电力(12)
飙升	  1.18%/78	       黄金(10),贵金属(7),机构推荐(6),央国企改革(6),人脑工程(4)
大涨	  10.9%/34	    央国企改革(4),西部大开发(3),房地产开发(3),固态电池(3),京津冀(3)

2025-05-21 09:48:25
资金流入板块信息：
板块(量比/涨幅)
水泥建材(7.7/0.2),医药商业(7.5/1.8),电池(6.8/1.3),珠宝首饰(6.6/0.4),贵金属(6.5/1.5)

(今日与昨日量比)上证：1% 深证：2% 创业板：0% 沪深300：2% 中证1000：9% 银行板块：-40%：

2025-05-21 09:48:42
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
300240	飞力达：	20250514	1	70.0%	14.0%	6.0%	10.0%	1.128	 3.0	创投,快递概念        
603839	安正时尚	20250515	2	67.0%	20.0%	1.0%	11.0%	0.615	-5.0	纺织服装,婴童概念      
600340	华夏幸福	20250516	2	55.0%	16.0%	1.0%	28.0%	3.587	-8.0	4天2板,PPP模式,低空经济
603980	吉华集团	20250516	2	54.0%	24.0%	8.0%	14.0%	1.939	 4.0	4天2板,化工原料,化学制品 

2025-05-21 09:48:46
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
603995	甬金股份	 0.6%	0.42	 3.55	5.0	169	3377	机构推荐,钢铁行业,新材料	9+33 	       nan
002396	星网锐捷	2.06%	1.14	11.52	1.0	187	1298	IPv6,央国企改革   	17+62	3/67%/0.6%
300139	晓程科技	3.89%	9.96	12.94	3.0	227	1062	贵金属,绿色电力     	1+39 	2/0%/-7.5%
001337	四川黄金	1.42%	2.53	 8.19	3.0	272	1391	贵金属,黄金概念     	10+22	4/75%/3.9%

2025-05-21 09:49:57
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002348	高乐股份	 -4.7%	12%	 8%	123	 -10	2428	 567	-1.0	F	谷子经济,盲盒经济           	37-10/1+26   	 11/64%/2.7%
002046	国机精工	-2.24%	 7%	 3%	137	  11	 213	 759	-2.0	F	空间站概念业绩龙头,通用设备,机器人执行	89-45/1+43   	  6/67%/2.0%
301371	敷尔佳：	 1.12%	11%	 6%	139	  44	1708	 687	 1.0	F	美容护理,化妆品概念          	8/14         	         nan
000970	中科三环	-0.97%	 1%	-4%	146	 176	 897	 399	-1.0	F	机构推荐,央国企改革,小金属概念    	156-36/19+101	 2/50%/-3.0%
002175	东方智造	 -5.1%	10%	 5%	154	 -19	 906	  78	-1.0	F	国产芯片,仪器仪表           	76-15/4+57   	 21/62%/3.8%
603995	甬金股份	  0.6%	 2%	-1%	169	3377	 762	 -61	 5.0	F	机构推荐,钢铁行业,新材料       	9+33         	         nan
002396	星网锐捷	 2.06%	 2%	-1%	187	1298	1434	 788	 1.0	F	IPv6,数字货币           	17+62        	  3/67%/0.6%
300542	新晨科技	 1.28%	10%	 4%	192	  31	1274	 423	 1.0	F	通用航空人气龙头,通用航空,跨境支付  	0+28         	 5/80%/10.9%
601929	吉视传媒	-1.04%	 8%	 4%	206	  92	1411	1208	-1.0	F	虚拟现实,超清视频           	9+44         	  8/50%/0.9%
301078	孩子王：	-0.92%	14%	 7%	212	 -35	 330	 811	 2.0	F	3日主力净流入领先,婴童概念,商业百货 	32+64        	  4/75%/6.7%
603063	禾望电气	 1.09%	 8%	 1%	218	  -5	1416	 398	 6.0	F	高管增持,风电设备,风能        	14/106       	11/100%/6.9%
000700	模塑科技	 -1.8%	 9%	 5%	222	 -54	 375	1024	-1.0	F	昨日触板业绩龙头,汽车零部件,小米概念 	69-26/3+40   	 1/100%/1.4%
300220	金运激光	-4.25%	11%	 3%	232	 -40	2593	 904	-2.0	F	盲盒经济,谷子经济           	0+0          	  6/67%/7.3%
600860	京城股份	-2.55%	 8%	-1%	257	 -59	1095	 255	-2.0	F	新型工业化,通用设备          	1+28         	  8/75%/0.9%
000421	南京公用	  0.6%	 9%	 6%	267	 -16	 214	1847	 9.0	F	燃气,天然气              	3/16         	 7/29%/-0.8%

2025-05-21 09:49:57
热榜个股信息2：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
600198	大唐电信	 1.41%	14%	 10%	 10	  8	1475	1717	 9.0	T1	昨日首板,IPv6,央国企改革     	6/57       	 15/80%/6.0%
002103	广博股份	 5.53%	13%	  7%	 14	  7	 913	 557	 6.0	T1	昨日首板,长江三角,电商概念      	4+23       	 13/77%/5.4%
002654	万润科技	-2.57%	13%	  7%	 31	  0	1564	 817	-1.0	T1	昨日首板,快手概念,存储芯片      	130-38/8+84	  7/86%/6.6%
600006	东风股份	-3.07%	13%	  9%	 37	-20	 826	 996	 4.0	T1	昨日首板,新型工业化,汽车芯片     	3+57       	  4/50%/1.9%
002862	实丰文化	 -2.7%	10%	-23%	 41	  2	 869	 999	-1.0	T1	昨日首板,宠物经济,谷子经济      	2+18       	 11/91%/6.1%
603693	江苏新能	 3.58%	11%	  6%	 59	-20	1105	 210	 9.0	T1	昨日首板,电力行业,绿色电力      	7+16       	  6/67%/3.5%
002161	远望谷：	-2.01%	13%	  6%	 61	 -7	1352	1125	 1.0	T1	昨日首板,电子元件,谷子经济      	3/32       	  5/60%/3.4%
002522	浙江众成	-1.38%	13%	 10%	 64	 -8	1785	1001	-1.0	T1	昨日首板,塑料制品,5G概念      	44-14/0+30 	  6/67%/3.5%
603725	天安新材	-0.51%	13%	 10%	 65	 -3	1105	2343	-1.0	T1	昨日首板,创投,装配建筑        	0/15       	 1/100%/3.9%
600521	华海药业	-1.15%	11%	  8%	 67	 -9	 837	 848	-1.0	T1	昨日首板,AI制药（医疗）,长江三角  	21/114     	         nan
603901	永创智能	-1.04%	13%	  8%	 75	 -3	2351	1210	-1.0	T1	昨日首板,专用设备,机器人概念     	4+22       	  6/67%/2.0%
603215	比依股份	-2.32%	11%	  8%	 77	  0	1279	 586	-1.0	T1	昨日首板,小米概念,AI眼镜      	2+12       	 9/22%/-0.7%
605300	佳禾食品	-0.26%	12%	  9%	 79	  0	3273	1305	-1.0	T1	昨日首板,代糖概念,食品饮料      	66-55/3+8  	  6/50%/1.5%
001336	楚环科技	-3.72%	12%	 10%	100	  0	2567	1859	 8.0	T1	昨日首板,垃圾分类,专用设备      	0/5        	1/100%/10.0%
002465	海格通信	 2.41%	11%	  1%	126	  6	 729	1082	 1.0	T1	卫星互联网市值龙头,航母概念,央国企改革	29/186     	         nan
002530	金财互联	-3.01%	10%	 -1%	161	 28	 987	 169	-2.0	T1	3日主力净流入领先,AI智能体,Sora	90-23/3+64 	 14/50%/1.2%
002291	遥望科技	  0.3%	13%	  2%	203	 13	-170	1185	 1.0	T1	网络游戏,NFT概念          	2/46       	  9/67%/2.9%
002512	达华智能	 0.19%	12%	 -3%	223	-13	  91	 629	-7.0	T1	互联金融,移动支付           	2+42       	 12/67%/1.8%
603922	金鸿顺：	-3.95%	14%	  2%	225	 30	1375	1194	-3.0	T1	汽车零部件,新能源车          	1+15       	  6/83%/4.1%
603980	吉华集团	 2.33%	14%	 -6%	228	-22	-108	1706	 4.0	T2	4天2板,化工原料,化学制品      	32-9/2+21  	  4/50%/1.7%
000628	高新发展	-0.18%	 9%	  0%	237	 53	1360	1056	-5.0	T1	参股期货,成渝特区           	3/74       	  8/50%/2.6%
002284	亚太股份	-4.58%	12%	 -3%	246	-14	-186	1034	-8.0	T1	商业航天,轮毂电机           	3+46       	 1/100%/2.3%
000605	渤海股份	 3.37%	14%	  3%	250	  2	3197	2214	 1.0	T1	公用事业人气龙头,公用事业,京津冀   	2/17       	 10/70%/5.9%
600658	电子城：	-0.85%	14%	  4%	252	-22	2899	1996	-5.0	T1	REITs概念,央国企改革       	2/23       	  9/56%/2.9%

2025-05-21 09:49:57
热榜个股信息3（热榜个股信息1热榜350内+最近热榜飙升超1000+涨停+压力线超5%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002862	实丰文化	 -2.7%	10%	-23%	 41	  2	 869	 999	-1.0	T1	昨日首板,宠物经济,谷子经济      	2+18       	11/91%/6.1%
002165	红宝丽：	-2.67%	 4%	 -7%	 92	-19	 -59	 -16	-1.0	T1	建筑节能,环氧丙烷           	2+27       	15/73%/2.5%
002640	跨境通：	 1.23%	16%	 -8%	105	-14	 -54	 -64	-4.0	T1	进口博览人气龙头,电商概念,进口博览  	1+54       	31/74%/4.2%
002560	通达股份	-6.32%	14%	-10%	113	-12	 -78	 117	-1.0	T2	大飞机,商业航天            	0+0        	 4/75%/2.8%
600410	华胜天成	-1.08%	 5%	 -6%	115	  7	 -79	 -34	-4.0	T1	冷链物流人气龙头,参股银行,冷链物流  	105-0/3+102	19/79%/4.2%
000678	襄阳轴承	-5.61%	17%	 -6%	120	 -3	 -55	 -83	-5.0	T1	湖北自贸人气龙头,军工,减速器     	38-18/1+19 	21/52%/1.6%
002915	中欣氟材	-3.25%	 6%	 -9%	151	-24	 -90	 -14	-8.0	T1	钠离子电池人气龙头,新材料,PEEK材料	1/37       	12/67%/2.8%
000520	凤凰航运	 0.98%	14%	-10%	219	-48	  -7	  80	 1.0	T1	航运港口,一带一路           	0+0        	15/67%/2.7%
603980	吉华集团	 2.33%	14%	 -6%	228	-22	-108	1706	 4.0	T2	4天2板,化工原料,化学制品      	32-9/2+21  	 4/50%/1.7%

2025-05-21 09:49:57
热榜个股信息4(热榜350内+涨停+支撑线<20%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002570	贝因美：	 6.25%	11	  3%	  4	  2	 135	  19	 1.0	T1	昨日首板,乳业,食品饮料        	6+44         	 18/72%/4.7%
