
2025-05-21 19:13:59
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
85	84/101	73.68%/63.13%	0.85%/3.15%	3/9

2025-05-21 19:13:59
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
央国企改革/16/7天6板	锂电池/12/6天4板	西部大开发/11/6天3板	新能源车/8/4天4板	固态电池/7/3天3板

2025-05-21 19:14:00
龙头股信息：
代码	名称	板块	高度	标签	警告
002040	南京港：	长江三角	7天6板	7天6板,航运港口,央国企改革	1/5/20250521
600770	综艺股份	 独角兽	6天5板	6天5板,综合行业,独角兽  	2/6/20250521
002365	永安药业	 石墨烯	6天4板	6天4板,化学制药,石墨烯  	6/6/20250521
002136	安纳达：	 磷化工	6天4板	6天4板,磷化工,钛白粉   	7/9/20250521
600644	乐山电力	绿色电力	6天3板	6天3板,电力行业,绿色电力 	6/4/20250521

2025-05-21 19:14:00
连板天梯信息：
昨板数	今板数	昨涨停数	连板成功	连板成功率
4	5	 2	2	100.0%
3	4	 6	1	16.67%
2	3	19	9	47.37%
1	2	48	6	 12.5%

2025-05-21 19:14:12
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
5	6	   fail	600798	宁波海运	 -2.87%	7天5板,海洋经济,中俄贸易概念    	 8/8/20250521
5	6	   fail	601008	连云港：	  1.90%	7天5板,航运港口,央国企改革     	 8/8/20250521
4	5	success	002811	郑中设计	 10.00%	5天5板,装配建筑,一带一路      	 3/6/20250521
4	5	success	605136	丽人丽妆	  9.99%	5天5板,小红书概念,化妆品概念    	 3/6/20250521
3	4	   fail	002590	万安科技	  2.69%	4天3板,飞行汽车(eVTOL),汽车零	 5/8/20250521
3	4	   fail	002813	路畅科技	 -5.36%	4天3板,电子后视镜,星闪概念     	 5/9/20250521
3	4	   fail	600468	百利电气	 -1.31%	4天3板,军工,电网设备        	 5/8/20250521
3	4	   fail	002735	王子新材	  2.69%	8天4板,飞行汽车(eVTOL),低空经	 4/6/20250521
3	4	   fail	002105	信隆健康	 -9.95%	4天3板,共享经济,小米概念      	 8/9/20250521
3	4	success	002510	天汽模：	 10.00%	4天4板,飞行汽车(eVTOL),小米汽	 4/8/20250521
2	3	   fail	600207	安彩高科	  1.99%	3天2板,天然气,建筑节能       	 6/9/20250521
2	3	   fail	600053	九鼎投资	 -8.49%	3天2板,多元金融,创投        	8/10/20250521
2	3	   fail	600340	华夏幸福	-10.14%	4天2板,低空经济,电商概念      	8/10/20250521
2	3	   fail	600550	保变电气	  3.08%	3天2板,京津冀,央国企改革      	 5/9/20250521
2	3	   fail	300069	金利华电	 -4.79%	3天2板,特高压,电网设备       	 3/5/20250521
2	3	   fail	600281	华阳新材	 -8.31%	降解塑料人气龙头,降解塑料,小金属   	 8/7/20250521
2	3	   fail	001222	源飞宠物	 -0.14%	3天2板,贬值受益,新零售       	 5/8/20250521
2	3	   fail	600610	中毅达：	 -5.11%	月度涨幅领先,化学原料,长江三角    	 8/6/20250521
2	3	   fail	603102	百合股份	 -1.38%	4天2板,养老概念,宠物经济      	8/10/20250521
2	3	   fail	603980	吉华集团	 -0.78%	4天2板,化工原料,化学制品      	8/10/20250521
2	3	   fail	000677	恒天海龙	 -7.68%	3天2板,低空经济,化纤行业      	 8/9/20250521
2	3	   fail	605055	迎丰股份	  0.37%	9天7板,纺织服装           	 6/4/20250521
2	3	   fail	600881	亚泰集团	 -1.02%	3天2板,并购重组概念,体育产业    	6/10/20250521
2	3	   fail	301335	天元宠物	 -8.27%	3天2板,家用轻工,宠物经济      	 2/3/20250521
2	3	   fail	603630	拉芳家化	  3.25%	7天4板,美容护理,医疗美容      	 4/7/20250521
2	3	   fail	605188	国光连锁	 -5.81%	4天2板,电商概念,新零售       	 8/9/20250521
2	3	success	000695	滨海能源	 10.03%	3天3板,固态电池,锂电池       	 8/9/20250521
2	3	success	600770	综艺股份	  9.94%	6天5板,综合行业,独角兽       	 2/6/20250521
2	3	success	600137	浪莎股份	  9.98%	3天3板,西部大开发,纺织服装     	 5/8/20250521
2	3	success	600463	空港股份	 10.04%	3天3板,房地产开发,京津冀      	 5/7/20250521
2	3	success	600698	湖南天雁	  9.96%	3天3板,尾气治理,央国企改革     	 4/7/20250521
2	3	success	688336	三生国健	 19.99%	                    	None/None/nan
2	3	success	002431	棕榈股份	 10.00%	3天3板,土地流转,新型城镇化     	 5/9/20250521
2	3	success	000722	湖南发展	 10.01%	3天3板,供销社概念,电力行业     	 5/9/20250521
2	3	success	600793	宜宾纸业	  9.99%	3天3板,成渝特区,央国企改革     	 4/6/20250521

2025-05-21 19:14:16
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
603163	 圣晖集成	-9.82%	100%	  0%	 80%	 0%	 30%	110%	昨日首板,工程建设,半导体概念     
600343	 航天动力	-9.74%	100%	  0%	  7%	 0%	 69%	 76%	大飞机,军工              
603926	 铁流股份	-8.85%	100%	  0%	 95%	 0%	 63%	158%	昨日首板,汽车零部件,新能源车     
002297	 博云新材	-7.72%	100%	  0%	192%	 0%	 36%	228%	昨日首板,碳纤维,商业航天       
001336	 楚环科技	-7.44%	 89%	 11%	112%	 0%	 85%	196%	昨日首板,专用设备,微盘股       
600530	 交大昂立	-6.39%	100%	  0%	 53%	 0%	 22%	 75%	9天5板,食品饮料,养老概念      
600658	 电子城：	-6.13%	100%	  0%	 40%	 0%	 22%	 61%	人工智能,数字经济           
600148	 长春一东	-5.62%	 39%	 61%	 28%	 0%	103%	131%	昨日首板,军工,无人机         
600336	 澳柯玛：	-5.39%	100%	  0%	 18%	 0%	 37%	 56%	净水概念人气龙头,跨境电商,智能家居  
603922	 金鸿顺：	 -5.1%	100%	  0%	  0%	 0%	 60%	 60%	新能源车,并购重组概念         
605289	 罗曼股份	-5.04%	 84%	 16%	  0%	 0%	 93%	 93%	昨日首板,智慧城市,元宇宙概念     
003030	 祖名股份	-4.73%	 62%	 38%	119%	 0%	 54%	173%	昨日首板,社区团购,人造肉       
600259	 广晟有色	-4.44%	 65%	 35%	  7%	 0%	 56%	 63%	昨日首板,稀土永磁,小金属       
603326	 我乐家居	-3.93%	100%	  0%	  0%	 0%	 55%	 55%	装修建材                
300511	 雪榕生物	-3.92%	 45%	 55%	 45%	 0%	 66%	111%	昨日首板,人造肉,农牧饲渔       
603607	 京华激光	-3.91%	 47%	 53%	  0%	12%	110%	123%	昨日首板,小米概念,谷子经济      
002573	 清新环境	-3.75%	 75%	 25%	 16%	 0%	158%	174%	昨日首板,环保行业,数字孪生      
002456	 欧菲光：	-3.75%	 61%	 39%	  0%	 0%	 96%	 96%	昨日首板,小米概念,纳米银       
603686	 福龙马：	-3.71%	100%	  0%	  7%	 0%	 51%	 58%	华为概念,机器人概念          
002654	 万润科技	-3.35%	 81%	 19%	  0%	 0%	180%	180%	昨日首板,快手概念,存储芯片      
002501	 利源股份	-3.35%	 64%	 36%	 59%	 0%	 80%	139%	昨日首板,太阳能,军工         
002161	远 望 谷	-3.35%	 50%	 50%	 26%	 0%	 73%	 98%	昨日首板,电子车牌,谷子经济      
600986	 浙文互联	-3.34%	 57%	 43%	  0%	 0%	103%	103%	昨日首板,算力概念,Web3.0    
000670	 盈方微：	-3.17%	 56%	 44%	 20%	 0%	117%	137%	昨日首板,智能穿戴,存储芯片      
002522	 浙江众成	-3.16%	 68%	 32%	  0%	 0%	146%	146%	昨日首板,塑料制品,5G概念      
600807	 济高发展	-2.74%	100%	  0%	380%	 0%	 50%	430%	昨日首板,医疗器械概念,医疗器械    
002862	 实丰文化	 -2.7%	 29%	 71%	  0%	 0%	143%	143%	昨日首板,谷子经济,宠物经济      
600006	 东风股份	-2.68%	 53%	 47%	  0%	 0%	 77%	 77%	昨日首板,新型工业化,汽车芯片     
605300	 佳禾食品	-2.43%	 48%	 52%	 76%	 0%	 96%	173%	昨日首板,娃哈哈概念,食品饮料     
603215	 比依股份	-2.32%	 41%	 59%	 57%	 0%	 96%	153%	昨日首板,AI眼镜,小米概念      
300703	 创源股份	-2.31%	 26%	 74%	 20%	27%	 76%	123%	昨日首板,谷子经济,宠物经济      
603150	 万朗磁塑	-1.96%	 32%	 68%	  0%	19%	 77%	 96%	昨日首板,无人驾驶,塑料制品      
603378	 亚士创能	-1.89%	100%	  0%	  0%	 0%	 52%	 52%	一带一路,装修建材           
603317	 天味食品	-1.74%	100%	  0%	  0%	 0%	 52%	 52%	调味品概念估值龙头,西部大开发,食品饮料
605338	 巴比食品	-1.62%	100%	  0%	  0%	 0%	 52%	 52%	电商概念,食品饮料           
600743	 华远地产	-1.49%	100%	  0%	  7%	 0%	 44%	 51%	央国企改革,REITs概念       
603016	 新宏泰：	-0.83%	 21%	 79%	  0%	26%	 41%	 66%	电网设备                
600521	 华海药业	-0.58%	100%	  0%	  0%	 0%	159%	159%	昨日首板,单抗概念,创新药       
600082	 海泰发展	-0.57%	 99%	  1%	 17%	 0%	 37%	 53%	滨海新区,房地产开发          
603332	 苏州龙杰	-0.18%	 22%	 78%	 62%	11%	 38%	111%	9天6板,军工,化纤行业        
600198	 大唐电信	-0.11%	 42%	 58%	116%	 0%	 93%	209%	昨日首板,央国企改革,IPv6     
603135	 中重科技	 -0.1%	 30%	 70%	  0%	 6%	 51%	 57%	专用设备,机器人概念          
002277	 友阿股份	 0.32%	  0%	100%	326%	 0%	 62%	388%	昨日首板,参股银行,彩票概念      
