
2025-06-01 09:50:04
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
48	53/120	61.63%/80.54%	-0.3%/2.8%	19/15

2025-06-01 09:50:04
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
央国企改革/13/11天6板	婴童概念/7/2天2板	新型城镇化/6/10天6板	长江三角/6/3天3板	西部大开发/5/4天4板

2025-06-01 09:50:05
龙头股信息：
代码	名称	板块	高度	标签	警告
600468	百利电气	 智能电网	11天6板	11天6板,央国企改革,军工  	7/7/20250530
002431	棕榈股份	新型城镇化	10天6板	10天6板,新型城镇化,工程建设	7/7/20250530
603056	德邦股份	 冷链物流	 4天4板	4天4板,冷链物流,物流行业  	3/7/20250530
002907	华森制药	  减肥药	 4天4板	4天4板,减肥药,中药概念   	4/8/20250530
002177	御银股份	 互联金融	 3天3板	3天3板,互联金融,创投    	5/8/20250530

2025-06-01 09:50:05
连板天梯信息：
昨板数	今板数	昨涨停数	连板成功	连板成功率
6	7	  1	 0	  0.0%
5	6	  1	 0	  0.0%
4	5	  3	 0	  0.0%
3	4	  8	 2	 25.0%
2	3	 17	 2	11.76%
1	2	110	12	10.91%

2025-06-01 09:50:26
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
6	7	   fail	603333	 尚纬股份	-10.04%	西部大开发人气龙头,电网设备,核能核电	 8/6/20250530
5	6	   fail	002366	 融发核电	 -9.95%	海工装备人气龙头,电源设备,可控核聚变	 8/7/20250530
4	5	   fail	605388	 均瑶健康	 -5.48%	5天4板,食品饮料,乳业       	 4/8/20250530
4	5	   fail	000903	 云内动力	 -2.52%	8天5板,汽车零部件,发电机概念   	 4/6/20250530
4	5	   fail	603390	 通达电气	  2.51%	8天6板,区块链,车联网(车路云)  	 4/6/20250530
3	4	   fail	603693	 江苏新能	-10.00%	电力行业人气龙头,风能,太阳能    	8/10/20250530
3	4	   fail	001230	 劲旅环境	 -2.35%	4天3板,机器人概念,无人驾驶    	 5/9/20250530
3	4	   fail	600192	 长城电工	  7.39%	5天3板,央国企改革,西部大开发   	 4/8/20250530
3	4	   fail	601579	XD会稽山	 -3.68%	8天4板,酿酒行业,白酒       	 8/5/20250530
3	4	   fail	603577	 汇金通：	 -2.63%	5天3板,特高压,电网设备      	 8/8/20250530
3	4	   fail	603518	 锦泓集团	 -5.37%	4天3板,纺织服装,电商概念     	 5/9/20250530
3	4	success	603056	 德邦股份	  9.99%	4天4板,冷链物流,物流行业     	 3/7/20250530
3	4	success	002907	 华森制药	 10.03%	4天4板,减肥药,中药概念      	 4/8/20250530
2	3	   fail	605005	 合兴股份	  2.51%	3天2板,新能源车,无人驾驶     	6/10/20250530
2	3	   fail	002973	 侨银股份	 -9.73%	3天2板,医废处理,无人驾驶     	 8/9/20250530
2	3	   fail	600678	 四川金顶	 -6.74%	3天2板,新能源车,无人驾驶     	8/11/20250530
2	3	   fail	603006	 联明股份	 -6.83%	3天2板,特斯拉,汽车零部件     	8/10/20250530
2	3	   fail	601086	 国芳集团	-10.02%	商业百货人气龙头,新零售,商业百货  	 8/8/20250530
2	3	   fail	000826	 启迪环境	  7.02%	3天2板,新型城镇化,汽车拆解    	 4/7/20250530
2	3	   fail	603076	 乐惠国际	 -8.81%	5天3板,C2M概念,专用设备    	 8/9/20250530
2	3	   fail	603639	 海利尔：	 -6.71%	4天2板,农药兽药,一带一路     	8/11/20250530
2	3	   fail	000539	 粤电力Ａ	 -1.33%	3天2板,太阳能,超超临界发电    	6/10/20250530
2	3	   fail	300804	 广康生化	  2.40%	3天2板,农业种植,农药兽药     	 2/4/20250530
2	3	   fail	605033	 美邦股份	 -6.75%	农药兽药,西部大开发         	8/10/20250530
2	3	   fail	002574	 明牌珠宝	 -2.72%	4天2板,珠宝首饰,太阳能      	8/10/20250530
2	3	   fail	300815	 玉禾田：	 -7.77%	3天2板,机器人概念,无人驾驶    	 2/4/20250530
2	3	   fail	002427	 尤夫股份	-10.02%	海工装备人气龙头,海工装备,化纤行业 	 8/7/20250530
2	3	   fail	603011	 合锻智能	  4.13%	5天3板,军工,飞行汽车(eVTOL)	 2/4/20250530
2	3	success	002177	 御银股份	 10.07%	3天3板,互联金融,创投       	 5/8/20250530
2	3	success	002250	 联化科技	 10.05%	3天3板,CRO,农药兽药      	 4/8/20250530

2025-06-01 09:50:34
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
301082	 久盛电气	-16.81%	100%	  0%	 67%	  0%	 11%	 78%	昨日首板,核能核电,熔盐储能      
300997	 欢乐家：	-14.95%	100%	  0%	 50%	  0%	 17%	 67%	近期10家机构调研,网红经济,食品饮料 
300422	 博世科：	-14.77%	100%	  0%	 52%	  0%	 14%	 66%	海绵城市人气龙头,医废处理,动力电池回收
002471	 中超控股	-10.07%	100%	  0%	 13%	  0%	 85%	 97%	创投人气龙头,石墨烯,机器人概念    
605188	 国光连锁	-10.03%	100%	  0%	  1%	  0%	 49%	 50%	电商概念,商业百货           
002365	 永安药业	-10.01%	100%	  0%	 43%	  0%	 30%	 73%	石墨烯人气龙头,氢能源,石墨烯     
002735	 王子新材	 -9.98%	100%	  0%	  0%	  0%	 16%	 16%	低空经济人气龙头,无线充电,可控核聚变 
603839	 安正时尚	 -9.95%	 84%	 16%	 13%	  0%	 36%	 49%	纺织服装,电商概念           
600081	 东风科技	 -9.94%	100%	  0%	 65%	  0%	 27%	 92%	昨日首板,汽车零部件,汽车热管理    
002576	 通达动力	 -9.44%	100%	  0%	 97%	  0%	 68%	165%	昨日首板,电机,发电机概念       
600006	 东风股份	  -8.3%	100%	  0%	 71%	  0%	 47%	118%	昨日首板,新型工业化,汽车一体化压铸  
002229	 鸿博股份	 -8.14%	100%	  0%	 83%	  0%	 30%	113%	昨日首板,数字水印,英伟达概念     
603681	 永冠新材	 -8.13%	 89%	 11%	 30%	  0%	 47%	 76%	6天4板,跨境电商,降解塑料      
603701	 德宏股份	 -7.89%	100%	  0%	 56%	  0%	 71%	127%	昨日首板,新能源车,汽车零部件     
300698	 万马科技	 -7.84%	 78%	 22%	 30%	  0%	 54%	 84%	昨日首板,5G概念,无人驾驶      
000890	 法尔胜：	 -7.71%	 91%	  9%	  0%	  0%	141%	141%	昨日首板,节能环保,通用设备      
603169	 兰石重装	 -7.67%	 91%	  9%	 34%	  0%	 76%	110%	昨日首板,核能核电,可控核聚变     
001208	 华菱线缆	 -7.35%	100%	  0%	  0%	  0%	101%	101%	昨日首板,机器人概念,人形机器人    
600990	 四创电子	 -7.25%	 56%	 44%	 37%	  0%	 51%	 88%	昨日首板,新能源车,可控核聚变     
603089	 正裕工业	 -7.07%	100%	  0%	 45%	  0%	 43%	 88%	昨日首板,新能源车,汽车零部件     
002829	 星网宇达	 -6.65%	100%	  0%	 29%	  0%	 34%	 63%	卫星互联网人气龙头,机器人概念,无人驾驶
600805	 悦达投资	 -6.58%	100%	  0%	  1%	  0%	 61%	 62%	氢能源,新能源车            
603065	 宿迁联盛	  -6.5%	 70%	 30%	109%	  0%	 32%	142%	5天3板,新材料,化学原料       
002347	 泰尔股份	 -5.86%	100%	  0%	  8%	  0%	 44%	 52%	超级电容人气龙头,新型工业化,通用设备 
605366	 宏柏新材	 -5.57%	 88%	 12%	 31%	  0%	 44%	 74%	昨日首板,化学制品,有机硅       
605167	 利柏特：	 -5.55%	100%	  0%	  0%	  5%	 65%	 69%	专用设备,核能核电           
002778	 中晟高科	 -5.38%	100%	  0%	  0%	  0%	 89%	 89%	昨日首板,节能环保,核污染防治     
603680	 今创集团	 -5.28%	100%	  0%	 23%	  0%	 38%	 61%	交运设备,储能             
002995	 天地在线	 -5.19%	 82%	 18%	 21%	  0%	 76%	 97%	昨日首板,Web3.0,远程办公    
603066	 音飞储存	 -5.05%	100%	  0%	 66%	  0%	109%	175%	昨日首板,特斯拉,新型工业化      
002448	 中原内配	 -4.98%	 60%	 40%	 10%	  0%	133%	143%	昨日首板,无人驾驶,汽车零部件     
000981	 山子高科	 -4.91%	 83%	 17%	 14%	  0%	 82%	 96%	昨日首板,汽车零部件,减速器      
002861	 瀛通通讯	 -4.81%	 62%	 38%	 29%	  0%	 75%	104%	昨日首板,AI眼镜,无线充电      
002955	 鸿合科技	 -4.77%	100%	  0%	 68%	  0%	128%	196%	昨日首板,云计算,光学光电子      
002418	 康盛股份	 -4.67%	 70%	 30%	  0%	  0%	130%	130%	昨日首板,液冷概念,无人驾驶      
605599	 菜百股份	 -4.57%	100%	  0%	 11%	  0%	 58%	 69%	电商概念,珠宝首饰           
603797	 联泰环保	 -4.44%	 73%	 27%	 89%	  0%	 88%	177%	昨日首板,环保行业,节能环保      
002920	 德赛西威	 -4.37%	 61%	 39%	  0%	  0%	 77%	 77%	昨日首板,无人驾驶,汽车零部件     
600686	 金龙汽车	 -4.24%	 60%	 40%	 27%	  2%	 63%	 92%	昨日首板,汽车整车,无人驾驶      
