
2025-06-05 09:50:03
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
86	37/86	82.22%/62.77%	1.0%/2.5%	3/2

2025-06-05 09:50:03
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
华为概念/7/5天3板	智能电网/6/2天2板	储能/6/3天3板	充电桩/5/2天2板	大数据/5/4天2板

2025-06-05 09:50:05
龙头股信息：
代码	名称	板块	高度	标签	警告
000695	滨海能源	滨海新区	13天8板	13天8板,滨海新区,太阳能 	 7/7/20250604
603518	锦泓集团	电商概念	 7天5板	7天5板,纺织服装,电商概念 	 6/8/20250604
002878	元隆雅图	快手概念	 5天3板	5天3板,快手概念,NFT概念	8/10/20250604
605099	共创草坪	体育产业	 4天4板	4天4板,体育产业,家用轻工 	 5/8/20250604
000889	中嘉博创	百度概念	 4天2板	4天2板,百度概念,通信服务 	7/11/20250604

2025-06-05 09:50:05
连板天梯信息：
昨板数	今板数	昨涨停数	连板成功	连板成功率
5	6	 2	 0	  0.0%
4	5	 1	 0	  0.0%
3	4	 7	 1	14.29%
2	3	20	 3	 15.0%
1	2	88	10	11.36%

2025-06-05 09:50:18
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
5	6	   fail	002177	御银股份	 4.95%	6天5板,计算机设备,生物识别   	 3/6/20250604
5	6	   fail	603056	德邦股份	-9.66%	7天5板,物流行业,快递概念    	 2/6/20250604
4	5	   fail	002250	联化科技	 1.29%	6天4板,长江三角,农药兽药    	 3/6/20250604
3	4	   fail	603879	永悦科技	-8.88%	4天3板,低空经济,农业种植    	 5/9/20250604
3	4	   fail	603123	翠微股份	-1.71%	5天3板,央国企改革,新零售    	 4/7/20250604
3	4	   fail	002082	万邦德：	-1.72%	4天3板,化学制药,肝炎概念    	 5/9/20250604
3	4	   fail	002537	海联金汇	 0.24%	5天3板,NFT概念,数字货币   	 8/9/20250604
3	4	   fail	603017	中衡设计	-7.33%	4天3板,工程咨询服务,建筑节能  	 5/8/20250604
3	4	   fail	002104	恒宝股份	 4.90%	5天3板,数字货币,数字经济    	 5/9/20250604
3	4	success	605099	共创草坪	10.01%	4天4板,体育产业,家用轻工    	 5/8/20250604
2	3	   fail	605005	合兴股份	-7.57%	6天4板,新能源车,汽车零部件   	 4/8/20250604
2	3	   fail	002633	申科股份	-6.15%	4天2板,微盘股,通用设备     	8/10/20250604
2	3	   fail	002731	萃华珠宝	 7.46%	3天2板,小红书概念,锂电池    	 6/9/20250604
2	3	   fail	000566	海南海药	-4.92%	4天2板,化学制药,肝炎概念    	 5/8/20250604
2	3	   fail	603906	龙蟠科技	-4.52%	3天2板,固态电池,电池      	 6/8/20250604
2	3	   fail	300651	金陵体育	19.08%	3天3板,彩票概念,体育产业    	 1/3/20250604
2	3	   fail	003009	中天火箭	-0.65%	4天2板,太阳能,商业航天     	6/10/20250604
2	3	   fail	003010	若羽臣：	-1.43%	3天2板,婴童概念,社区团购    	 6/7/20250604
2	3	   fail	603697	有友食品	-3.52%	成渝特区人气龙头,成渝特区,食品饮料	 6/9/20250604
2	3	   fail	605006	山东玻纤	-1.49%	3天2板,央国企改革,玻璃玻纤   	6/10/20250604
2	3	   fail	603076	乐惠国际	-0.77%	8天5板,阿里概念,C2M概念   	 6/7/20250604
2	3	   fail	605599	菜百股份	-2.83%	6天3板,黄金概念,珠宝首饰    	 6/9/20250604
2	3	   fail	002900	哈三联：	-3.83%	4天2板,创新药,化学制药     	 6/8/20250604
2	3	   fail	000989	九芝堂：	-2.53%	3天2板,创新药,毛发医疗     	 6/9/20250604
2	3	   fail	600259	广晟有色	 5.92%	3天2板,小金属,稀土永磁     	 6/8/20250604
2	3	   fail	600468	百利电气	-5.66%	14天7板,可控核聚变,超导概念  	 6/6/20250604
2	3	   fail	002345	潮宏基：	-0.99%	3天2板,培育钻石,珠宝首饰    	 5/5/20250604
2	3	success	603093	南华期货	 9.97%	3天3板,多元金融,参股期货    	 5/9/20250604
2	3	success	603226	菲林格尔	 9.96%	4天3板,装修建材         	6/10/20250604
2	3	success	002951	金时科技	10.00%	3天3板,储能,超级电容      	5/10/20250604

2025-06-05 09:50:22
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
300945	曼卡龙：	-7.15%	 81%	 19%	 0%	 0%	 30%	 30%	谷子经济人气龙头,培育钻石,珠宝首饰  
002550	千红制药	-6.44%	100%	  0%	 0%	 0%	 21%	 21%	病毒防治人气龙头,化学制药,肝素概念  
600684	珠江股份	-6.11%	100%	  0%	 0%	 0%	 65%	 65%	昨日首板,婴童概念,房地产服务     
300949	奥雅股份	-5.98%	 68%	 32%	29%	 0%	 21%	 51%	昨日首板,工程咨询服务,建筑节能    
000826	启迪环境	-5.79%	 24%	 76%	 0%	 0%	 29%	 29%	6天3板,汽车拆解,动力电池回收    
603221	爱丽家居	-5.64%	 75%	 25%	 0%	 0%	 67%	 67%	昨日首板,塑料制品,电商概念      
300003	乐普医疗	-5.24%	 78%	 22%	 0%	 0%	 33%	 33%	昨日首板,精准医疗,医疗美容      
300741	华宝股份	-4.72%	 46%	 54%	 0%	 0%	 40%	 40%	昨日首板,调味品概念,食品饮料     
603256	宏和科技	-4.65%	 72%	 28%	 0%	 0%	 56%	 56%	昨日首板,PCB,玻璃玻纤       
605388	均瑶健康	-4.59%	100%	  0%	 0%	 0%	 26%	 26%	8天5板,食品饮料,乳业        
603535	嘉诚国际	-4.17%	 41%	 59%	17%	 0%	 24%	 41%	昨日首板,统一大市场,物流行业     
002644	佛慈制药	-4.16%	100%	  0%	 0%	 0%	 23%	 23%	中药,肝炎概念             
601825	沪农商行	-4.15%	100%	  0%	 0%	 0%	 14%	 14%	上证380业绩龙头,互联金融,银行   
603681	永冠新材	-4.07%	100%	  0%	14%	 0%	 10%	 24%	9天5板,医疗器械概念,化学制品    
000565	渝三峡Ａ	-3.97%	 38%	 62%	 0%	 0%	 37%	 37%	昨日首板,化学制品,石墨烯       
001268	联合精密	-3.92%	 79%	 21%	 0%	 0%	 14%	 14%	机器人概念,通用设备          
603900	莱绅通灵	-3.91%	 33%	 67%	19%	 0%	 18%	 37%	12天6板,新零售,珠宝首饰      
002191	劲嘉股份	-3.56%	 50%	 50%	 0%	 0%	 54%	 54%	昨日首板,食品安全,免疫治疗      
300865	大宏立：	-3.47%	100%	  0%	 0%	 0%	 29%	 29%	一带一路人气龙头,西部大开发,成渝特区 
000838	财信发展	-3.23%	 92%	  8%	 0%	 0%	 62%	 62%	昨日首板,节能环保,西部大开发     
002275	桂林三金	-3.04%	 54%	 46%	 0%	 0%	 32%	 32%	昨日首板,中药,流感          
002467	二六三：	-2.96%	 59%	 41%	 0%	 0%	 16%	 16%	网红经济,一带一路           
600530	交大昂立	-2.85%	100%	  0%	12%	 0%	 12%	 24%	参股券商人气龙头,电商概念,食品饮料  
600794	保税科技	 -2.6%	100%	  0%	 0%	 0%	 15%	 15%	物流行业,统一大市场          
002565	顺灏股份	-2.57%	 65%	 35%	 0%	 0%	 21%	 21%	电子烟人气龙头,生态农业,工业大麻   
002612	朗姿股份	-2.57%	 78%	 22%	 0%	 0%	 22%	 22%	毛发医疗人气龙头,医疗美容,毛发医疗  
002615	哈尔斯：	 -2.5%	 52%	 48%	 0%	 0%	 46%	 46%	昨日首板,婴童概念,新零售       
000546	金圆股份	-2.45%	 54%	 46%	 0%	 0%	 37%	 37%	昨日首板,医废处理,动力电池回收    
000510	新金路：	-2.33%	100%	  0%	 0%	 0%	 18%	 18%	化学原料人气龙头,西部大开发,成渝特区 
002246	北化股份	 -2.3%	100%	  0%	 0%	 0%	 18%	 18%	空间站概念,核污染防治         
000888	峨眉山Ａ	-2.24%	 50%	 50%	 0%	 0%	 62%	 62%	昨日首板,西部大开发,成渝特区     
603208	江山欧派	-2.04%	 54%	 46%	 0%	 0%	 29%	 29%	昨日首板,装修建材           
000599	青岛双星	-1.93%	100%	  0%	 0%	 0%	 21%	 21%	石墨烯,橡胶制品            
002973	侨银股份	-1.91%	 18%	 82%	 0%	 0%	 40%	 40%	6天3板,环保行业,医废处理      
002286	保龄宝：	-1.85%	100%	  0%	 0%	 0%	 18%	 18%	食品饮料,代糖概念           
002956	西麦食品	-1.77%	 24%	 76%	 0%	 0%	 32%	 32%	昨日首板,西部大开发,食品饮料     
002682	龙洲股份	-1.72%	100%	  0%	 0%	 0%	 21%	 21%	冷链物流,物流行业           
002785	万里石：	-1.49%	 75%	 25%	 0%	 0%	 36%	 36%	昨日首板,装修建材           
605009	豪悦护理	-1.32%	 32%	 68%	 6%	 0%	 21%	 27%	昨日首板,养老概念,医疗器械概念    
603863	松炀资源	-1.25%	 86%	 14%	 0%	 0%	 85%	 85%	昨日首板,粤港自贸,造纸印刷      
300016	北陆药业	-1.23%	 97%	  3%	 0%	 0%	 20%	 20%	基因测序人气龙头,创新药,化学制药   
002952	亚世光电	-0.99%	 76%	 24%	 0%	 0%	 43%	 43%	昨日首板,OLED,医疗器械概念    
600830	香溢融通	-0.92%	 40%	 60%	 0%	 0%	 22%	 22%	多元金融估值龙头,多元金融,化债(AMC
002741	光华科技	-0.91%	 52%	 48%	 0%	 0%	 67%	 67%	昨日首板,5G概念,PCB       
002866	传艺科技	-0.91%	 59%	 41%	 0%	 0%	 57%	 57%	昨日首板,消费电子,储能        
601086	国芳集团	-0.87%	 19%	 81%	15%	 0%	 20%	 35%	6天3板,商业百货,新零售       
