
2025-06-06 09:50:03
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
84	35/76	71.43%/68.47%	1.28%/0.25%	1/12

2025-06-06 09:50:03
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
锂电池/6/3天3板	西部大开发/6/3天3板	央国企改革/6/2天2板	小金属概念/4/2天2板	智能电网/4/3天3板

2025-06-06 09:50:04
龙头股信息：
代码	名称	板块	高度	标签	警告
000889	中嘉博创	 雄安新区	8天4板	8天4板,通信服务,雄安新区	6/10/20250605
002951	金时科技	 超级电容	4天4板	4天4板,超级电容,包装材料	 4/9/20250605
002826	易明医药	西部大开发	3天3板	3天3板,西部大开发,中药 	 9/9/20250605
002298	中电鑫龙	时空大数据	3天3板	3天3板,时空大数据,锂电池	6/10/20250605
603679	华体科技	  锂电池	2天2板	2天2板,锂电池,卫星互联网	7/11/20250605

2025-06-06 09:50:04
连板天梯信息：
昨板数	今板数	昨涨停数	连板成功	连板成功率
4	5	 1	0	  0.0%
3	4	 4	2	 50.0%
2	3	 7	3	42.86%
1	2	53	4	 7.55%

2025-06-06 09:50:19
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
5	6	   fail	002177	 御银股份	 4.19%	7天5板,互联金融,计算机设备 	 2/6/20250605
4	5	   fail	605099	XD共创草	 1.36%	5天4板,贬值受益,体育产业  	 4/7/20250605
3	4	   fail	603093	 南华期货	 1.62%	4天3板,多元金融,参股期货  	 4/8/20250605
3	4	   fail	603017	 中衡设计	 9.04%	5天3板,工程咨询服务,装配建筑	 5/9/20250605
3	4	   fail	002082	 万邦德：	 2.93%	5天3板,一带一路,长江三角  	 4/9/20250605
3	4	   fail	603879	 永悦科技	 5.78%	5天3板,农业种植,无人机   	8/10/20250605
3	4	   fail	300651	 金陵体育	-5.96%	4天3板,体育产业,家用轻工  	 1/2/20250605
3	4	success	002951	 金时科技	 9.98%	4天4板,超级电容,包装材料  	 4/9/20250605
3	4	success	603226	 菲林格尔	 9.96%	5天4板,装修建材       	 5/9/20250605
2	3	   fail	605005	 合兴股份	-5.88%	7天4板,新能源车,汽车零部件 	 6/8/20250605
2	3	   fail	000533	 顺钠股份	 0.64%	3天2板,水利建设,数据中心  	 6/9/20250605
2	3	   fail	603076	 乐惠国际	 2.98%	9天5板,啤酒概念,C2M概念 	 5/7/20250605
2	3	   fail	603042	 华脉科技	 3.54%	3天2板,通信设备,数据中心  	6/10/20250605
2	3	   fail	605006	 山东玻纤	 4.99%	4天2板,玻璃玻纤,央国企改革 	6/11/20250605
2	3	   fail	000989	 九芝堂：	-2.35%	4天2板,免疫治疗,创新药   	6/10/20250605
2	3	   fail	300368	 汇金股份	 9.46%	6天3板,互联金融,雄安新区  	 2/3/20250605
2	3	   fail	002731	 萃华珠宝	-4.91%	4天2板,小红书概念,珠宝首饰 	 5/8/20250605
2	3	   fail	600259	 广晟有色	-3.07%	4天2板,央国企改革,稀土永磁 	 5/8/20250605
2	3	   fail	002969	 嘉美包装	-4.42%	3天2板,娃哈哈概念,电商概念 	6/10/20250605
2	3	   fail	002345	 潮宏基：	-6.16%	4天2板,盲盒经济,珠宝首饰  	 8/7/20250605
2	3	   fail	003010	 若羽臣：	-1.20%	4天2板,抖音小店,婴童概念  	 8/7/20250605
2	3	   fail	605599	 菜百股份	-5.23%	电商概念,珠宝首饰       	 6/9/20250605
2	3	   fail	603697	 有友食品	-2.68%	成渝特区,食品饮料       	 7/9/20250605
2	3	   fail	603906	 龙蟠科技	 1.74%	4天2板,锂电池,电池     	 6/9/20250605
2	3	success	000889	 中嘉博创	10.09%	8天4板,通信服务,雄安新区  	6/10/20250605
2	3	success	002826	 易明医药	 9.97%	3天3板,西部大开发,中药   	 9/9/20250605
2	3	success	002298	 中电鑫龙	 9.96%	3天3板,时空大数据,锂电池  	6/10/20250605

2025-06-06 09:50:22
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
603238	 诺邦股份	-7.14%	100%	  0%	 16%	 0%	 15%	 31%	婴童概念,美容护理           
301197	 工大科雅	-6.72%	 83%	 17%	 28%	 0%	 18%	 46%	昨日首板,物联网,软件开发       
601007	 金陵饭店	-6.56%	100%	  0%	  0%	 0%	 66%	 66%	昨日首板,养老概念,旅游酒店      
300082	 奥克股份	-5.88%	 91%	  9%	 19%	 0%	 15%	 35%	昨日首板,新能源,太阳能        
603109	 神驰机电	-5.64%	 57%	 43%	  0%	 0%	 31%	 31%	昨日首板,通用设备,发电机概念     
605299	 舒华体育	-5.35%	 75%	 25%	  0%	 0%	 38%	 38%	昨日首板,体育产业,家用轻工      
603256	 宏和科技	-5.33%	 80%	 20%	  0%	 0%	 25%	 25%	玻璃玻纤人气龙头,PCB,苹果概念   
603823	 百合花：	-5.12%	100%	  0%	  0%	 0%	 23%	 23%	化学制品,锂电池            
600551	 时代出版	-4.67%	 48%	 52%	  0%	 0%	 33%	 33%	6天3板,文化传媒,婴童概念      
603900	 莱绅通灵	-4.51%	100%	  0%	 13%	 0%	 10%	 23%	珠宝首饰人气龙头,新零售,珠宝首饰   
300949	 奥雅股份	-4.43%	100%	  0%	  0%	 0%	 21%	 21%	建筑节能人气龙头,婴童概念,谷子经济  
603901	 永创智能	-4.28%	 28%	 72%	  0%	 0%	 39%	 39%	昨日首板,专用设备,机器人概念     
002932	 明德生物	-4.05%	100%	  0%	  0%	 0%	 71%	 71%	昨日首板,痘病毒防治,体外诊断     
600684	 珠江股份	-4.02%	 98%	  2%	  0%	 0%	 14%	 14%	婴童概念,体育产业           
600698	 湖南天雁	-3.99%	100%	  0%	  0%	 0%	 36%	 36%	昨日首板,新能源车,汽车零部件     
000695	 滨海能源	-3.93%	100%	  0%	  0%	 0%	 75%	 75%	14天8板,造纸印刷,太阳能      
603176	 汇通集团	-3.67%	 96%	  4%	  0%	 0%	 49%	 49%	昨日首板,新型城镇化,铁路基建     
002342	 巨力索具	 -3.5%	100%	  0%	  0%	 0%	 20%	 20%	太阳能,通用设备            
002878	 元隆雅图	 -3.5%	 60%	 40%	  0%	 0%	 57%	 57%	6天3板,谷子经济,盲盒经济      
001309	 德明利：	-3.33%	 43%	 57%	  0%	 0%	 28%	 28%	昨日首板,AIPC,半导体       
603711	 香飘飘：	 -3.3%	100%	  0%	  0%	 0%	 22%	 22%	食品饮料                
002981	 朝阳科技	-3.18%	 44%	 56%	  0%	 0%	 37%	 37%	昨日首板,无线耳机,消费电子      
002055	 得润电子	-3.13%	 77%	 23%	  0%	 0%	 18%	 18%	特斯拉,消费电子            
002275	 桂林三金	-3.11%	100%	  0%	  5%	 0%	 17%	 22%	中药估值龙头,流感,单抗概念      
605009	 豪悦护理	-3.06%	100%	  0%	  0%	 0%	 27%	 27%	宠物经济,美容护理           
300003	 乐普医疗	-3.03%	100%	  0%	  0%	 0%	 18%	 18%	人脑工程业绩龙头,体外诊断,人脑工程  
002956	 西麦食品	-3.02%	100%	  0%	  0%	 0%	 21%	 21%	西部大开发,食品饮料          
003035	 南网能源	-2.82%	 69%	 31%	  0%	 0%	 39%	 39%	昨日首板,智能电网,建筑节能      
603991	 至正股份	-2.49%	 51%	 49%	 18%	 0%	 21%	 39%	昨日首板,塑料制品,核能核电      
000530	 冰山冷热	-2.48%	 78%	 22%	  0%	 0%	 60%	 60%	昨日首板,冰雪经济,体育产业      
002090	 金智科技	-2.46%	100%	  0%	269%	 0%	 62%	331%	昨日首板,人工智能,机器人概念     
001379	 腾达科技	-2.43%	 95%	  5%	 32%	 0%	 19%	 51%	昨日首板,新型工业化,贬值受益     
603305	 旭升集团	-2.12%	 48%	 52%	  0%	 0%	 22%	 22%	机器人概念,汽车零部件         
002657	 中科金财	 -2.1%	100%	  0%	  0%	 0%	 26%	 26%	参股期货人气龙头,ChatGPT概念,A
603221	 爱丽家居	-1.79%	 90%	 10%	  0%	 0%	 13%	 13%	新型工业化,电商概念          
000888	 峨眉山Ａ	-1.78%	100%	  0%	  0%	 0%	 15%	 15%	NFT概念,冰雪经济          
