
2025-06-10 09:50:21
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.83%/333	创新药(21),央国企改革(14),固态电池(12),创投(11),减肥药(11)
飙升	-0.08%/84	   固态电池(5),大股东增持(5),环保行业(4),节能环保(4),电池(4)
大涨	10.41%/40	      锂电池(4),固态电池(4),体育产业(4),电池(3),创新药(3)

2025-06-10 09:50:21
资金流入板块信息：
板块(量比/涨幅)
贸易行业(6.3/-0.2),医疗服务(5.9/1.2),通信服务(5.3/-0.8),化肥行业(4.9/0.5),电池(4.7/1.3)

(今日与昨日量比)上证：-3% 深证：-2% 创业板：1% 沪深300：-8% 中证1000：-9% 银行板块：26%：

2025-06-10 09:50:36
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
300016	北陆药业	20250603	1	70.0%	11.0%	12.0%	 7.0%	3.393	 1.0	精准医疗人气龙头,创新药,免疫治疗   
000989	九芝堂：	20250603	2	69.0%	13.0%	 4.0%	14.0%	 1.96	-1.0	毛发医疗人气龙头,独角兽,央国企改革  
300703	创源股份	20250603	1	64.0%	11.0%	 6.0%	20.0%	2.947	 2.0	宠物经济人气龙头,一带一路,AIGC概念
603823	百合花：	20250604	2	65.0%	26.0%	 2.0%	 7.0%	1.886	 4.0	今日首板,锂电池,化学制品       
600082	海泰发展	20250606	1	65.0%	 5.0%	 0.0%	30.0%	 1.75	-7.0	房地产开发人气龙头,京津冀,滨海新区  
603829	洛凯股份	20250606	2	57.0%	43.0%	 0.0%	 0.0%	 1.39	-1.0	3天2板,电网设备,智能电网      
002391	长青股份	20250606	2	55.0%	34.0%	 5.0%	 7.0%	2.725	-1.0	3天2板,节能环保,长江三角      
002629	仁智股份	20250606	2	47.0%	28.0%	14.0%	11.0%	1.809	 9.0	3天2板,采掘行业,天然气       
003040	楚天龙：	20250606	2	41.0%	24.0%	35.0%	 0.0%	8.729	 9.0	3天2板,ETC,数字货币       
300584	海辰药业	20250606	2	36.0%	53.0%	 6.0%	 5.0%	8.666	-1.0	3天2板,化学制药,幽门螺杆菌概念   
603032	德新科技	20250606	2	26.0%	64.0%	 5.0%	 6.0%	4.451	 8.0	3天2板,电池,刀片电池        

2025-06-10 09:50:39
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
301357	北方长龙	6.51%	19.61	15.19	0.0	226	1547	新材料,西部大开发	0+8	5/60%/2.8%

2025-06-10 09:51:45
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
300798	锦鸡股份	 5.56%	   5%	  -3%	 57	  2	 985	 696	 9.0	F	化学制品人气龙头,化学制品,算力概念  	0+18           	  1/0%/-7.3%
300061	旗天科技	-4.36%	   0%	  -6%	 84	-19	 810	 399	-3.0	F	网络安全,数据安全           	97-13/18+66    	  6/50%/6.0%
301141	中科磁业	 0.24%	   9%	  -3%	 85	  4	1146	1708	-1.0	F	月度涨幅领先,稀土永磁,小金属     	3/16           	 1/0%/-10.3%
300493	润欣科技	-6.69%	   5%	  -3%	 91	-14	 473	1116	-3.0	F	3日主力净流入领先,AI眼镜,汽车芯片 	144-39/25+80   	  7/71%/9.3%
300450	先导智能	 1.76%	   2%	  -2%	109	 39	1005	 638	 9.0	F	电池,固态电池             	376-130/48+198 	 2/50%/-3.2%
300230	永利股份	-3.05%	   2%	  -2%	120	-15	2753	1293	-1.0	F	特斯拉,小米概念            	0+34           	  1/0%/-5.6%
301187	欧圣电气	 0.89%	   1%	  -4%	130	 25	1557	 912	 0.0	F	首发经济业绩龙头,养老概念,冰雪经济  	21-0/2+19      	  2/0%/-3.6%
002163	海南发展	 1.93%	   7%	   1%	136	197	 917	1725	 6.0	F	免税概念,央国企改革          	78-21/6+51     	 10/60%/1.4%
300587	天铁科技	 -0.7%	  10%	   3%	138	 -9	 839	2018	-1.0	F	噪声防治人气龙头,铁路基建,橡胶制品  	1/57           	         nan
000403	派林生物	 4.89%	-100%	-100%	148	448	 889	 296	 1.0	F	山西板块估值龙头,生物制品,央国企改革 	26+-26         	 1/100%/6.0%
000558	天府文旅	-2.16%	  13%	   6%	162	-28	 150	 761	 3.0	F	新能源,户外露营            	1+27           	 10/60%/2.3%
300101	振芯科技	 1.38%	   7%	   1%	167	-18	1557	1052	 1.0	F	西部大开发,卫星互联网         	108-32/14+62   	         nan
000573	粤宏远A	 0.98%	   1%	 -12%	180	 -6	 546	 967	 1.0	F	房地产开发,创投            	1+23           	 16/69%/3.7%
603507	振江股份	-2.13%	   0%	  -4%	185	 91	 912	 377	-5.0	F	机器人概念,风电设备          	10+29          	  5/80%/1.0%
300191	潜能恒信	-3.13%	  11%	   2%	187	-30	1025	1382	-4.0	F	油气设服,可燃冰            	36-8/3+25      	  2/0%/-2.9%
300043	星辉娱乐	 1.36%	  10%	  -6%	188	-26	  40	 826	 2.0	F	游戏人气龙头,体育产业,游戏      	1/29           	 2/50%/-1.2%
603998	方盛制药	-1.64%	   8%	  -3%	189	  8	1184	-410	-1.0	F	高管增持,化妆品概念,婴童概念     	8+21           	         nan
301393	昊帆生物	-0.19%	   4%	  -6%	193	-25	1569	-405	 2.0	F	CRO,生物制品            	4+12           	         nan
301520	万邦医药	 6.67%	   5%	  -4%	194	 16	2302	-755	 1.0	F	医疗服务人气龙头,减肥药,CRO    	1/10           	         nan
