
2025-06-12 09:50:20
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.95%/338	谷子经济(24),数字货币(18),小金属(18),稀土永磁(16),新能源车(13)
飙升	 2.14%/76	  AI眼镜(17),采掘行业(10),油气设服(8),虚拟现实(7),石油行业(4)
大涨	10.74%/33	   谷子经济(4),新能源车(3),盲盒经济(3),汽车零部件(2),AI眼镜(2)

2025-06-12 09:50:20
资金流入板块信息：
板块(量比/涨幅)
采掘行业(5.9/1.9),家用轻工(5.1/1.3),石油行业(4.9/0.2),小金属(4.8/-0.6),游戏(4.4/0.9)

(今日与昨日量比)上证：-8% 深证：-4% 创业板：-3% 沪深300：0% 中证1000：-6% 银行板块：7%：

2025-06-12 09:50:33
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
603679	华体科技	20250605	2	66.0%	10.0%	7.0%	17.0%	0.784	-2.0	智慧灯杆,成渝特区

2025-06-12 09:50:35
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
603215	比依股份	9.98%	 2.42	10.21	1.0	157	2521	今日首板,AI眼镜,小米概念   	2+12      	10/20%/-0.9%
002449	国星光电	9.99%	10.24	45.85	1.0	191	1897	今日首板,AI眼镜,影视概念   	1/43      	 8/50%/-0.7%
300191	潜能恒信	8.42%	 7.27	10.98	1.0	264	1212	采掘行业人气龙头,采掘行业,可燃冰	36-8/3+25 	  2/0%/-2.9%
300793	佳禾智能	5.64%	 5.67	12.97	4.0	276	1285	AI眼镜,元宇宙概念       	73-23/6+44	         nan
300520	科大国创	7.46%	 7.86	17.65	1.0	313	1238	量子科技,MLOps概念     	3+58      	 1/100%/6.8%

2025-06-12 09:51:34
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
601377	兴业证券	-4.95%	13%	  9%	 57	-26	1842	 796	-1.0	F	3日主力净流入领先,碳交易,科创板做市商	92/291     	 2/50%/-0.0%
600481	双良节能	 5.07%	 2%	 -1%	 70	141	1805	 994	 1.0	F	液冷概念,物联网            	4/46       	 11/55%/3.3%
300333	兆日科技	 5.75%	14%	 10%	 87	 -2	1288	 795	 1.0	F	数字货币人气龙头,数字货币,数据安全  	0+0        	  7/86%/5.4%
300622	博士眼镜	 4.55%	 8%	-18%	103	636	1112	 216	 4.0	F	AI眼镜,虚拟现实           	59-9/10+40 	  4/75%/0.9%
002056	横店东磁	-0.14%	 9%	  3%	120	 34	 503	 993	-2.0	F	BC电池业绩龙头,苹果概念,5G概念  	22+101     	 1/100%/2.2%
601908	京运通：	 -1.8%	10%	  3%	124	 -3	 496	 650	-1.0	F	光伏设备,稀土永磁           	1+33       	 10/70%/4.2%
300494	盛天网络	 0.07%	12%	  5%	142	  9	 501	 632	 5.0	F	机构增持,谷子经济,短剧互动游戏    	6/40       	         nan
300428	立中集团	-4.07%	14%	  8%	154	 -5	2053	2100	-5.0	F	汽车一体化压铸业绩龙头,钠离子电池,稀土	1+-1       	         nan
300533	冰川网络	 3.39%	12%	  6%	162	-19	1189	 302	 1.0	F	游戏,网络游戏             	9/26       	         nan
003015	日久光电	 0.88%	 6%	  3%	168	 38	2431	1154	 9.0	F	光学光电子,柔性屏(折叠屏)      	5+27       	 10/50%/0.2%
301101	明月镜片	 2.65%	 8%	  2%	171	473	2126	 788	 9.0	F	AI眼镜,家用轻工           	5+27       	  4/75%/1.2%
600010	包钢股份	  0.0%	 6%	  2%	173	 -3	 339	 613	 0.0	F	氟化工市值龙头,数据中心,军工     	71+318     	  2/50%/2.4%
600732	爱旭股份	-1.98%	12%	  7%	181	-29	1401	 627	-5.0	F	太阳能,光伏设备            	20/104     	  6/67%/4.5%
002301	齐心集团	-0.75%	10%	  5%	189	-12	1902	 634	 5.0	F	谷子经济,AI眼镜           	0+0        	  6/83%/6.2%
002057	中钢天源	 1.27%	 8%	  3%	210	 44	1212	1047	 0.0	F	军工,无人机              	7+40       	  1/0%/-3.0%
002119	康强电子	-0.51%	 6%	  3%	230	-50	 560	 665	-3.0	F	移动支付,存储芯片           	70-23/1+46 	 5/40%/-0.7%
300066	三川智慧	-0.45%	10%	  4%	246	 -8	1868	2108	-1.0	F	华为概念,物联网            	0/28       	         nan
301535	浙江华远	 -1.4%	 9%	  3%	247	-40	2055	1153	 9.0	F	小米汽车,汽车零部件          	0+0        	         nan
301219	腾远钴业	-0.37%	12%	  7%	250	-37	1954	1119	 3.0	F	新能源车,锂电池            	90-32/11+47	2/100%/19.4%
601609	金田股份	 0.87%	 8%	  3%	266	 28	 975	 969	 1.0	F	铜缆高速连接,苹果概念         	4/48       	 1/100%/6.9%

2025-06-12 09:51:34
热榜个股信息2：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002426	胜利精密	-0.34%	 11%	  7%	 13	  6	1002	 669	-1.0	T1	昨日首板,AI眼镜,智能穿戴     	123-17/16+90	 13/77%/3.2%
603335	迪生力：	 3.54%	 10%	  5%	 18	  8	1484	 569	 9.0	T1	昨日首板,贬值受益,微盘股      	0+0         	10/40%/-2.0%
603982	泉峰汽车	 2.55%	 11%	  7%	 22	  2	2666	1710	 9.0	T1	昨日首板,轮毂电机,减速器      	1/12        	         nan
603917	合力科技	 -2.5%	 10%	  5%	 31	  9	2708	1780	-1.0	T1	昨日首板,汽车零部件,汽车一体化压铸 	0+0         	  4/75%/1.3%
603586	金麒麟：	-1.62%	 10%	  4%	 35	 10	1455	 537	-1.0	T1	昨日首板,新能源车,汽车零部件    	2+14        	  5/80%/3.3%
603587	地素时尚	 2.28%	 13%	 10%	 37	  9	3210	1328	 1.0	T1	昨日首板,电商概念,首发经济     	4/16        	1/100%/10.0%
002923	润都股份	 0.77%	 14%	  7%	 41	  2	1042	 240	 7.0	T1	昨日首板,电子烟,工业大麻      	1+13        	  8/50%/2.3%
002759	天际股份	 -3.3%	 13%	 10%	 51	  3	2575	1993	-1.0	T1	昨日首板,钠离子电池,电池      	44-13/2+29  	  6/83%/3.4%
603124	江南新材	  6.5%	 12%	  9%	 55	  8	1314	1186	 9.0	T1	昨日首板,电子元件,PCB      	0+0         	         nan
603725	天安新材	  1.2%	 10%	  5%	 58	 -3	1258	 557	 9.0	T1	昨日首板,创投,新材料        	0/15        	 2/100%/2.8%
002955	鸿合科技	-4.71%	  0%	  0%	 59	 10	1769	 259	-1.0	T1	昨日首板,创投,托育服务       	49-20/7+22  	  2/0%/-2.6%
000702	正虹科技	-3.81%	 11%	  8%	 63	  2	1887	1080	-1.0	T1	昨日首板,农牧饲渔,猪肉概念     	0/15        	 10/90%/4.1%
