
2025-11-10 00:48:39
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
84	63/63	62.38%/63.72%	3.14%/3.14%	8/8

2025-11-10 00:48:39
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
长江三角/11/5天5板	锂电池/10/3天2板	新材料/9/2天2板	氢能源/9/7天4板	节能环保/9/10天5板

2025-11-10 00:48:40
龙头股信息：
代码	名称	板块	高度	标签	警告
000753	漳州发展	 PPP模式	10天5板	10天5板,PPP模式,节能环保	7/10/20250724
603122	合富中国	 SPD概念	 9天9板	9天9板,SPD概念,医药商业 	8/12/20250724
603169	兰石重装	超超临界发电	 7天4板	7天4板,煤化工,氢能源    	8/12/20250724
000572	海马汽车	  海南自贸	 6天5板	6天5板,海南自贸,共享经济  	7/11/20250724
002255	海陆重工	   煤化工	 5天5板	5天5板,煤化工,氢能源    	8/12/20250724

2025-11-10 00:48:40
连板天梯信息：
昨板数	今板数	昨涨停数	连板成功	连板成功率
8	9	 1	1	100.0%
4	5	 1	1	100.0%
3	4	 2	1	 50.0%
2	3	 7	1	14.29%
1	2	51	8	15.69%

2025-11-10 00:48:46
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
8	9	success	603122	合富中国	 9.97%	9天9板,SPD概念,医药商业 	8/12/20250724
4	5	success	002255	海陆重工	10.02%	5天5板,煤化工,氢能源    	8/12/20250724
3	4	   fail	000993	闽东电力	-1.56%	4天3板,啤酒概念,风能    	8/11/20250724
3	4	success	002451	摩恩电气	 9.97%	4天4板,新能源,电网设备   	8/12/20250724
2	3	   fail	002591	恒大高新	-9.99%	3天2板,互联网服务,噪声防治 	8/11/20250724
2	3	   fail	600550	保变电气	 1.28%	3天2板,太阳能,新能源    	8/11/20250724
2	3	   fail	002478	常宝股份	 3.41%	3天2板,钢铁行业,新能源   	8/11/20250724
2	3	   fail	002300	太阳电缆	-1.26%	3天2板,军工,风能      	8/12/20250724
2	3	   fail	000533	顺钠股份	 3.55%	3天2板,太阳能,新能源    	8/11/20250724
2	3	   fail	605060	联德股份	-2.92%	物联网人气龙头,物联网,通用设备	8/11/20250724
2	3	success	001209	洪兴股份	10.02%	3天3板,纺织服装,跨境电商  	8/12/20250724

2025-11-10 00:48:48
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
000838	财信发展	-5.68%	0%	0%	0%	0%	0%	0%	昨日首板,节能环保,房地产开发 
603188	亚邦股份	-5.05%	0%	0%	0%	0%	0%	0%	昨日首板,化学制品,央国企改革 
603040	新坐标：	-4.39%	0%	0%	0%	0%	0%	0%	昨日首板,汽车热管理,汽车零部件
002160	常铝股份	-4.31%	0%	0%	0%	0%	0%	0%	昨日首板,新能源车,汽车热管理 
002578	闽发铝业	-3.97%	0%	0%	0%	0%	0%	0%	4天2板,有色金属,新能源车  
002562	兄弟科技	-3.97%	0%	0%	0%	0%	0%	0%	昨日首板,长寿药,中俄贸易概念 
601015	陕西黑猫	-3.84%	0%	0%	0%	0%	0%	0%	昨日首板,天然气,煤炭行业   
002384	东山精密	-3.21%	0%	0%	0%	0%	0%	0%	昨日首板,PCB,电子元件   
000700	模塑科技	-3.07%	0%	0%	0%	0%	0%	0%	昨日首板,华为汽车,汽车零部件 
000922	佳电股份	-2.92%	0%	0%	0%	0%	0%	0%	昨日首板,轮毂电机,电机    
600966	博汇纸业	-2.61%	0%	0%	0%	0%	0%	0%	昨日首板,造纸印刷       
605123	派克新材	-2.13%	0%	0%	0%	0%	0%	0%	昨日首板,风能,通用设备    
603931	格林达：	-1.66%	0%	0%	0%	0%	0%	0%	昨日首板,半导体概念,国产芯片 
600370	三房巷：	-1.54%	0%	0%	0%	0%	0%	0%	昨日首板,长江三角,娃哈哈概念 
600391	航发科技	-1.54%	0%	0%	0%	0%	0%	0%	昨日首板,大飞机,军工     
000559	万向钱潮	-1.15%	0%	0%	0%	0%	0%	0%	昨日首板,机器人概念,汽车零部件
601600	中国铝业	-1.01%	0%	0%	0%	0%	0%	0%	昨日首板,稀土永磁,有色金属  
600218	全柴动力	-0.92%	0%	0%	0%	0%	0%	0%	昨日首板,氢能源,钒电池    
002975	博杰股份	-0.76%	0%	0%	0%	0%	0%	0%	昨日首板,AIPC,半导体概念 
603109	神驰机电	-0.59%	0%	0%	0%	0%	0%	0%	昨日首板,新能源,西部大开发  
002988	豪美新材	 0.12%	0%	0%	0%	0%	0%	0%	昨日首板,新材料,建筑节能   
603067	振华股份	  0.3%	0%	0%	0%	0%	0%	0%	8天4板,钛白粉,化学原料   
000338	潍柴动力	 1.33%	0%	0%	0%	0%	0%	0%	昨日首板,固态电池,氢能源   
603061	金海通：	 1.46%	0%	0%	0%	0%	0%	0%	昨日首板,半导体        
603225	新凤鸣：	 1.81%	0%	0%	0%	0%	0%	0%	昨日首板,化纤行业       
002851	麦格米特	 2.33%	0%	0%	0%	0%	0%	0%	昨日首板,储能,第三代半导体  
600219	南山铝业	 2.36%	0%	0%	0%	0%	0%	0%	昨日首板,锂电池,参股保险   
601179	中国西电	 3.07%	0%	0%	0%	0%	0%	0%	昨日首板,西部大开发,一带一路 
603052	可川科技	 3.22%	0%	0%	0%	0%	0%	0%	4天2板,锂电池,固态电池   
600506	统一股份	 4.09%	0%	0%	0%	0%	0%	0%	昨日首板,石油行业,西部大开发 
603232	格尔软件	 4.82%	0%	0%	0%	0%	0%	0%	昨日首板,军工,无人机     
603516	淳中科技	 4.87%	0%	0%	0%	0%	0%	0%	昨日首板,计算机设备,国产芯片 
