
2025-12-07 17:26:29
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
601377	兴业证券	5.57%	 2%	-1%	 54	 14	1207	 587	 3.0	F	参股新三板成长龙头,券商概念,证券   	115/334 	 2/50%/-0.0%
000970	中科三环	7.23%	 1%	-2%	119	-38	1470	1443	 8.0	F	2025三季报扭亏业绩龙头,小金属,稀土	22/104  	 4/50%/-1.2%
002023	海特高新	7.78%	 8%	 3%	137	-30	1408	 688	 3.0	F	卫星互联网,大飞机           	5/74    	  1/0%/-3.7%
601211	国泰海通	2.81%	 3%	-2%	153	 16	 926	 313	 3.0	F	券商概念业绩龙头,券商概念,证券    	819/1468	 2/100%/8.4%
000561	烽火电子	5.88%	 4%	 0%	168	 -7	1331	 589	 3.0	F	商业航天,空间站概念          	1/36    	 13/77%/3.0%
600775	南京熊猫	6.75%	 4%	 1%	173	  3	1101	1223	-2.0	F	军工,通信设备             	4/52    	  7/43%/1.9%
603383	顶点软件	6.86%	 0%	-6%	174	105	2318	1864	 5.0	F	软件开发,国产软件           	6/40    	  6/67%/3.9%
002788	鹭燕医药	6.98%	 9%	-1%	176	 -2	 345	 861	 7.0	F	冷链物流,医药商业           	1/26    	         nan
603011	合锻智能	6.98%	 0%	-5%	179	-11	 804	 431	 8.0	F	可控核聚变,光通信模块         	6/62    	 22/68%/3.2%
300085	银之杰：	7.35%	 0%	-5%	209	  7	1314	 889	 4.0	F	数字货币,软件开发           	14/164  	11/91%/14.0%
601168	西部矿业	4.63%	14%	 4%	210	 -1	 498	 640	 8.0	F	月度涨幅领先,有色金属,钒电池     	90/342  	  1/0%/-1.4%
002560	通达股份	5.88%	 5%	 0%	222	 -5	1270	 634	 3.0	F	商业航天,电网设备           	1/34    	  7/71%/2.4%
002268	电科网安	6.87%	 1%	-3%	234	-49	1878	 -33	 3.0	F	卫星互联网,数字货币          	12/92   	  5/40%/0.3%
601519	大智慧：	6.85%	 1%	-2%	245	 15	1246	1100	 5.0	F	虚拟机器人市值龙头,虚拟机器人,京东金融	11/141  	 13/77%/4.7%
600095	湘财股份	4.56%	 2%	-1%	249	  8	1068	 908	 3.0	F	券商概念,证券             	11/93   	  6/67%/1.8%

2025-12-07 17:26:29
热榜个股信息2：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002520	日发精机	 3.44%	10%	7%	148	  5	1341	1734	-2.0	T1	昨日首板,大飞机,工业母机     	2/33	18/78%/5.0%
600255	鑫科材料	 3.54%	11%	0%	185	-14	 630	2333	 2.0	T1	月度涨幅领先,有色金属,铜缆高速连接	1/65	12/50%/1.7%
002925	盈趣科技	-3.66%	11%	6%	230	 10	 387	1104	-1.0	T1	昨日首板,智能穿戴,智能家居    	8/47	 4/50%/1.8%

2025-12-07 17:26:29
热榜个股信息3（热榜个股信息1热榜350内+最近热榜飙升超1000+涨停+压力线超5%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
000592	平潭发展	 6.94%	19%	-11%	 22	 -3	 -10	  -7	 1.0	T1	农牧饲渔人气龙头,新材料,农牧饲渔  	3/185   	 23/65%/2.9%
000063	中兴通讯	-2.26%	11%	 -7%	115	-13	 -57	  11	-1.0	T1	6G概念业绩龙头,无线耳机,AI手机 	208/1079	  4/0%/-3.4%
002474	榕基软件	 4.17%	-8%	-27%	138	 -7	 -83	 -31	-1.0	T1	智慧政务人气龙头,智能电网,国产软件 	1/52    	16/31%/-1.7%
600977	中国电影	-0.85%	13%	 -7%	141	-17	 -68	-117	-4.0	T1	谷子经济市值龙头,人工智能,央国企改革	13/94   	  8/62%/3.9%
000572	海马汽车	 3.13%	 5%	 -9%	166	 -4	 -97	  -7	-3.0	T1	充电桩,氢能源            	2/97    	 16/56%/1.6%
000735	罗牛山：	  5.4%	 5%	-10%	191	-14	-122	 215	-1.0	T1	职业教育,冷链物流          	8/80    	  5/80%/2.1%
600408	安泰集团	 1.15%	18%	 -7%	205	-19	-144	 105	-1.0	T2	4天2板,煤化工,煤炭行业      	2/34    	 15/60%/2.0%
002611	东方精工	-0.91%	 8%	 -7%	214	-13	 -92	-138	 4.0	T1	可控核聚变,军工           	14/142  	 20/65%/3.5%
300903	科翔股份	 7.83%	17%	 -9%	242	 10	  84	  61	 7.0	T1	月度涨幅领先,卫星互联网,无人机   	8/53    	  3/67%/1.7%
600340	华夏幸福	  2.8%	 6%	 -7%	244	-29	-149	   3	 0.0	T1	低空经济,通用航空          	5/58    	 24/75%/4.5%

2025-12-07 17:26:29
热榜个股信息4(热榜350内+涨停+支撑线<20%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
300903	科翔股份	 7.83%	17	 -9%	242	 10	  84	  61	 7.0	T1	月度涨幅领先,卫星互联网,无人机    	8/53    	  3/67%/1.7%
000592	平潭发展	 6.94%	19	-11%	 22	 -3	 -10	  -7	 1.0	T1	农牧饲渔人气龙头,新材料,农牧饲渔   	3/185   	 23/65%/2.9%
000735	罗牛山：	  5.4%	 5	-10%	191	-14	-122	 215	-1.0	T1	职业教育,冷链物流           	8/80    	  5/80%/2.1%
600118	中国卫星	 5.09%	10	  6%	 33	  0	 141	  78	 7.0	T1	昨日首板,商业航天,空间站概念     	19/258  	  7/71%/1.6%
600707	彩虹股份	 4.91%	15	 -1%	248	-18	 167	2220	 3.0	T1	月度涨幅领先,光学光电子,新材料    	38/58   	 1/100%/7.2%
002474	榕基软件	 4.17%	-8	-27%	138	 -7	 -83	 -31	-1.0	T1	智慧政务人气龙头,智能电网,国产软件  	1/52    	16/31%/-1.7%
600033	福建高速	 3.57%	16	 -3%	187	 -7	 -46	 295	 7.0	T1	央国企改革,参股保险          	7/45    	 2/50%/-0.6%
600255	鑫科材料	 3.54%	11	  0%	185	-14	 630	2333	 2.0	T1	月度涨幅领先,有色金属,铜缆高速连接  	1/65    	 12/50%/1.7%
002520	日发精机	 3.44%	10	  7%	148	  5	1341	1734	-2.0	T1	昨日首板,大飞机,工业母机       	2/33    	 18/78%/5.0%
000993	闽东电力	 3.36%	18	 -2%	190	-30	 -64	 437	 1.0	T1	月度涨幅领先,风能,太阳能       	2/28    	  4/75%/5.2%
000572	海马汽车	 3.13%	 5	 -9%	166	 -4	 -97	  -7	-3.0	T1	充电桩,氢能源             	2/97    	 16/56%/1.6%
002031	巨轮智能	 3.08%	10	  6%	 73	 -7	 490	 545	-2.0	T1	昨日首板,核能核电,工业母机      	9/135   	 23/78%/3.3%
600592	龙溪股份	 2.92%	11	  3%	 42	 31	 153	  97	-1.0	T1	昨日首板,商业航天,军工        	7/63    	 14/93%/5.1%
600340	华夏幸福	  2.8%	 6	 -7%	244	-29	-149	   3	 0.0	T1	低空经济,通用航空           	5/58    	 24/75%/4.5%
600408	安泰集团	 1.15%	18	 -7%	205	-19	-144	 105	-1.0	T2	4天2板,煤化工,煤炭行业       	2/34    	 15/60%/2.0%
002625	光启技术	 1.02%	10	 -4%	206	115	 -30	-191	-4.0	T1	PEEK材料概念市值龙头,军工,PEEK	79/634  	  9/78%/2.1%
000536	华映科技	 0.67%	10	 -3%	 88	-12	  -4	 145	-1.0	T1	3D玻璃人气龙头,3D玻璃,光学光电子 	6/90    	 25/76%/5.6%
600977	中国电影	-0.85%	13	 -7%	141	-17	 -68	-117	-4.0	T1	谷子经济市值龙头,人工智能,央国企改革 	13/94   	  8/62%/3.9%
002611	东方精工	-0.91%	 8	 -7%	214	-13	 -92	-138	 4.0	T1	可控核聚变,军工            	14/142  	 20/65%/3.5%
000063	中兴通讯	-2.26%	11	 -7%	115	-13	 -57	  11	-1.0	T1	6G概念业绩龙头,无线耳机,AI手机  	208/1079	  4/0%/-3.4%
002925	盈趣科技	-3.66%	11	  6%	230	 10	 387	1104	-1.0	T1	昨日首板,智能穿戴,智能家居      	8/47    	  4/50%/1.8%
002344	海宁皮城	-4.66%	19	 10%	250	 -3	 402	2335	 3.0	T1	昨日首板,电商概念,小红书概念     	2/28    	  6/83%/7.0%
600635	大众公用	-9.73%	18	 -1%	 97	 -9	  45	  54	-8.0	T1	昨日首板,沪企改革,燃气        	18/113  	 15/80%/3.9%
002402	和而泰：	-10.0%	14	  7%	 50	-11	  70	  86	-3.0	T1	北向净买入领先,华为海思,智能家居   	14/335  	 16/75%/3.4%
