
2025-02-24 21:12:33
今日人气飙升前100+排名350升1000/150升450/50升150：
代码	名称	涨幅	换手	量比	成交额	cumu_ud	排名	较昨日变动	标签	股本
300148	天舟文化	20.0%	27.28	3.05	0.7	7.0	56	2578	今日首板,增强现实,创投                  	41-5/2+34 # 0
000949	新乡化纤	10.02%	8.65	3.39	0.1	0.0	79	2662	今日首板,化纤行业,国企改革                	66-29/3+34 # 900/4/75.0%/4.91%
002498	汉缆股份	10.12%	3.1	4.74	0.1	0.0	110	2998	今日首板,量子通信,燃料电池                	119-79/3+37 # 0
600841	动力新科	9.96%	3.54	3.22	0.0	0.0	114	2448	今日首板,发电机概念,氢能源                	70-33/3+34 # 443/7/71.0%/2.84%
300103	达刚控股	20.03%	9.98	6.96	0.1	3.0	124	4984	今日首板,新型城镇化,节能环保               	17-4/0+13 # 0
002515	金字火腿	10.12%	8.25	5.93	0.3	8.0	131	2496	今日首板,人造肉,预制菜概念                	53-10/6+37 # 2308/1/0.0%/-1.33%
600509	天富能源	10.0%	4.4	2.56	0.7	3.0	135	2930	今日首板,超超临界发电,一带一路              	89-30/7+52 # 1482/3/67.0%/3.36%
002928	华夏航空	10.08%	3.2	2.77	0.3	5.0	136	3113	今日首板,航空机场,西部大开发               	94-43/17+34 # 0
301281	科源制药	19.99%	16.53	5.44	0.5	8.0	143	4504	今日首板,并购重组概念,化学制药              	22-3/8+11 # 863/4/100.0%/15.44%
300126	锐奇股份	20.03%	18.28	1.91	0.0	8.0	149	3196	今日首板,工业4.0,通用设备               	17-3/0+14 # 0
600179	安通控股	10.12%	2.16	3.15	0.0	3.0	153	3804	今日首板,物流行业,统一大市场               	106-29/25+52 # 2891/1/100.0%/0.66%
600984	建设机械	10.0%	1.65	1.29	0.0	0.0	154	4164	今日首板,工程机械,工程机械概念              	46-16/3+27 # 770/5/60.0%/1.12%
603359	东珠生态	10.0%	9.4	4.62	0.0	3.0	160	3663	今日首板,新型城镇化,乡村振兴               	23-10/1+12 # 1252/3/33.0%/-0.66%
605208	永茂泰：	9.98%	6.46	1.18	0.0	0.0	166	2665	今日首板,减速器,汽车零部件                	31-13/2+16 # 980/4/75.0%/2.89%
600302	标准股份	10.02%	4.41	2.66	0.4	1.0	173	3064	今日首板,微盘股,国企改革                 	19-8/0+11 # 2800/1/0.0%/-1.93%
603115	海星股份	10.0%	2.35	2.76	0.0	0.0	179	2671	今日首板,新材料,电子元件                 	37-24/2+11 # 0
605287	德才股份	10.0%	6.29	4.31	0.0	8.0	193	4763	今日首板,新型城镇化,装修装饰               	13-4/1+8 # 1468/3/33.0%/-0.45%
001223	欧克科技	10.01%	9.6	1.99	0.0	0.0	210	4164	今日首板,锂电池,专用设备                 	9-0/0+9 # 2789/1/0.0%/-6.48%
300500	启迪设计	17.16%	10.77	4.43	0.4	8.0	237	3076	工程咨询服务人气龙头,工程咨询服务,新型城镇化       	21-10/0+11 # 0
300374	中铁装配	7.06%	15.47	2.21	0.5	9.0	291	2544	高管增持,新型城镇化,装修装饰               	39-14/2+23 # 2431/1/0.0%/-0.61%

2025-02-24 21:14:03
大盘买卖点
代码	名称	时间	收盘	涨幅	成交额	cumu_ud
000001	上证指数	2025-02-24 14:00	3368.21	-0.06%	509.0	-4.0
000001	上证指数	2025-02-24 14:30	3368.91	0.02%	605.6	-5.0
000001	上证指数	2025-02-24 15:00	3373.03	0.12%	788.6	-6.0
代码	名称	时间	收盘	涨幅	成交额	cumu_ud
000001	上证指数	2025-02-24 14:30	3368.91	0.13%	240.2	-7.0
000001	上证指数	2025-02-24 14:45	3369.82	0.03%	323.8	-8.0
000001	上证指数	2025-02-24 15:00	3373.03	0.10%	464.8	1.0
代码	名称	时间	收盘	涨幅	成交额	cumu_ud
399001	深证成指	2025-02-24 14:00	10949.42	-0.11%	818.1	-3.0
399001	深证成指	2025-02-24 14:30	10967.33	0.16%	920.4	-4.0
399001	深证成指	2025-02-24 15:00	10983.04	0.14%	1350.3	-5.0
代码	名称	时间	收盘	涨幅	成交额	cumu_ud
399001	深证成指	2025-02-24 14:30	10967.33	0.23%	380.6	1.0
399001	深证成指	2025-02-24 14:45	10971.34	0.04%	533.5	-1.0
399001	深证成指	2025-02-24 15:00	10983.04	0.11%	816.8	1.0

2025-02-24 21:14:20
人气排名2000+高换手率：
代码	名称	涨幅	人气	换手	量比	成交量	成交额	cumu_ud	标签
001231	农心科技	2.0	2327	11.72	1.74	0.78	0.1	-3.0	微盘股,农药兽药                      
002888	惠威科技	0.26	2418	6.58	1.66	0.96	0.1	5.0	消费电子,无线耳机                     

2025-02-24 21:14:52
异动股票(加速下跌、高台跳水)+涨幅小于1：
代码	名称	涨幅	成交额	cumu_ud	标签
301533	威马农机	-2.98%	0.0	-6.0	西部大开发,专用设备                    
603319	湘油泵：	-6.12%	0.3	-3.0	激光雷达人气龙头,华为概念,激光雷达            
300638	广和通：	-3.57%	0.9	-3.0	eSIM人气龙头,DeepSeek概念,eSIM      
300161	华中数控	-6.34%	0.3	-1.0	数字哨兵人气龙头,军工,工业4.0             
003001	中岩大地	-10.01%	0.0	-1.0	铁路基建,人工智能                     
605398	新炬网络	-5.98%	0.2	3.0	数据要素,互联网服务                    
301389	隆扬电子	-9.13%	0.1	-1.0	AIPC人气龙头,电子元件,复合集流体           
300454	深信服：	-6.79%	0.4	-3.0	Kimi概念人气龙头,英伟达概念,Kimi概念       
603636	南威软件	-6.42%	0.3	-3.0	房屋检测人气龙头,互联网服务,DeepSeek概念     
300679	电连技术	-3.12%	0.0	-1.0	机构增持,消费电子,英伟达概念               
603583	捷昌驱动	-6.84%	0.2	1.0	专用设备,医疗器械概念                   
301366	一博科技	-2.16%	0.1	-4.0	电子元件,PCB                      
603716	塞力医疗	-4.09%	0.1	-4.0	医废处理人气龙头,人脑工程,AI制药            
603004	鼎龙科技	-2.4%	0.1	-2.0	固态电池,化学原料                     
603109	神驰机电	-5.87%	0.1	-4.0	西部大开发,通用设备                    
603337	杰克股份	-4.3%	0.0	1.0	专用设备                          
603758	秦安股份	-9.59%	0.0	0.0	新能源车,成渝特区                     
000036	华联控股	-2.31%	0.0	0.0	房地产开发,深圳特区                    
300766	每日互动	-10.32%	1.8	-4.0	小红书概念人气龙头,空间计算,快手概念           
603308	应流股份	-8.66%	0.1	0.0	通用设备,参股银行                     
002987	京北方：	-3.74%	0.4	2.0	电子身份证人气龙头,电子身份证,大数据           
300432	富临精工	-5.3%	0.2	-1.0	机器人概念,华为概念                    
603915	国茂股份	-5.76%	0.1	-3.0	减速器,机器人执行器                    
605133	嵘泰股份	-4.78%	0.0	3.0	特斯拉,工业母机                      
301383	天键股份	-4.13%	0.1	-2.0	百度概念,电子元件                     
300553	集智股份	-7.22%	0.1	-4.0	人工智能,新型工业化                    
300680	隆盛科技	-8.64%	0.2	-3.0	北斗导航,特斯拉                      
603119	浙江荣泰	-5.79%	0.1	2.0	非金属材料人气龙头,新能源车,非金属材料          
300674	宇信科技	-5.67%	0.8	-2.0	化债(AMC)概念人气龙头,MLOps概念,智谱AI    
600120	浙江东方	-4.01%	0.6	-4.0	参股券商人气龙头,参股期货,多元金融            
002467	二六三：	-3.67%	0.3	0.0	Web3.0,RCS概念                  
301082	久盛电气	-2.5%	0.0	-2.0	电网设备,熔盐储能                     
300921	南凌科技	-6.41%	0.2	-1.0	边缘计算,DeepSeek概念               
301049	超越科技	-5.59%	0.0	-1.0	动力电池回收,汽车拆解                   
002397	梦洁股份	-3.85%	0.0	-3.0	电商概念,网红直播                     
301121	紫建电子	-4.25%	0.1	-3.0	西部大开发,电池                      
300687	赛意信息	-3.87%	0.1	-1.0	ERP概念业绩龙头,互联网服务,DeepSeek概念    
301608	博实结：	-3.66%	0.0	-1.0	次新股,注册制次新股                    
300489	光智科技	-2.74%	0.2	2.0	无人机,军工                        
300980	祥源新材	-6.01%	0.1	-1.0	建筑节能人气龙头,噪声防治,苹果概念            
002134	天津普林	-2.85%	0.0	-4.0	电子元件,PCB                      
300217	东方电热	-5.08%	0.1	-1.0	大飞机人气龙头,大飞机,汽车热管理             
300691	联合光电	-3.46%	0.1	-2.0	屏下摄像人气龙头,AI眼镜,元宇宙概念           
603201	常润股份	-3.42%	0.0	-1.0	汽车零部件,贬值受益                    
300938	信测标准	-3.96%	0.1	-1.0	机构推荐,低空经济,军工                  
603638	艾迪精密	-2.96%	0.0	-4.0	减速器,机器人概念                     
300323	华灿光电	-3.35%	0.2	-2.0	物联网,AI眼镜                      
300809	华辰装备	-4.43%	0.0	-1.0	一带一路,通用设备                     
300543	朗科智能	-5.45%	0.2	-1.0	植物照明人气龙头,深圳特区,消费电子            
603158	腾龙股份	-2.22%	0.2	0.0	汽车热管理估值龙头,空气能热泵,节能环保          
603667	五洲新春	-3.28%	0.5	-4.0	减速器,机器人执行器                    
603882	金域医学	-6.45%	0.2	-1.0	冷链物流人气龙头,体外诊断,医疗服务            
603150	万朗磁塑	-2.37%	0.0	-5.0	一带一路,塑料制品                     
300562	乐心医疗	-3.64%	0.1	-1.0	国产芯片,智能穿戴                     
002801	微光股份	-5.69%	0.0	-2.0	机器人概念,电机                      
605186	健麾信息	-3.21%	0.0	-3.0	鸿蒙概念,医疗服务                     
002698	博实股份	-2.9%	0.1	2.0	2025规划,人形机器人                  
301325	曼恩斯特	-5.55%	0.2	-2.0	钙钛矿电池人气龙头,机器人概念,钙钛矿电池         
