
2025-03-01 16:59:25
大盘买卖点
代码	名称	时间	收盘	涨幅	成交额	cumu_ud
000001	上证指数	2025-02-28 14:00	3345.8	-0.07%	579.9	-5.0
000001	上证指数	2025-02-28 14:30	3336.52	-0.28%	697.4	-6.0
000001	上证指数	2025-02-28 15:00	3320.9	-0.47%	1143.9	-7.0
代码	名称	时间	收盘	涨幅	成交额	cumu_ud
000001	上证指数	2025-02-28 14:30	3336.52	0.11%	345.1	-4.0
000001	上证指数	2025-02-28 14:45	3326.73	-0.29%	459.2	-5.0
000001	上证指数	2025-02-28 15:00	3320.9	-0.18%	684.8	-6.0
代码	名称	时间	收盘	涨幅	成交额	cumu_ud
399001	深证成指	2025-02-28 14:00	10711.47	-0.13%	796.0	-6.0
399001	深证成指	2025-02-28 14:30	10668.53	-0.40%	1011.3	-7.0
399001	深证成指	2025-02-28 15:00	10611.24	-0.54%	1653.3	-8.0
代码	名称	时间	收盘	涨幅	成交额	cumu_ud
399001	深证成指	2025-02-28 14:30	10668.53	0.07%	507.8	-5.0
399001	深证成指	2025-02-28 14:45	10625.04	-0.41%	678.7	-6.0
399001	深证成指	2025-02-28 15:00	10611.24	-0.13%	974.6	-7.0

2025-03-01 16:59:46
热门100的买卖点：
代码	名称	收盘	涨幅	成交额	cumu_ud	排名	较昨日变动	标签	股本
300032	金龙机电	4.64	-1.28	0.2	-8.0	1657	1426	消费电子,智能穿戴                     	37-6/3+28 #         
002363	隆基机械	7.01	-0.99	0.1	-8.0	1946	1182	华为汽车,智能机器                     	29-12/0+17 #        
300195	长荣股份	6.14	-0.16	0.1	-8.0	2507	1166	智能机器,信创                       	19-1/0+18 # 2894/1/100%/8.5%
603276	恒兴新材	14.65	0.55	0.1	1.0	2883	1125	化学原料,生态农业                     	7-0/0+7 #           
603980	吉华集团	4.8	-0.41	0.1	-8.0	1128	1114	化工原料,化学制品                     	32-9/2+21 # 1664/3/67%/3.9%
600359	新农开发	6.29	-0.16	0.1	-8.0	2732	1079	西部大开发,乡村振兴                    	24-10/0+14 #        
301218	华是科技	22.85	-0.95	0.2	-8.0	3192	1027	智慧政务,软件开发                     	13-0/1+12 # 2586/1/0%/-10.2%
301511	德福科技	14.92	-0.80	0.5	-8.0	1084	1023	柔性屏(折叠屏),PCB                  	56-10/21+25 # 1769/2/50%/1.9%
301548	崇德科技	45.3	-1.13	0.2	-8.0	2698	987	通用设备,PEEK材料概念                 	11-1/1+9 #          
603052	可川科技	37.51	-0.50	0.1	-8.0	2818	948	AI眼镜,混合现实                     	15-0/4+11 # 1137/4/50%/-1.1%
000049	德赛电池	25.0	-0.44	0.5	-8.0	1005	895	荣耀概念,无线耳机                     	96-44/5+47 #        
603355	莱克电气	25.35	-0.04	0.1	-7.0	2714	853	新能源车,智能家居                     	145-115/5+25 #      
600812	华北制药	6.25	-0.64	0.3	-7.0	815	847	雄安新区,化学制药                     	107-59/10+38 # 2211/2/0%/-2.2%
002517	恺英网络	15.18	-0.39	1.0	-8.0	884	838	游戏业绩龙头,元宇宙概念,短剧互动游戏           	291-29/67+195 # 3102/1/100%/6.6%
002850	科达利：	130.88	-0.02	1.0	-8.0	1029	810	特斯拉,机器人概念                     	253-32/99+122 # 2966/1/100%/10.0%
601515	东峰集团	3.17	0.00	0.2	-7.0	1639	793	复合集流体,电子烟                     	58-28/6+24 # 1534/3/67%/3.4%
603161	科华控股	11.04	-0.27	0.1	-8.0	3547	776	汽车零部件,华为汽车                    	21-9/1+11 # 2514/1/0%/-1.5%
002576	通达动力	15.4	-1.09	0.2	-8.0	1381	751	机器人概念,电机                      	25-7/0+18 # 765/5/40%/-0.9%
300557	理工光科	35.0	-1.55	0.3	-8.0	1838	751	车联网(车路云),国产软件                 	32-16/1+15 #        
001283	豪鹏科技	61.25	-0.87	0.1	-7.0	2279	749	电池,储能                         	35-0/9+26 # 3250/1/0%/-3.2%
603051	鹿山新材	26.21	0.04	0.1	-4.0	1568	721	BC电池,柔性屏(折叠屏)                 	13-0/2+11 # 2453/1/100%/5.3%
603088	宁波精达	9.77	-0.71	0.2	-6.0	1945	714	汽车热管理,工业母机                    	43-17/4+22 # 578/6/50%/1.7%
