
2025-03-01 19:46:40
超跌BIAS股票：
代码	名称	BIAS6	BIAS12	BIAS24	标签
000488	ST晨鸣	-100.0	-100.0	-100.0	区块链,EDA概念                     
002309	*ST中利	-100.0	-100.0	-100.0	3天2板,光伏建筑一体化,新能源              
002656	*ST摩登	-100.0	-100.0	-100.0	今日首板,纺织服装,新能源车                
002725	跃岭股份	-100.0	-100.0	-100.0	光通信模块,CPO概念                   
300097	ST智云	-13.3	-19.5	-19.6	小米概念,智能机器                     
300502	新易盛	-11.0	-16.4	-16.4	通信设备市值龙头,光通信模块,CPO概念          
300548	博创科技	-15.0	-20.5	-19.3	机构增持,铜缆高速连接,CPO概念             
300570	太辰光	-15.8	-20.3	-19.2	机构增持,铜缆高速连接,CPO概念             
301171	易点天下	-9.6	-13.5	-17.3	Sora概念业绩龙头,Sora概念,多模态AI       
600200	江苏吴中	-14.2	-17.6	-19.3	IPO受益,辅助生殖                    
