
2025-03-03 22:51:09
涨停统计、龙头股、强势板块、连板天梯：
建议仓位	涨停数	封板率	涨幅	跌停数
53	70/56	57.38%/62.22%	1.22%/-0.44%	-/47

2025-03-03 22:51:09
板一	板二	板三	板四	板五
锂电池/15/3天2板	国企改革/15/4天2板	新能源车/11/6天4板	固态电池/9/3天3板	军工/9/4天2板

2025-03-03 22:51:10
代码	名称	板块	板数	标签	警告
002575	群兴玩具	婴童概念	6天4板	6天4板,房地产服务,婴童概念               	20250228/4/7
603496	恒为科技	新型工业化	4天4板	4天4板,新型工业化,数字孪生               	20250228/4/7
601789	宁波建工	装配建筑	4天2板	4天2板,装配建筑,房屋检测                	20250228/7/8
000056	皇庭国际	租售同权	4天2板	4天2板,房地产服务,租售同权               	20250228/7/10
603200	上海洗霸	固态电池	3天3板	3天3板,固态电池,钠离子电池               	20250228/5/9

2025-03-03 22:51:10
昨板数	今板数	涨停数	连板成功	连板成功率
6	->7	1	0	0.0%
3	->4	2	1	50.0%
2	->3	11	3	27.27%
1	->2	38	5	13.16%
0	->1	57	57	100.0%

2025-03-03 22:51:12
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
6	->7	fail	605100	华丰股份	-9.16%	7天6板,数据中心,发电机概念               	20250228/2/5
3	->4	fail	002276	万马股份	-4.73%	长江三角人气龙头,高压快充,人形机器人           	20250228/4/6
3	->4	success	603496	恒为科技	10.00%	4天4板,新型工业化,数字孪生               	20250228/4/7
2	->3	fail	603007	ST花王	-4.96%	3天2板,PPP模式,海绵城市               	20241216/8/13
2	->3	fail	002582	好想你	-9.92%	3天2板,RCEP概念,食品饮料              	20250228/5/10
2	->3	fail	600238	海南椰岛	-8.40%	3天2板,酿酒行业,彩票概念                	20250228/6/10
2	->3	fail	600693	东百集团	4.87%	3天2板,京东金融,跨境电商                	20250228/6/12
2	->3	fail	605300	佳禾食品	-9.98%	3天2板,食品饮料,代糖概念                	20250228/5/8
2	->3	fail	603377	ST东时	-0.41%	3天2板,汽车服务,职业教育                	20241216/8/11
2	->3	fail	002298	中电鑫龙	-9.95%	5天3板,无线充电,算力概念                	20250228/4/7
2	->3	fail	603959	ST百利	-4.55%	3天2板,工程咨询服务,氢能源               	20241216/8/11
2	->3	success	002575	群兴玩具	10.04%	6天4板,房地产服务,婴童概念               	20250228/4/7
2	->3	success	605066	天正电气	10.05%	3天3板,智能电网,电网设备                	20250228/6/9
2	->3	success	603200	上海洗霸	10.01%	3天3板,固态电池,钠离子电池               	20250228/5/9

2025-03-03 22:51:32
今日情绪(人气350、飙升100、涨幅超9%)：：
类型	涨幅	行业
热门	3.07%/331	固态电池(52),锂电池(35),电池(20),算力(15),小金属(11)
飙升	5.92%/59	锂电池(8),中药(5),大股东增持(4),医疗器械(3),专用设备(3)
涨幅	10.84%/87	固态电池(15),锂电池(13),电池(9),化学制品(4),可控核聚变(4)



上证：-15% 深圳：-12% 创业：-11% 300：-15% 1000：-10% 银行：-14%：

2025-03-03 22:51:49
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	cumu_ud	标签
300134	大富科技	20250225	1	67.0	21.0	5.0	7.0	0.8	-3.0	云游戏人气龙头,智能穿戴,云游戏              
600355	精伦电子	20250225	2	58.0	24.0	4.0	14.0	0.3	4.0	微盘股人气龙头,新型工业化,微盘股             
000980	众泰汽车	20250226	2	68.0	12.0	9.0	11.0	0.2	0.0	4天2板,新能源车,汽车整车                
000981	山子高科	20250226	1	68.0	14.0	0.0	18.0	1.6	0.0	大股东增持,西部大开发,新能源车              
600592	龙溪股份	20250226	2	67.0	21.0	0.0	12.0	0.5	-3.0	4天2板,通用设备,机器人概念               
600729	重庆百货	20250226	2	67.0	31.0	0.0	2.0	0.6	-3.0	4天2板,商业百货,互联金融                
603823	百合花	20250227	2	66.0	21.0	6.0	7.0	0.1	0.0	3天2板,锂电池,化学制品                 

2025-03-03 22:51:57
今日人气飙升前100+排名350升1000/150升450/50升150：
代码	名称	涨幅	换手	量比	成交额	cumu_ud	排名	较昨日变动	标签	股本
603399	永杉锂业	10.05%	3.32	1.16	0.0	0.0	42	2855	今日首板,小金属,锂电池                  	50-22/0+28 # 1141/4/75%/2.6%
300195	长荣股份	20.03%	21.57	3.93	0.2	0.0	48	2914	今日首板,ERP概念,锂电池                	19-1/0+18 # 2894/1/100%/8.5%
603936	博敏电子	10.04%	13.04	4.09	0.8	8.0	55	2631	今日首板,电子元件,新能源车                	57-10/3+44 #        
002942	新农股份	10.02%	5.59	4.13	0.1	8.0	90	3790	今日首板,磷化工,农药兽药                 	23-14/0+9 # 1327/3/0%/-5.2%
000688	国城矿业	10.02%	1.69	3.24	0.0	0.0	91	2895	今日首板,锂矿概念,小金属概念               	144-108/5+31 # 2296/2/50%/1.8%
603978	深圳新星	9.98%	3.55	1.62	0.0	0.0	96	4370	今日首板,锂电池,氟化工                  	0-0/0+0 # 352/9/56%/1.3%
603855	华荣股份	10.01%	2.47	5.04	0.0	0.0	99	4275	今日首板,专用设备,LED                 	74-30/5+39 # 2826/1/100%/2.6%
002581	未名医药	10.03%	3.46	1.43	0.0	0.0	109	2687	今日首板,生物制品,生物疫苗                	42-8/2+32 # 638/6/83%/3.3%
603326	我乐家居	9.97%	2.24	0.47	0.0	0.0	120	3234	今日首板,装修建材                     	23-15/2+6 # 1611/3/67%/1.9%
605133	嵘泰股份	10.0%	4.49	1.24	0.0	7.0	128	2881	今日首板,新能源车,特斯拉                 	53-32/3+18 # 1267/3/33%/0.8%
603135	中重科技	6.88%	10.85	5.25	0.3	-3.0	286	3444	新型工业化,专用设备                    	25-7/1+17 # 2516/1/0%/-3.0%

2025-03-03 22:53:50
排名350内+最近人气飙升超1000+最近涨幅<15%：
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
002428	云南锗业	6.74%	-1.05%	131	-54	839	922	1.0	F	2.37	小金属,小金属概念                     	133-27/6+100 # 388/8/75%/3.3%
002145	中核钛白	7.51%	-0.47%	139	2081	1353	858	-2.0	F	-1.62	钛白粉市值龙头,钛白粉,磷化工               	175-59/22+94 # 3210/1/100%/7.6%
002812	恩捷股份	6.61%	4.53%	157	117	253	605	1.0	F	-0.85	专精特新业绩龙头,电池,固态电池              	278-81/34+163 # 1349/3/33%/0.5%
603026	石大胜华	7.14%	4.58%	163	489	458	1489	-2.0	F	1.8	固态电池估值龙头,固态电池,锂电池             	78-28/6+44 # 1305/3/67%/3.3%
600200	江苏吴中	-5.93%	-11.2%	182	122	101	2901	1.0	F	-20.24	长江三角,IPO受益                    	57-10/2+45 #        
603686	福龙马：	5.1%	6.99%	190	-58	280	789	2.0	F	3.52	环保行业,新能源车                     	51-9/7+35 # 996/4/50%/3.2%
300280	紫天科技	-19.99%	-0.6%	202	327	1066	424	0.0	F	-5.18	算力概念,快手概念                     	19-3/1+15 # 1871/2/50%/-0.3%
002517	恺英网络	6.19%	-4.37%	204	997	1159	197	-3.0	F	-7.94	今日主力净流入领先,短剧互动游戏,电子竞技         	291-29/67+195 # 3102/1/100%/6.6%
002255	海陆重工	5.43%	1.13%	206	1394	1024	-301	-3.0	F	-5.0	可控核聚变,煤化工                     	42-2/3+37 # 2143/2/100%/5.9%
002882	金龙羽：	4.26%	7.82%	211	-135	399	1606	1.0	F	7.85	固态电池,锂电池                      	44-20/1+23 # 2967/1/0%/-9.5%
300446	航天智造	4.9%	0.83%	222	1246	226	2	-3.0	F	-7.61	民爆概念市值龙头,民爆概念,光刻机(胶)          	57-8/9+40 #         
002416	爱施德：	4.78%	3.28%	223	1242	-84	10	7.0	F	-5.43	纾困概念成长龙头,锂电池,电子烟              	172-69/22+81 # 389/8/88%/6.8%
603527	众源新材	6.4%	4.6%	237	455	635	1117	8.0	F	-1.17	固态电池,锂电池                      	34-12/2+20 # 648/6/83%/6.4%
002469	三维化学	7.14%	0.0%	238	158	1672	1928	9.0	F	0.79	壳资源业绩龙头,化学原料,新材料              	52-11/0+41 # 470/7/86%/6.0%
001301	尚太科技	6.9%	5.8%	240	151	1510	1075	-3.0	F	1.28	固态电池,锂电池                      	94-16/23+55 # 1551/3/67%/3.2%
600808	马钢股份	7.69%	6.39%	241	1746	177	255	-3.0	F	-4.97	钢铁行业,国企改革                     	270-189/15+66 # 1564/3/67%/2.0%
300390	天华新能	5.94%	3.88%	244	769	272	902	1.0	F	0.0	注射器概念业绩龙头,固态电池,能源金属           	168-29/15+124 # 1882/2/50%/3.3%
300484	蓝海华腾	6.23%	5.19%	246	301	346	701	1.0	F	0.67	碳化硅人气龙头,固态电池,锂电池              	41-2/3+36 # 1852/2/100%/8.9%
002094	青岛金王	4.34%	0.51%	260	-69	730	697	2.0	F	2.57	美容护理,化妆品概念                    	41-9/5+27 # 87/16/75%/5.1%
301219	腾远钴业	6.11%	10.56%	262	450	320	1183	-4.0	F	1.53	能源金属,动力电池回收                   	90-32/11+47 # 1701/2/100%/19.4%
002226	江南化工	5.68%	0.73%	269	912	1530	430	-2.0	F	-5.37	民爆概念业绩龙头,民爆概念,化学制品            	153-82/16+55 #      
603912	佳力图：	5.54%	0.75%	282	1040	309	-418	-3.0	F	-10.43	专用设备,华为概念                     	51-23/1+27 # 1176/4/100%/6.2%
603135	中重科技	6.88%	0.1%	286	3444	1017	203	-3.0	F	-5.01	新型工业化,专用设备                    	25-7/1+17 # 2516/1/0%/-3.0%
002805	丰元股份	5.64%	2.95%	297	25	654	1043	2.0	F	0.61	化工原料人气龙头,电池,固态电池              	39-14/1+24 # 815/5/80%/4.4%
300041	回天新材	6.18%	0.9%	300	1248	529	476	2.0	F	-2.46	固态电池,锂电池                      	51-7/2+42 #         
002366	融发核电	5.81%	0.62%	303	715	676	879	-4.0	F	-1.43	西部大开发,核能核电                    	64-0/19+45 # 580/6/83%/3.7%
603612	索通发展	6.52%	0.29%	305	1611	596	339	-3.0	F	-2.16	非金属材料,新材料                     	91-30/8+53 # 1461/3/33%/-1.2%
002193	如意集团	5.84%	0.48%	307	226	985	1701	1.0	F	2.76	C2M概念,微盘股                     	18-5/1+12 # 250/10/70%/3.9%
300457	赢合科技	6.36%	0.95%	308	639	522	723	-3.0	F	-3.83	电池,固态电池                       	139-65/6+68 #       
002407	多氟多：	4.76%	2.4%	310	445	425	1014	1.0	F	-1.3	固态电池,钠离子电池                    	138-4/14+120 # 2124/2/100%/5.4%
002162	悦心健康	3.76%	5.22%	312	-147	1313	2727	2.0	F	7.26	装修建材人气龙头,养老概念,辅助生殖            	37-18/2+17 # 1501/3/0%/-4.4%
002532	天山铝业	7.02%	-2.43%	313	1840	1595	1116	-3.0	F	-3.67	有色金属                          	372-150/38+184 #    
300694	蠡湖股份	6.86%	4.47%	322	499	275	813	-4.0	F	1.84	固态电池,燃料电池                     	40-15/1+24 # 1781/2/0%/-6.0%
301187	欧圣电气	7.24%	6.12%	325	-114	890	2046	2.0	F	16.1	养老概念人气龙头,养老概念,首发经济            	21-0/2+19 # 2562/1/0%/-1.2%
603227	雪峰科技	7.48%	0.25%	329	1320	1498	1685	-3.0	F	-0.12	民爆概念业绩龙头,民爆概念,化学制品            	85-31/13+41 #       
000534	万泽股份	7.65%	2.54%	332	2373	606	1062	2.0	F	-2.72	生物制品,军工                       	81-22/18+41 # 2345/1/0%/-4.6%
002271	东方雨虹	1.32%	2.82%	345	-157	343	1016	-3.0	F	1.33	装修建材市值龙头,新材料,装配建筑             	250-57/32+161 # 1464/3/100%/10.0%

2025-03-03 22:53:50
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
