
2025-03-05 01:45:51
排名350内+最近人气飙升超1000+最近涨幅<15%：
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
002180	纳思达：	6.89%	 -1.68%	 78	 13	 297	1082	 4.0	F	  1.08%	汽车芯片,国产芯片        	368-115/71+182 #                 
002389	航天彩虹	6.36%	 -0.43%	153	  3	1590	 658	 8.0	F	 -0.79%	纳米银业绩龙头,航天航空,军民融合	197-71/15+111 # 2233/2/0%/-3.9%  
002729	好利科技	6.85%	 -6.06%	182	 24	1451	 726	 8.0	F	 -6.86%	电子元件,数据中心        	26-8/1+17 # 886/5/40%/1.1%       
605111	新洁能：	5.97%	 -3.79%	185	  3	 810	 246	 6.0	F	   0.0%	半导体,汽车芯片         	148-32/25+91 # 2930/1/0%/-0.4%   
600391	航发科技	6.58%	  2.46%	188	 -3	-190	1557	-1.0	F	  4.96%	航天航空,军工          	68-25/3+40 # 1278/3/33%/0.9%     
002155	湖南黄金	 5.6%	  2.86%	224	-10	 493	 627	 8.0	F	  9.08%	贵金属,贬值受益         	217-76/30+111 # 1130/4/75%/5.0%  
600200	江苏吴中	-8.8%	-25.63%	225	 -4	  37	1445	-8.0	F	-30.58%	参股银行,IPO受益       	57-10/2+45 #                     
300456	赛微电子	5.59%	 -2.85%	240	 22	 918	 340	 6.0	F	 -6.79%	EDA概念,半导体        	0-0/0+0 # 2970/1/0%/-7.9%        
002210	飞马国际	7.27%	  2.26%	241	 -8	1100	 751	-2.0	F	  4.42%	物联网,深圳特区         	63-19/9+35 # 536/7/57%/1.1%      
600667	太极实业	2.16%	  2.64%	268	 15	 122	1096	 4.0	F	  4.28%	存储芯片,国产芯片        	159-48/16+95 # 1590/3/33%/0.4%   
000970	中科三环	5.79%	  4.27%	274	  0	1201	 894	 1.0	F	  7.47%	苹果概念,新能源车        	156-36/19+101 # 1700/2/50%/-3.0% 
300661	圣邦股份	7.08%	 -6.48%	286	-11	1097	 464	 1.0	F	 -4.41%	半导体,国产芯片         	447-128/152+167 # 1841/2/0%/-9.3%
300671	富满微：	 7.1%	   0.2%	306	  7	2015	  -8	 5.0	F	  -7.4%	半导体,国产芯片         	81-26/1+54 # 1842/2/100%/14.4%   
301095	广立微：	 7.2%	 -3.93%	317	 14	1133	-192	 7.0	F	-10.66%	EDA概念,半导体        	62-8/10+44 # 2732/1/0%/-11.0%    
603927	中科软：	2.95%	 -7.42%	323	 88	 955	 499	 3.0	F	 -3.12%	网络安全,软件开发        	191-60/18+113 # 1836/2/100%/6.4% 
300101	振芯科技	7.91%	 -4.86%	331	 26	1904	 792	 8.0	F	 -7.04%	天基互联,北斗导航        	108-32/14+62 #                   
300008	天海防务	6.02%	 -2.29%	339	  4	1743	 360	 8.0	F	 -4.91%	船舶制造成长龙头,军民融合,军工 	81-16/2+63 # 3182/1/0%/-5.4%     

2025-03-05 01:45:51
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
002178	延华智能	 4.84%	11.67%	152	-2	-126	 752	 2.0	T1	   5.8%	软件开发人气龙头,机器人概念,物联网	55-19/0+36 # 145/14/79%/5.0%  
603876	鼎胜新材	  3.2%	 9.95%	173	 6	 860	1733	 3.0	T1	 12.36%	昨日首板,高送转,有色金属     	85-38/14+33 # 1799/2/100%/5.1%
002326	永太科技	  5.0%	 5.61%	190	 1	 999	 631	 8.0	T1	  7.75%	昨日首板,液冷概念,新冠药物    	91-17/4+70 # 943/4/50%/1.7%   
603399	永杉锂业	 6.67%	 8.53%	194	-2	2635	1590	 7.0	T1	 13.54%	昨日首板,小金属,小金属概念    	50-22/0+28 # 727/5/80%/3.4%   
603398	沐邦高科	  6.6%	13.67%	250	 4	 107	1934	-3.0	T1	 17.26%	昨日首板,医疗器械概念,盲盒经济  	68-26/4+38 # 726/5/40%/1.4%   
600478	科力远：	-3.54%	10.66%	254	 5	  33	1405	 0.0	T1	  6.05%	昨日首板,锂矿概念,固态电池    	79-23/3+53 # 1342/3/33%/0.9%  
000058	深赛格：	-0.65%	11.49%	265	-8	 284	1802	-4.0	T2	  3.38%	4天2板,华为概念,深圳特区    	106-60/2+44 # 189/12/58%/2.1% 
603032	德新科技	 2.01%	12.27%	296	 7	1208	 942	 2.0	T1	  7.24%	昨日首板,西部大开发,一带一路   	39-21/1+17 # 1121/4/50%/1.0%  
600400	红豆股份	-1.85%	10.59%	302	 7	  86	1693	 0.0	T1	  8.13%	昨日首板,网红直播,新零售     	61-36/5+20 # 838/5/40%/0.8%   
000973	佛塑科技	-1.97%	 2.09%	305	 6	 879	 641	-8.0	T1	  2.65%	昨日首板,石墨烯,锂电池      	68-18/1+49 # 303/9/56%/4.1%   
000555	神州信息	 -0.3%	-1.81%	307	 8	 964	 282	-4.0	T1	   0.9%	昨日首板,量子通信,物联网     	131-59/9+63 # 442/8/62%/1.9%  
603011	合锻智能	 1.31%	 1.87%	325	 2	1340	 464	-2.0	T1	  5.07%	昨日首板,新型工业化,军工     	42-15/1+26 # 1046/4/100%/2.3% 
600281	华阳新材	 3.36%	11.44%	327	 2	 323	3492	-2.0	T1	 13.64%	昨日首板,微盘股,小金属      	21-9/0+12 # 701/6/67%/3.1%    
605179	一鸣食品	-9.43%	10.36%	343	-2	-254	 722	-8.0	T1	-12.38%	代糖概念,乳业           	91-68/5+18 # 103/15/87%/7.6%  
603777	来伊份：	-8.02%	12.23%	349	-3	-115	 805	-8.0	T1	 -1.47%	白酒,社区团购           	56-30/5+21 # 176/13/85%/5.5%  

2025-03-05 01:45:51
排名350内+最近人气飙升超1000+最近涨停+最近跌幅超5%：
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
600126	杭钢股份	  3.1%	 7.12%	  8	 -2	   4	  -8	 4.0	T2	-16.44%	20天13板,DeepSeek概念,数据	457-263/55+139 # 76/16/69%/4.1%   
002654	万润科技	  6.2%	12.81%	125	 -1	 -14	  48	 6.0	T1	 -8.83%	植物照明人气龙头,存储芯片,军工    	130-38/8+84 # 485/7/86%/6.6%      
000759	中百集团	-9.98%	15.38%	126	 -5	 -67	 108	-8.0	T1	-12.99%	大股东增持,社区团购,免税概念     	67-31/2+34 # 53/19/74%/4.8%       
002896	中大力德	  2.7%	18.41%	136	 -6	 -40	 -64	-4.0	T2	 -19.0%	10天5板,减速器,机器人执行器    	145-66/8+71 # 230/11/73%/2.8%     
603667	五洲新春	 3.81%	-0.31%	162	  1	 -55	 -93	-3.0	T1	-15.53%	减速器,人形机器人           	180-59/13+108 # 126/14/71%/4.1%   
002689	远大智能	 7.89%	  4.1%	196	 -2	 324	  58	 3.0	T1	 -9.91%	机器视觉,机器人概念          	46-24/0+22 # 418/8/62%/3.2%       
000981	山子高科	-0.89%	 1.83%	213	-11	 -56	 -26	 1.0	T1	  -7.5%	大股东增持,减速器,国产芯片      	155-43/33+79 # 60/18/72%/4.6%     
002402	和而泰：	 1.07%	 6.21%	221	 -2	-117	 -35	 1.0	T1	-14.37%	天基互联,北斗导航           	194-9/18+167 # 268/10/70%/2.7%    
603118	共进股份	-6.36%	13.83%	248	-13	-109	 -71	-7.0	T1	-16.53%	WiFi人气龙头,深圳特区,F5G概念 	96-39/3+54 # 225/11/55%/1.1%      
601881	中国银河	-1.06%	 7.16%	261	-17	-150	 372	 2.0	T2	-11.17%	证券市值龙头,证券,科创板做市商    	1870-1518/73+279 # 890/5/40%/-0.1%
002520	日发精机	 3.35%	-6.47%	263	-17	 -88	-123	-1.0	T1	-16.94%	通用航空人气龙头,减速器,人形机器人  	52-9/4+39 # 101/15/80%/5.5%       
603660	苏州科达	-7.06%	 6.69%	281	  0	-209	 521	 3.0	T1	-16.31%	在线教育,全息技术           	47-12/1+34 # 673/6/83%/4.1%       
605179	一鸣食品	-9.43%	10.36%	343	 -2	-254	 722	-8.0	T1	-12.38%	代糖概念,乳业             	91-68/5+18 # 103/15/87%/7.6%      
000785	居然智家	-3.74%	 2.04%	347	  7	-179	  51	 4.0	T1	 -7.79%	新零售人气龙头,新零售,商业百货    	271-168/44+59 # 157/13/62%/3.8%   

2025-03-05 01:45:51
排名350内+最近涨停+最近涨幅<20%：
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
002689	远大智能	 7.89%	  4.1	196	 -2	 324	  58	 3.0	T1	 -9.91%	机器视觉,机器人概念          	46-24/0+22 # 418/8/62%/3.2%       
603399	永杉锂业	 6.67%	 8.53	194	 -2	2635	1590	 7.0	T1	 13.54%	昨日首板,小金属,小金属概念      	50-22/0+28 # 727/5/80%/3.4%       
603398	沐邦高科	  6.6%	13.67	250	  4	 107	1934	-3.0	T1	 17.26%	昨日首板,医疗器械概念,盲盒经济    	68-26/4+38 # 726/5/40%/1.4%       
300530	领湃科技	 6.26%	13.39	158	 -1	 509	 515	 2.0	T1	 15.42%	昨日首板,充电桩,新能源车       	41-26/2+13 # 793/5/100%/11.3%     
002654	万润科技	  6.2%	12.81	125	 -1	 -14	  48	 6.0	T1	 -8.83%	植物照明人气龙头,存储芯片,军工    	130-38/8+84 # 485/7/86%/6.6%      
000980	众泰汽车	 5.75%	15.18	105	 -4	 228	  71	 2.0	T2	  4.94%	昨日首板,无人驾驶,百度概念      	125-50/5+70 # 140/14/50%/1.7%     
002326	永太科技	  5.0%	 5.61	190	  1	 999	 631	 8.0	T1	  7.75%	昨日首板,液冷概念,新冠药物      	91-17/4+70 # 943/4/50%/1.7%       
002178	延华智能	 4.84%	11.67	152	 -2	-126	 752	 2.0	T1	   5.8%	软件开发人气龙头,机器人概念,物联网  	55-19/0+36 # 145/14/79%/5.0%      
603716	塞力医疗	  4.7%	-6.81	228	 -2	 711	 281	 2.0	T1	  6.61%	昨日首板,DRG/DIP,人脑工程   	20-4/1+15 # 235/11/64%/3.4%       
600238	海南椰岛	 3.89%	16.49	334	 -1	-263	1370	 2.0	T2	 -4.84%	4天2板,彩票概念,养老概念      	30-6/2+22 # 1172/4/50%/0.7%       
603667	五洲新春	 3.81%	-0.31	162	  1	 -55	 -93	-3.0	T1	-15.53%	减速器,人形机器人           	180-59/13+108 # 126/14/71%/4.1%   
600281	华阳新材	 3.36%	11.44	327	  2	 323	3492	-2.0	T1	 13.64%	昨日首板,微盘股,小金属        	21-9/0+12 # 701/6/67%/3.1%        
002520	日发精机	 3.35%	-6.47	263	-17	 -88	-123	-1.0	T1	-16.94%	通用航空人气龙头,减速器,人形机器人  	52-9/4+39 # 101/15/80%/5.5%       
603876	鼎胜新材	  3.2%	 9.95	173	  6	 860	1733	 3.0	T1	 12.36%	昨日首板,高送转,有色金属       	85-38/14+33 # 1799/2/100%/5.1%    
600126	杭钢股份	  3.1%	 7.12	  8	 -2	   4	  -8	 4.0	T2	-16.44%	20天13板,DeepSeek概念,数据	457-263/55+139 # 76/16/69%/4.1%   
002896	中大力德	  2.7%	18.41	136	 -6	 -40	 -64	-4.0	T2	 -19.0%	10天5板,减速器,机器人执行器    	145-66/8+71 # 230/11/73%/2.8%     
600105	永鼎股份	 2.03%	-0.69	147	 -4	 622	 215	 7.0	T1	   2.9%	昨日首板,国产芯片,量子通信      	80-22/5+53 # 478/7/71%/1.7%       
603032	德新科技	 2.01%	12.27	296	  7	1208	 942	 2.0	T1	  7.24%	昨日首板,西部大开发,一带一路     	39-21/1+17 # 1121/4/50%/1.0%      
603011	合锻智能	 1.31%	 1.87	325	  2	1340	 464	-2.0	T1	  5.07%	昨日首板,新型工业化,军工       	42-15/1+26 # 1046/4/100%/2.3%     
002402	和而泰：	 1.07%	 6.21	221	 -2	-117	 -35	 1.0	T1	-14.37%	天基互联,北斗导航           	194-9/18+167 # 268/10/70%/2.7%    
000016	深康佳A	 0.69%	 6.06	121	-14	 353	  52	-4.0	T1	  1.58%	昨日首板,存储芯片,国产芯片      	137-40/1+96 # 63/18/78%/3.4%      
002917	金奥博：	  0.5%	-3.19	251	 -3	 687	 463	-4.0	T1	  0.89%	昨日首板,机器视觉,军工        	42-11/6+25 # 315/9/78%/5.1%       
301396	宏景科技	 0.45%	 4.76	205	 11	-109	 333	-4.0	T1	 32.05%	智慧城市人气龙头,物联网,智慧城市   	33-2/6+25 # 997/4/75%/10.0%       
000555	神州信息	 -0.3%	-1.81	307	  8	 964	 282	-4.0	T1	   0.9%	昨日首板,量子通信,物联网       	131-59/9+63 # 442/8/62%/1.9%      
000058	深赛格：	-0.65%	11.49	265	 -8	 284	1802	-4.0	T2	  3.38%	4天2板,华为概念,深圳特区      	106-60/2+44 # 189/12/58%/2.1%     
000981	山子高科	-0.89%	 1.83	213	-11	 -56	 -26	 1.0	T1	  -7.5%	大股东增持,减速器,国产芯片      	155-43/33+79 # 60/18/72%/4.6%     
601881	中国银河	-1.06%	 7.16	261	-17	-150	 372	 2.0	T2	-11.17%	证券市值龙头,证券,科创板做市商    	1870-1518/73+279 # 890/5/40%/-0.1%
600400	红豆股份	-1.85%	10.59	302	  7	  86	1693	 0.0	T1	  8.13%	昨日首板,网红直播,新零售       	61-36/5+20 # 838/5/40%/0.8%       
000973	佛塑科技	-1.97%	 2.09	305	  6	 879	 641	-8.0	T1	  2.65%	昨日首板,石墨烯,锂电池        	68-18/1+49 # 303/9/56%/4.1%       
605378	野马电池	-3.15%	11.69	284	  0	 132	 375	 4.0	T2	   3.2%	4天2板,工业互联,电池        	53-39/1+13 # 567/7/43%/0.2%       
600206	有研新材	-3.25%	13.15	 51	 -5	 -33	 182	 4.0	T1	 -2.74%	央企改革人气龙头,稀土永磁,固态电池  	160-53/12+95 # 187/12/67%/2.4%    
