
2025-03-08 23:42:54
涨停统计、龙头股、强势板块、连板天梯：
建议仓位	涨停数	封板率	涨幅	跌停数
75	62/118	52.54%/75.64%	0.49%/3.09%	-/5

2025-03-08 23:42:54
板一	板二	板三	板四	板五
央国企改革/17/5天5板	华为概念/10/5天5板	西部大开发/9/4天3板	新能源车/8/4天4板	机器人概念/8/3天2板

2025-03-08 23:42:55
代码	名称	板块	板数	标签	警告
605208	永茂泰：	  减速器	10天6板	10天6板,汽车零部件,减速器	20250306/6/5
000409	云鼎科技	 军民融合	 5天5板	5天5板,军民融合,北斗导航 	20250306/4/8
002105	信隆健康	 小米概念	 4天4板	4天4板,交运设备,小米概念 	20250306/6/9
603048	浙江黎明	 新能源车	 4天4板	4天4板,汽车零部件,新能源车	20250306/5/9
601020	华钰矿业	小金属概念	 4天3板	4天3板,有色金属,小金属概念	20250306/4/8

2025-03-08 23:42:55
昨板数	今板数	涨停数	连板成功	连板成功率
4	->5	 3	 2	66.67%
3	->4	 4	 2	 50.0%
2	->3	11	 2	18.18%
1	->2	97	13	 13.4%
0	->1	39	39	100.0%

2025-03-08 23:42:57
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
4	->5	   fail	603700	 宁水集团	-10.01%	月度涨幅领先,物联网,华为概念     	 20250306/3/7
4	->5	success	000409	 云鼎科技	 10.04%	5天5板,军民融合,北斗导航      	 20250306/4/8
4	->5	success	600289	*ST信通	  5.01%	5天5板,国家安防,工业互联      	20241216/7/10
3	->4	   fail	600592	 龙溪股份	  4.69%	8天5板,大飞机,通用设备       	 20250306/6/6
3	->4	   fail	603583	 捷昌驱动	 -1.29%	4天3板,养老概念,医疗器械概念    	 20250306/6/6
3	->4	success	002105	 信隆健康	  9.97%	4天4板,交运设备,小米概念      	 20250306/6/9
3	->4	success	603048	 浙江黎明	 10.00%	4天4板,汽车零部件,新能源车     	 20250306/5/9
2	->3	   fail	600590	 泰豪科技	  8.19%	航母概念人气龙头,航母概念,军民融合  	 20250306/6/4
2	->3	   fail	002115	 三维通信	 -4.53%	3天2板,抖音概念(字节概念),快手概念	 20250306/6/9
2	->3	   fail	603618	 杭电股份	 -5.92%	3天2板,特高压,电网设备       	 20250306/6/9
2	->3	   fail	600589	 大位科技	 -2.88%	11天7板,大数据,边缘计算      	 20250306/7/5
2	->3	   fail	000809	*ST和展	 -0.63%	3天2板,新型城镇化,房地产开发    	 20241216/6/9
2	->3	   fail	600751	 海航科技	 -6.02%	3天2板,京津冀,滨海新区       	20250306/6/10
2	->3	   fail	603166	 福达股份	 -2.55%	3天2板,机器人概念,农业种植     	 20250306/6/8
2	->3	   fail	002195	 岩山科技	 -0.32%	3天2板,AI智能体,机器人概念    	 20250306/5/8
2	->3	   fail	002369	 卓翼科技	 -8.53%	13天8板,智能穿戴,区块链      	 20250306/6/3
2	->3	success	002052	*ST同洲	  4.88%	3天3板,国家安防,广电        	 20241216/9/8
2	->3	success	603300	 海南华铁	 10.03%	3天3板,低空经济,专用设备      	 20250306/6/4

2025-03-08 23:43:20
今日情绪(人气350、飙升100、涨幅超9%)：：
类型	涨幅	行业
热门	2.21%/340	汽车零部件(30),人形机器人(25),小金属(20),信创(16),通用设备(16)
飙升	-1.33%/68	互联医疗(11),医疗器械(10),AI制药(10),医疗服务(9),央国企改革(6)
涨幅	10.63%/85	     汽车零部件(15),通用设备(7),小金属(6),军工(5),节能环保(5)



上证：0% 深圳：0% 创业：0% 300：0% 1000：0% 银行：0%：

2025-03-08 23:43:31
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	cumu_ud	标签
301182	凯旺科技	20250228	1	67.0	 8.0	16.0	9.0	0.6	-8.0	铜缆高速连接人气龙头,华为概念,铜缆高速
600281	华阳新材	20250303	2	67.0	28.0	 4.0	2.0	0.0	 0.0	今日首板,小金属,降解塑料       
002196	方正电机	20250305	2	53.0	27.0	17.0	2.0	0.3	 0.0	3天2板,电机,特斯拉         

2025-03-08 23:43:37
今日人气飙升前100+排名350升1000/150升450/50升150：
代码	名称	涨幅	换手	量比	成交额	cumu_ud	排名	较昨日变动	标签	股本
300168	万达信息	-2.28%	3.99	1.09	0.6	-4.0	 98	1419	数字哨兵市值龙头,MLOps概念,DRG	21+77 # 3+67%+6.9%
603882	金域医学	-3.39%	3.34	0.73	0.7	-6.0	113	1024	华为概念,医疗服务           	44+66 # 6+83%+5.4%
000503	国新健康	-3.01%	2.43	0.88	0.4	-3.0	138	2106	SPD概念市值龙头,互联医疗,DRG/D	5+79 # 10+80%+3.3%
002777	久远银海	 -1.7%	4.27	0.95	0.4	-3.0	167	1434	信创,DRG/DIP          	5+47 # 7+71%+2.9% 
300288	朗玛信息	-2.74%	8.13	0.92	0.5	-8.0	178	1698	大数据,互联医疗            	3+37 #            
600055	万东医疗	-1.73%	1.22	0.77	0.2	-8.0	253	2493	互联医疗,AI制药           	8+59 #            
301230	泓博医药	-3.28%	7.38	0.77	0.3	-8.0	320	1850	CRO,AI制药            	8+17 # 2+50%+4.6% 

2025-03-08 23:46:07
排名350内+最近人气飙升超1000+最近涨幅<15%：
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
300168	万达信息	-2.28%	-2.09%	 98	1419	 526	 409	-4.0	F	 5.25%	数字哨兵市值龙头,MLOps概念,DRG	21+77 # 3+67%+6.9%      
300451	创业慧康	-2.62%	  8.7%	102	 623	  25	 697	-8.0	F	-0.15%	养老金估值龙头,信创,DRG/DIP  	11+67 # 2+0%+-3.4%      
000727	冠捷科技	 5.76%	-3.96%	107	 -18	 872	 586	-3.0	F	 2.79%	今日主力净流入领先,富士康,贬值受益  	12+67 # 4+75%+0.9%      
603882	金域医学	-3.39%	 4.55%	113	1024	 179	 205	-6.0	F	 4.47%	华为概念,医疗服务           	44+66 # 6+83%+5.4%      
000503	国新健康	-3.01%	-1.58%	138	2106	 334	 151	-3.0	F	 0.67%	SPD概念市值龙头,互联医疗,DRG/D	5+79 # 10+80%+3.3%      
000700	模塑科技	 7.14%	-1.74%	145	  -8	1239	 -98	-3.0	F	 0.41%	汽车零部件,小米汽车          	69-26/3+40 # 1+100%+1.4%
300311	任子行：	 6.06%	 2.45%	160	 -36	1890	1285	-4.0	F	17.86%	VPN人气龙头,国家安防,军工     	1+37 # 4+75%+1.8%       
002777	久远银海	 -1.7%	 -1.1%	167	1434	 256	 254	-3.0	F	 2.28%	信创,DRG/DIP          	5+47 # 7+71%+2.9%       
000657	中钨高新	 6.86%	 0.73%	169	  19	2217	1339	-2.0	F	  2.2%	海南板块成长龙头,小金属,工业母机   	17+55 #                 
002149	西部材料	 7.97%	 4.27%	173	 -30	  94	 655	-3.0	F	 2.23%	航母概念人气龙头,小金属,小金属概念  	20+49 # 1+0%+-1.2%      
300288	朗玛信息	-2.74%	-1.46%	178	1698	 240	 638	-8.0	F	 3.77%	大数据,互联医疗            	3+37 #                  
603588	高能环境	 6.93%	-1.14%	196	  38	3320	1249	-2.0	F	  2.5%	医废处理,生物质能发电         	3+69 # 1+100%+4.5%      
600862	中航高科	 6.72%	  1.6%	205	   0	 562	 902	-3.0	F	 0.16%	通用航空业绩龙头,航天航空,工业母机  	76+138 #                
002010	传化智联	 5.75%	 0.58%	206	 -24	 843	  49	-3.0	F	 1.95%	新能源车,工业互联           	7+63 # 3+33%+-0.6%      
000779	甘咨询：	 5.43%	 0.11%	212	  15	1655	1616	 4.0	F	 6.68%	低空经济,西部大开发          	5+21 # 4+25%+-1.1%      
600893	航发动力	 5.07%	 -0.5%	249	 -25	 439	 635	-3.0	F	 0.19%	航天航空市值龙头,航天航空,大飞机   	192+355 # 1+100%+0.1%   

2025-03-08 23:46:07
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
600718	东软集团	 -1.2%	-0.42%	 17	359	1067	 736	-4.0	T1	 9.95%	昨日首板,DRG/DIP,ChatGPT	20+98 # 1+0%+-1.2%     
001339	智微智能	 5.43%	 4.16%	134	  7	 181	 616	-2.0	T2	 8.03%	4天2板,新型工业化,AIPC     	3+37 # 6+50%+1.4%      
002657	中科金财	 0.66%	-3.79%	135	-12	 896	 458	-4.0	T1	10.06%	昨日首板,AI智能体,工业互联     	1+65 # 12+50%+0.7%     
002697	红旗连锁	 6.93%	 6.59%	177	-66	-136	1294	-1.0	T1	-2.49%	彩票概念,西部大开发          	3+31 # 3+33%+-1.2%     
600705	中航产融	 -0.8%	 2.03%	193	-46	1405	 747	-4.0	T1	 9.68%	昨日首板,军民融合,军工        	46+150 # 10+80%+4.4%   
603618	杭电股份	-5.92%	13.87%	209	-50	 411	1293	-8.0	T2	21.04%	3天2板,特高压,电网设备       	0+26 # 5+60%+0.6%      
603088	宁波精达	 4.38%	 1.65%	220	 43	2118	1582	-3.0	T1	12.22%	昨日首板,工业母机,通用设备      	43-17/4+22 # 7+57%+2.1%

2025-03-08 23:46:07
排名350内+最近人气飙升超1000+最近涨停+最近跌幅超5%：
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
603496	恒为科技	-9.98%	19.02%	95	-41	-52	-55	-1.0	T1	-10.79%	信创,国产软件	116-30/11+75 # 8+62%+2.7%

2025-03-08 23:46:07
排名350内+最近涨停+最近涨幅<20%：
代码	名称	涨幅	十日环比	人气排名	排名变动	排名变动3	排名变动5	cumu_ud	最近涨停	最近跌幅	标签	股本
002697	红旗连锁	 6.93%	 6.59	177	-66	-136	1294	-1.0	T1	 -2.49%	彩票概念,西部大开发          	3+31 # 3+33%+-1.2%         
002236	大华股份	 6.55%	-2.78	 22	-11	 601	 320	-3.0	T1	  9.45%	昨日首板,国家安防,新能源车      	356-43/51+262 # 1+100%+6.6%
001339	智微智能	 5.43%	 4.16	134	  7	 181	 616	-2.0	T2	  8.03%	4天2板,新型工业化,AIPC     	3+37 # 6+50%+1.4%          
601177	杭齿前进	 4.63%	15.71	 30	-18	  36	 113	 1.0	T2	 17.79%	18天11板,人形机器人,通用设备   	73-33/4+36 # 11+82%+6.0%   
603088	宁波精达	 4.38%	 1.65	220	 43	2118	1582	-3.0	T1	 12.22%	昨日首板,工业母机,通用设备      	43-17/4+22 # 7+57%+2.1%    
300058	蓝色光标	 3.88%	-0.32	 11	 -3	 621	 289	-4.0	T1	 20.09%	昨日首板,职业教育,AI智能体     	27+242 # 2+100%+2.3%       
300328	宜安科技	 3.58%	19.05	189	-35	 240	 373	-1.0	T1	 22.37%	小金属人气龙头,小金属,汽车一体化压铸 	4+64 # 1+100%+2.0%         
301280	珠城科技	 3.32%	18.09	195	115	 630	1054	 4.0	T1	 28.16%	昨日首板,新能源车,电子元件      	7+13 # 1+100%+3.3%         
603809	豪能股份	 2.92%	-4.34	137	101	 570	 454	 6.0	T1	 13.86%	大飞机人气龙头,汽车零部件,减速器   	3+71 # 6+83%+4.4%          
000678	襄阳轴承	 2.83%	18.77	111	 33	 -70	  -6	-3.0	T1	  5.75%	湖北自贸人气龙头,汽车零部件,减速器  	38-18/1+19 # 9+33%+-1.9%   
000710	贝瑞基因	 2.79%	 14.3	 31	 61	  10	 312	-1.0	T3	  8.02%	5天3板,西部大开发,成渝特区     	47-12/1+34 # 10+70%+2.7%   
300170	汉得信息	 1.89%	 2.29	 23	-14	 280	 187	-4.0	T1	 20.92%	昨日首板,新型工业化,AI智能体    	170-0/12+158 # 3+67%+-2.2% 
600986	浙文互联	 1.14%	  0.0	 35	 -7	 257	 194	-4.0	T1	 13.88%	昨日首板,小米汽车,AI智能体     	118-3/15+100 # 8+75%+2.7%  
603887	城地香江	 1.06%	  9.3	155	 13	 -81	  -2	-4.0	T1	  2.23%	算力概念,数据中心           	91-21/2+68 # 16+88%+4.4%   
000837	秦川机床	 0.66%	 1.02	188	 22	 250	 361	 1.0	T1	  8.29%	机器人执行器,减速器          	110-47/5+58 # 3+33%+-0.4%  
002657	中科金财	 0.66%	-3.79	135	-12	 896	 458	-4.0	T1	 10.06%	昨日首板,AI智能体,工业互联     	1+65 # 12+50%+0.7%         
002195	岩山科技	-0.32%	16.16	  2	  0	  38	  50	-3.0	T2	 20.46%	3天2板,AI智能体,机器人概念    	278-27/20+231 # 10+80%+4.6%
002049	紫光国微	-0.56%	 5.64	141	-21	  60	 325	-3.0	T1	  2.93%	蓝宝石业绩龙头,大飞机,军工      	100+341 # 4+100%+5.2%      
600705	中航产融	 -0.8%	 2.03	193	-46	1405	 747	-4.0	T1	  9.68%	昨日首板,军民融合,军工        	46+150 # 10+80%+4.4%       
003021	兆威机电	-0.87%	 6.48	110	104	 -46	  75	 1.0	T1	  8.39%	电机人气龙头,减速器,人形机器人    	295-191/11+93 # 11+45%+1.5%
600718	东软集团	 -1.2%	-0.42	 17	359	1067	 736	-4.0	T1	  9.95%	昨日首板,DRG/DIP,ChatGPT	20+98 # 1+0%+-1.2%         
603583	捷昌驱动	-1.29%	 7.27	197	-37	 157	 396	 4.0	T3	 21.01%	4天3板,养老概念,医疗器械概念    	148-76/7+65 # 9+78%+5.9%   
002122	汇洲智能	-1.36%	-3.22	234	-94	 422	 254	-2.0	T1	 10.56%	昨日首板,人工智能,大数据       	13+56 # 19+58%+3.7%        
603220	中贝通信	-1.98%	 0.66	172	 -6	 324	 215	-3.0	T1	  11.3%	昨日首板,通信服务,CPO概念     	113-30/3+80 # 4+25%+-1.2%  
002315	焦点科技	-2.41%	 2.67	126	 30	 584	 325	-4.0	T1	  8.74%	昨日首板,互联金融,信创        	89-16/13+60 # 6+67%+1.5%   
603166	福达股份	-2.55%	 7.87	230	 10	 292	 562	-5.0	T2	 21.07%	3天2板,机器人概念,农业种植     	2+36 # 13+69%+3.4%         
603716	塞力医疗	-2.63%	 2.91	 19	737	-203	 306	-8.0	T1	 -2.19%	AI制药,DRG/DIP        	20-4/1+15 # 11+64%+3.4%    
002335	科华数据	-2.69%	 -5.7	147	-26	 166	  41	-3.0	T1	 13.48%	昨日首板,液冷概念,电源设备      	204-57/7+140 # 10+60%+2.7% 
600589	大位科技	-2.88%	 9.21	 97	-28	  -4	 -38	 1.0	T2	 -1.75%	11天7板,大数据,边缘计算      	27+48 # 20+70%+5.0%        
300378	鼎捷数智	 -3.7%	 2.57	164	  9	 683	 433	-5.0	T1	 20.62%	昨日首板,信创,ChatGPT概念   	98-21/8+69 # 2+50%+-0.7%   
600797	浙大网新	-3.92%	-2.47	219	-19	 -12	 160	-9.0	T1	   6.2%	虚拟电厂人气龙头,虚拟电厂,ChatGP	104-14/8+82 # 14+43%+0.6%  
000681	视觉中国	-4.26%	-0.36	 99	-29	 287	 111	-6.0	T1	 10.09%	昨日首板,Sora概念,智谱AI    	161-44/6+111 # 11+64%+3.0% 
600734	实达集团	-4.42%	13.06	150	 57	 -51	  51	-8.0	T1	  6.78%	大数据,国产软件            	101-26/5+70 # 6+50%+-1.0%  
002115	三维通信	-4.53%	 2.68	 80	-25	 593	 491	-3.0	T2	 20.79%	3天2板,抖音概念(字节概念),快手概念	1+56 # 11+64%+3.9%         
000536	华映科技	 -5.4%	  1.2	116	-48	 118	 -30	-3.0	T1	   6.6%	昨日首板,荣耀概念,华为概念      	159-76/14+69 # 22+82%+6.5% 
603618	杭电股份	-5.92%	13.87	209	-50	 411	1293	-8.0	T2	 21.04%	3天2板,特高压,电网设备       	0+26 # 5+60%+0.6%          
601789	宁波建工	 -6.7%	16.08	101	 -6	  14	  26	-3.0	T2	  4.15%	昨日首板,并购重组概念,东数西算    	71-19/3+49 # 11+45%+-1.2%  
300344	立方数科	-7.77%	 6.77	221	-88	 264	 236	-6.0	T1	  28.1%	昨日首板,边缘计算,国产软件      	59-27/0+32 # 7+57%+4.4%    
002369	卓翼科技	-8.53%	11.73	 61	-40	  -4	   7	-6.0	T2	 17.43%	13天8板,智能穿戴,区块链      	0+69 # 21+52%+2.3%         
603496	恒为科技	-9.98%	19.02	 95	-41	 -52	 -55	-1.0	T1	-10.79%	信创,国产软件             	116-30/11+75 # 8+62%+2.7%  
002261	拓维信息	-10.0%	-0.71	  3	 -2	   5	   9	-9.0	T1	 16.44%	电商概念人气龙头,东数西算,华为欧拉  	398-45/13+340 # 18+78%+4.6%

2025-03-08 23:46:10
大盘买卖点

2025-03-08 23:46:10
上证指数：
代码	名称	涨幅102	ud102	涨幅101	ud101	涨幅30	ud30	涨幅15	ud15
000001	上证指数	  1.63%	2.0 |	 -0.12%	-2.0 |	  0.05%	 1.0 |	  0.14%	-2.0 |
000001	上证指数	  1.30%	3.0 |	  0.22%	-3.0 |	  0.10%	 2.0 |	 -0.10%	-3.0 |
000001	上证指数	  0.97%	4.0 |	  0.53%	-4.0 |	 -0.16%	 3.0 |	 -0.17%	-4.0 |
000001	上证指数	 -1.72%	5.0 |	  1.17%	 1.0 |	 -0.27%	-1.0 |	 -0.15%	-5.0 |
000001	上证指数	  1.56%	6.0 |	 -0.25%	 2.0 |	  0.06%	-2.0 |	  0.22%	-6.0 |

2025-03-08 23:46:11
深证综指：
代码	名称	涨幅102	ud102	涨幅101	ud101	涨幅30	ud30	涨幅15	ud15
399001	深证综指	  4.13%	2.0 |	  0.36%	-3.0 |	  0.03%	-2.0 |	  0.15%	-2.0 |
399001	深证综指	  1.64%	3.0 |	  0.28%	-4.0 |	  0.14%	 1.0 |	 -0.17%	-3.0 |
399001	深证综指	  2.25%	4.0 |	  0.28%	-5.0 |	 -0.29%	-1.0 |	 -0.27%	-4.0 |
399001	深证综指	 -3.46%	5.0 |	  1.77%	 1.0 |	 -0.43%	-2.0 |	 -0.16%	-5.0 |
399001	深证综指	  2.19%	6.0 |	 -0.50%	 2.0 |	  0.16%	-3.0 |	  0.32%	-6.0 |

2025-03-08 23:46:24
热门100的买卖点：
代码	名称	收盘	涨幅	成交额	cumu_ud	排名	较昨日变动	标签	股本
600055	万东医疗	17.57	 0.17%	0.2	-8.0	 246	2500	互联医疗,AI制药          	8+59 #            
300298	三诺生物	24.28	 0.25%	0.2	-1.0	2484	1885	医疗器械,互联医疗          	32+40 #           
301230	泓博医药	35.94	 0.36%	0.3	-8.0	 314	1856	CRO,AI制药           	8+17 # 2+50%+4.6% 
300288	朗玛信息	17.41	 0.46%	0.5	-8.0	 176	1700	大数据,互联医疗           	3+37 #            
300146	汤臣倍健	11.61	 0.09%	0.2	-8.0	 822	1592	基因测序业绩龙头,食品饮料,婴童概念 	16+94 #           
300254	仟源医药	 9.17	 0.22%	0.1	-8.0	2943	1518	新冠药物,蒙脱石散          	1+18 #            
300725	药石科技	39.24	 0.59%	0.3	-9.0	 751	1498	CRO,AI制药           	8+54 # 1+0%+-15.3%
300633	开立医疗	29.03	-0.38%	0.4	-8.0	2288	1488	医疗器械,深圳特区          	19+93 #           
300562	乐心医疗	16.17	 0.81%	0.3	-9.0	 637	1391	智能穿戴,区块链           	1+22 # 4+50%+3.0% 
