
2025-03-18 09:50:40
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
88	41/84	75.93%/70%	1.25%/1.26%	8/11

2025-03-18 09:50:40
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
新能源车/10/5天5板	充电桩/6/今日首板	央国企改革/6/6天4板	储能/5/今日首板	深圳特区/5/4天4板

2025-03-18 09:50:41
龙头股信息：
代码	名称	板块	板数	标签	警告
600610	中毅达：	长江三角	7天4板	7天4板,西部大开发,化学原料	6/8/20250317
000815	美利云：	东数西算	6天4板	6天4板,东数西算,国资云概念	6/8/20250317
603677	奇精机械	新能源车	5天5板	5天5板,新能源车,机器人概念	4/7/20250317
002278	神开股份	 碳纤维	4天4板	4天4板,碳纤维,专用设备  	5/9/20250317
002342	巨力索具	  军工	4天4板	4天4板,通用设备,军工   	5/8/20250317

2025-03-18 09:50:41
连板天梯信息：
昨板数	今板数	涨停数	连板成功	连板成功率
9	->10	 1	0	  0.0%
5	 ->6	 1	0	  0.0%
4	 ->5	 2	1	 50.0%
3	 ->4	 7	4	57.14%
2	 ->3	12	3	 25.0%
1	 ->2	57	9	15.79%

2025-03-18 09:51:42
热门板块信息(人气350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
人气	1.68%/342	算力(32),新能源车(22),东数西算(19),充电桩(16),固态电池(15)
飙升	 3.49%/74	     高压快充(17),充电桩(14),锂电池(5),CRO(4),换电(4)
大涨	10.95%/45	   充电桩(6),高压快充(5),新能源车(4),东数西算(3),通用设备(3)

(今日与昨日量比)上证：-26% 深证：-16% 创业板：-15% 沪深300：-34% 中证1000：-15% 银行板块：-50%：

2025-03-18 09:51:53
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
002238	天威视讯	20250311	2	70.0	14.0	14.0	3.0	0.594	-9.0	VPN,云计算   
603359	东珠生态	20250312	1	65.0	25.0	 5.0	5.0	0.498	 1.0	环保行业,PPP模式
600811	东方集团	20250312	1	53.0	47.0	 0.0	0.0	0.111	-1.0	农牧饲渔,粮食概念 
603819	神力股份	20250313	1	63.0	28.0	 3.0	6.0	0.607	-4.0	国家安防,军工   

2025-03-18 09:51:57
飙升个股信息(今日人气飙升前100+排名350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	成交额	九转	人气排名	人气较昨日变动	标签	股本
002227	奥 特 迅	10.01%	 2.21	3.34	0.771	2.0	 75	 969	今日首板,高压快充,电源设备	1+17 # 11+64%+3.7%
300713	 英可瑞：	 20.0%	11.11	13.7	2.025	3.0	112	1744	今日首板,电源设备,换电概念	2+11 #            
605058	 澳弘电子	 10.0%	 1.66	8.06	0.613	1.0	283	2570	今日首板,工业互联,新能源车	3+11 # 3+67%+4.1% 

2025-03-18 09:53:53
人气个股信息1(排名350内+最近人气飙升超1000+最近涨幅<15%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
300351	 永贵电器	  4.98%	  3.58%	 64	607	 535	 734	 3.0	F	  0.16%	高压快充,充电桩            	1+40 #                  
300052	ST中青宝	-19.98%	-33.52%	 72	106	1566	1705	-1.0	F	-100.0%	云游戏,游戏              	0+0 # 2+50%+4.8%        
301221	 光庭信息	  3.72%	  2.89%	104	118	1243	 345	 1.0	F	  0.19%	财税数字化,电子后视镜         	2+24 # 2+50%+-4.7%      
000423	 东阿阿胶	  0.78%	  3.97%	117	487	 981	1035	 1.0	F	  0.05%	大股东增持,创投,中药         	60+158 #                
000793	 ST华闻	  -4.9%	-34.93%	138	511	1532	 520	-3.0	F	-100.0%	冷链物流,在线旅游           	6+37 # 16+50%+1.5%      
001287	 中电港：	   0.0%	 -1.23%	150	 19	1652	1553	 1.0	F	   4.8%	英伟达概念,国产软件          	12+42 # 5+60%+2.5%      
600552	 凯盛科技	   1.7%	  5.35%	151	-16	 329	1054	 1.0	F	  7.47%	3D玻璃人气龙头,固态电池,OLED  	13+80 # 5+80%+3.5%      
600358	 ST联合	  -5.0%	  5.28%	156	943	 333	1504	-4.0	F	  0.23%	电子竞技,体育产业           	4+13 # 6+50%+1.9%       
301312	 智立方：	  0.45%	  1.52%	157	-13	3006	1084	 1.0	F	  8.04%	半导体概念,国产芯片          	1+12 #                  
301316	 慧博云通	  7.89%	  -2.3%	159	 -1	 856	 276	 9.0	F	  7.04%	财税数字化人气龙头,财税数字化,多模态A	66-24/10+32 # 1+0%+-3.5%
000039	 中集集团	 -0.22%	  4.08%	171	 14	 270	1927	-5.0	F	  6.09%	通用设备业绩龙头,物联网,通用设备   	48+125 #                
300085	 银之杰：	  0.45%	  5.97%	174	-40	 138	 673	-4.0	F	  4.75%	3日主力净流入领先,信创,云计算    	7+155 # 11+91%+14.0%    
603466	 风语筑：	  1.68%	  8.77%	180	-52	 804	 412	 1.0	F	  9.51%	Sora概念,数据要素         	4+33 # 5+80%+5.3%       
300745	 欣锐科技	  4.79%	 12.51%	195	551	 598	1020	 2.0	F	 -3.82%	充电桩,第三代半导体          	2+28 #                  
600583	 海油工程	  1.45%	   6.4%	201	-21	 277	2409	 1.0	F	  7.21%	采掘行业业绩龙头,贬值受益,一带一路  	29+80 #                 
300050	 世纪鼎利	 -1.26%	   2.2%	208	-34	1912	1031	-5.0	F	  5.47%	低空经济,职业教育           	1+28 # 4+50%+2.8%       
000422	 湖北宜化	  0.94%	  8.93%	215	-27	 447	 738	 6.0	F	  7.39%	锂电池,湖北自贸            	18+90 #                 
301322	 绿通科技	 -0.91%	  7.77%	216	-56	3097	1609	 1.0	F	 16.86%	交运设备人气龙头,交运设备       	5+20 #                  
300692	 中环环保	 -0.76%	  5.38%	218	-59	2949	2227	 1.0	F	 12.35%	节能环保,绿色电力           	4+16 # 1+100%+6.7%      
300757	 罗博特科	 -3.35%	  1.11%	273	-91	1016	 428	-1.0	F	   7.7%	BC电池市值龙头,光通信模块,CPO概念	13+172 # 3+67%+5.0%     

2025-03-18 09:53:53
人气个股信息2：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
002708	光洋股份	 1.75%	 0.94%	 15	  4	 998	  64	 4.0	T1	 6.17%	昨日首板,PCB,新能源车      	4+40 # 4+75%+5.4%         
600467	好当家：	 2.38%	  7.8%	 25	  4	1151	2518	 9.0	T1	 13.0%	昨日首板,流感,乡村振兴       	0+23 # 5+20%+-1.7%        
002076	星光股份	-1.87%	 4.16%	 26	  8	 841	 537	-1.0	T1	10.34%	昨日首板,家电行业,电商概念     	3+36 # 13+62%+2.7%        
603960	克来机电	-0.36%	 3.96%	 27	 -1	 665	 990	-1.0	T1	12.21%	昨日首板,新能源车,专用设备     	1+34 # 2+50%+1.8%         
002762	金发拉比	 0.83%	 5.45%	 30	  2	 227	1546	 1.0	T2	20.74%	3天2板,毛发医疗,消毒剂      	0+11 # 3+33%+-0.6%        
002329	皇氏集团	 3.27%	 10.7%	 31	  5	1097	3453	 9.0	T2	18.86%	3天2板,RCS概念,智慧城市    	1+19 # 3+67%+0.6%         
000523	红棉股份	 1.36%	 10.2%	 37	 16	  27	3159	 9.0	T2	19.93%	3天2板,并购重组概念,央国企改革  	10+34 # 1+100%+2.7%       
002306	中科云网	-0.92%	12.08%	 38	-11	 418	 943	 9.0	T2	16.43%	BC电池人气龙头,太阳能,BC电池  	24-4/0+20 # 9+44%+-0.2%   
601798	蓝科高新	 1.06%	 9.32%	 42	 12	1385	2205	 1.0	T1	11.08%	昨日首板,专用设备,熔盐储能     	2+15 # 3+33%+-2.0%        
