
2025-03-25 10:50:45
飙升个股信息(今日人气飙升前100+排名350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	成交量	成交额	九转	人气排名	人气较昨日变动	标签	股本
300963	中洲特材	 20.0%	13.74	4.76	 1384	0.017	4.0	 48	1814	今日首板,核能核电,超超临界发电 	0+14 #                 
301082	久盛电气	19.97%	19.95	5.04	 3446	 0.06	4.0	 53	2846	今日首板,熔盐储能,核能核电   	15-0/0+15 # 4+100%+4.1%
603015	弘讯科技	10.02%	 5.83	3.58	 8328	0.114	4.0	 57	1720	今日首板,可控核聚变,新能源   	1+24 # 14+64%+4.0%     
603066	音飞储存	 9.97%	 3.06	1.84	 3002	 0.04	4.0	 93	2391	今日首板,物流行业,央国企改革  	1+15 # 3+100%+1.1%     
600468	百利电气	 9.98%	 3.39	5.48	 6083	 0.03	4.0	110	2560	今日首板,超导概念,电网设备   	3+22 #                 
300726	宏达电子	12.21%	 8.71	3.82	11567	0.492	5.0	115	1789	MLCC人气龙头,MLCC,大飞机	7+44 # 1+0%+-7.0%      
601106	中国一重	 9.93%	 1.33	3.81	20524	0.064	4.0	160	1706	今日首板,核能核电,军民融合   	3+74 # 2+100%+6.5%     
603580	艾艾精工	 5.07%	 6.52	5.32	 2994	0.058	4.0	277	2457	塑料制品,贬值受益        	25-17/0+8 # 2+50%+-0.6%
002171	楚江新材	 1.21%	 1.41	2.33	13812	0.128	4.0	280	1849	大飞机,有色金属         	25+77 # 1+100%+3.0%    
000777	中核科技	 5.91%	  5.9	5.65	11542	 0.22	4.0	293	1865	核能核电,北交所概念       	1+52 # 2+0%+-4.9%      
300707	威唐工业	 4.16%	10.21	2.77	 6086	0.099	4.0	302	2328	储能,汽车热管理         	1+18 # 1+100%+11.5%    
603416	信捷电气	 10.0%	 3.17	4.14	 1209	0.073	5.0	335	2448	今日首板,专用设备,PLC概念  	8+38 # 2+50%+3.7%      

2025-03-25 10:53:06
人气个股信息1(排名350内+最近人气飙升超1000+最近涨幅<15%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
002682	龙洲股份	 1.29%	 8.33%	 28	  -8	 348	1396	 2.0	F	11.29%	昨日首板,物流行业,军工        	2+19 # 3+67%+-1.2%        
000888	峨眉山A	-1.86%	 9.64%	 31	 -17	 809	 907	-3.0	F	10.91%	昨日首板,信创,旅游酒店        	5+42 #                    
600593	大连圣亚	 2.97%	 5.64%	 44	 -17	1009	 601	 3.0	F	 6.91%	昨日首板,东北振兴,央国企改革     	3+17 # 9+78%+4.7%         
002861	瀛通通讯	 3.47%	 0.34%	 45	  -6	1111	 463	 2.0	F	 3.18%	昨日首板,无线充电,富士康       	18-5/0+13 # 16+44%+0.2%   
000430	张家界：	-4.32%	 7.54%	 46	 -31	 491	1952	-3.0	F	12.64%	昨日首板,元宇宙概念,旅游酒店     	3+18 # 5+80%+2.9%         
301055	张小泉：	-2.63%	13.48%	 58	  -3	1743	2488	-2.0	F	22.05%	昨日首板,电商概念,NFT概念     	1+12 #                    
000878	云南铜业	 0.07%	 1.61%	 59	  24	 548	 619	 5.0	F	 3.94%	有色金属,稀缺资源           	46+141 #                  
002639	雪人股份	 6.13%	 2.62%	 66	 305	 117	 788	 3.0	F	 1.03%	可控核聚变,氦气概念          	1+50 # 4+50%+1.6%         
003039	顺控发展	 2.94%	 4.91%	 76	 -31	2855	1403	 3.0	F	 8.35%	昨日首板,绿色电力,公用事业      	4+14 #                    
301025	读客文化	-2.38%	 3.05%	 78	 -48	3307	1801	-3.0	F	14.55%	昨日首板,数字阅读,AI语料      	2+9 #                     
000558	天府文旅	-5.32%	 5.04%	 81	 -47	 558	 992	-3.0	F	 9.62%	昨日首板,户外露营,旅游酒店      	1+27 # 7+71%+4.1%         
603999	读者传媒	-2.76%	 0.46%	 83	 -54	2730	1826	-2.0	F	 6.66%	昨日首板,知识产权,快手概念      	2+14 # 2+0%+-0.3%         
300067	安诺其：	  3.3%	10.35%	 88	 130	  64	 707	 6.0	F	 7.91%	军工,3D打印             	0+50 # 3+0%+-8.8%         
002391	长青股份	 0.35%	 5.92%	 94	 -44	1498	3797	 2.0	F	11.24%	昨日首板,节能环保,农药兽药      	1+23 #                    
600421	华嵘控股	 5.06%	-0.61%	 95	 -27	2732	1980	 2.0	F	 4.85%	昨日首板,通用设备,微盘股       	0+7 # 7+71%+3.4%          
300265	通光线缆	 1.55%	 13.5%	 98	   2	 137	1407	 4.0	F	 16.3%	军民融合人气龙头,商业航天,电网设备  	1+27 #                    
603908	牧高笛：	-3.15%	-0.39%	111	 -52	2620	1421	-3.0	F	 6.51%	昨日首板,电商概念,户外露营      	1+10 # 3+100%+4.3%        
601028	玉龙股份	 0.31%	 6.51%	114	 -15	 694	1690	 2.0	F	-2.53%	3日主力净流入领先,煤化工,天然气   	11+43 #                   
600973	宝胜股份	 0.18%	 2.14%	116	  26	 245	 753	 4.0	F	 6.46%	超导概念,核能核电           	7+38 # 4+50%+0.8%         
300398	飞凯材料	-1.57%	 2.32%	117	  31	1008	2093	 5.0	F	 4.17%	国产芯片,OLED           	5+58 # 2+0%+-5.0%         
000719	中原传媒	 3.98%	 0.37%	118	 394	1758	2272	 4.0	F	 1.56%	职业教育业绩龙头,央国企改革,职业教育 	11+24 # 1+0%+-2.0%        
002667	威领股份	-0.81%	-0.47%	122	 -66	2258	1044	 5.0	F	 5.81%	昨日首板,垃圾分类,储能        	1+19 # 15+67%+2.4%        
600882	妙可蓝多	 0.48%	 0.25%	124	 -72	1304	1073	 1.0	F	  5.2%	昨日首板,参股银行,参股券商      	4+44 # 2+50%+-0.2%        
000822	山东海化	 5.63%	 5.02%	129	 193	 949	2343	 7.0	F	 6.35%	化学原料,央国企改革          	0+33 # 1+0%+-7.0%         
605081	太和水：	  4.3%	 1.13%	130	 -68	2665	 845	 2.0	F	 3.92%	昨日首板,节能环保,环保行业      	1+8 # 2+50%+1.8%          
000733	振华科技	 7.51%	-1.19%	134	1106	 200	 165	 5.0	F	-2.27%	超级电容人气龙头,大飞机,被动元件   	48+149 # 2+50%+3.0%       
603045	福达合金	 3.98%	 8.38%	135	 456	 390	 836	 5.0	F	  1.0%	北斗导航人气龙头,有色金属,小金属概念 	0+18 # 4+25%+1.0%         
600096	云天化：	  1.0%	 0.72%	137	 -55	1167	 886	 3.0	F	  2.5%	新材料业绩龙头,煤化工,新材料     	27+198 #                  
300763	锦浪科技	  5.4%	 6.05%	178	 826	   1	1027	 5.0	F	-0.11%	光伏设备,太阳能            	38+82 #                   
300466	赛摩智能	 7.19%	-4.79%	180	1133	 456	-258	 5.0	F	-7.09%	电网设备,超级电容           	0+28 # 1+0%+-4.7%         
002498	汉缆股份	 2.99%	 8.17%	194	  -3	 502	2149	 5.0	F	10.74%	核能核电,电网设备           	3+40 # 1+0%+-1.1%         
300179	四方达：	-4.05%	 9.14%	196	-125	 603	1504	 1.0	F	 16.4%	培育钻石,半导体概念          	0+37 #                    
