
2025-03-26 23:56:12
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
54	90/57	74.38%/58.16%	1.95%/1.35%	12/46

2025-03-26 23:56:12
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/23/6天5板	新能源车/17/7天6板	机器人概念/14/7天6板	军工/14/10天7板	长江三角/11/13天7板

2025-03-26 23:56:14
龙头股信息：
代码	名称	板块	板数	标签	警告
600610	中毅达：	 长江三角	13天7板	13天7板,化学原料,长江三角	1/2/20250326
002342	巨力索具	  京津冀	10天7板	10天7板,京津冀,通用设备 	7/4/20250326
002553	南方精工	  减速器	 7天6板	7天6板,减速器,汽车零部件 	6/5/20250326
002204	大连重工	机器人概念	 6天5板	6天5板,机器人概念,东北振兴	2/6/20250326
603072	天和磁材	 稀土永磁	 6天3板	6天3板,稀土永磁,小金属  	6/8/20250326

2025-03-26 23:56:14
连板天梯信息：
昨板数	今板数	涨停数	连板成功	连板成功率
5	->6	 1	0	  0.0%
4	->5	 2	1	 50.0%
3	->4	 6	2	33.33%
2	->3	10	4	 40.0%
1	->2	66	9	13.64%

2025-03-26 23:56:27
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
5	->6	   fail	603949	雪龙集团	  0.99%	7天5板,汽车零部件,汽车热管理   	 2/5/20250326
4	->5	   fail	603359	东珠生态	 -9.56%	新型城镇化人气龙头,PPP模式,碳交易	 8/9/20250326
4	->5	success	002204	大连重工	 10.01%	6天5板,机器人概念,东北振兴    	 2/6/20250326
3	->4	   fail	600320	振华重工	  4.47%	5天3板,专用设备,PPP模式    	 4/8/20250326
3	->4	   fail	002767	先锋电子	 -2.59%	4天3板,华为概念,天然气      	 5/8/20250326
3	->4	   fail	601890	亚星锚链	 -2.53%	5天3板,航母概念,船舶制造     	 8/9/20250326
3	->4	   fail	301079	邵阳液压	  5.25%	5天3板,通用设备,机器人概念    	 1/2/20250326
3	->4	success	002427	尤夫股份	  9.92%	4天4板,化纤行业,央国企改革    	 4/7/20250326
3	->4	success	002300	太阳电缆	 10.05%	4天4板,电网设备,特高压      	 3/7/20250326
2	->3	   fail	001202	炬申股份	-10.00%	物流行业人气龙头,物流行业,统一大市场	 8/9/20250326
2	->3	   fail	603280	南方路机	 -2.96%	4天2板,人工智能,工程机械概念   	8/11/20250326
2	->3	   fail	002861	瀛通通讯	 -7.41%	3天2板,智能穿戴,无线充电     	8/11/20250326
2	->3	   fail	002735	王子新材	 -8.84%	3天2板,手游概念,电子烟      	8/10/20250326
2	->3	   fail	603688	石英股份	 -3.32%	3天2板,北交所概念,非金属材料   	 6/9/20250326
2	->3	   fail	603693	江苏新能	 -0.60%	3天2板,太阳能,风能        	 6/9/20250326
2	->3	success	603011	合锻智能	  9.96%	3天3板,工业母机,新型工业化    	 4/7/20250326
2	->3	success	600610	中毅达：	  9.96%	13天7板,化学原料,长江三角    	 1/2/20250326
2	->3	success	601608	中信重工	 10.09%	4天3板,人形机器人,智能机器    	 5/8/20250326
2	->3	success	605069	正和生态	  9.97%	3天3板,土壤修复,新型城镇化    	 5/7/20250326

2025-03-26 23:56:31
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
002724	 海洋王：	-8.93%	| 100%	  0% |	103%	 0%	 10% |	113%	10天6板,石墨烯,电子元件      
603081	 大丰实业	-8.84%	| 100%	  0% |	 24%	 0%	 97% |	121%	昨日首板,首发经济,DeepSeek概念
301055	 张小泉：	-4.95%	| 100%	  0% |	  0%	 0%	 59% |	 59%	NFT概念人气龙头,电商概念,超级品牌 
603709	 中源家居	-4.46%	 | 62%	 38% |	156%	 0%	  6% |	163%	昨日首板,工业互联,养老概念      
002391	 长青股份	-4.33%	 | 90%	 10% |	  0%	 0%	 60% |	 60%	农药兽药估值龙头,节能环保,长江三角  
300697	 电工合金	-4.31%	 | 54%	 46% |	 40%	 0%	 44% |	 84%	小米汽车人气龙头,石墨烯,有色金属   
000151	 中成股份	-4.25%	 | 56%	 44% |	 15%	 0%	145% |	160%	昨日首板,核能核电,央国企改革     
600105	 永鼎股份	-4.13%	| 100%	  0% |	160%	 0%	 99% |	259%	昨日首板,可控核聚变,超导概念     
003033	 征和工业	-3.85%	| 100%	  0% |	 51%	 0%	 27% |	 78%	月度涨幅领先,汽车零部件        
600421	 华嵘控股	-3.27%	| 100%	  0% |	  0%	39%	 20% |	 58%	微盘股,通用设备            
002166	 莱茵生物	-3.04%	 | 38%	 62% |	  0%	 0%	 99% |	 99%	昨日首板,中药,啤酒概念        
600348	 华阳股份	-2.82%	 | 45%	 55% |	  0%	 0%	117% |	117%	昨日首板,煤炭行业,超超临界发电    
603066	 音飞储存	-2.72%	| 100%	  0% |	  0%	 0%	314% |	314%	昨日首板,央国企改革,华为概念     
601399	 国机重装	-2.71%	 | 72%	 28% |	  0%	 0%	200% |	200%	昨日首板,超超临界发电,可控核聚变   
601106	 中国一重	-2.58%	 | 67%	 33% |	  0%	 0%	159% |	159%	昨日首板,央国企改革,军民融合     
301025	 读客文化	-2.44%	| 100%	  0% |	 13%	 0%	 53% |	 66%	AI语料,数字阅读           
600558	 大西洋：	-1.94%	| 100%	  0% |	517%	 0%	111% |	628%	昨日首板,西部大开发,超超临界发电   
603999	 读者传媒	-1.89%	 | 82%	 18% |	  0%	 0%	 60% |	 60%	知识产权,参股保险           
605081	 太和水：	-1.85%	 | 95%	  5% |	  0%	 0%	 54% |	 54%	节能环保,雄安新区           
000422	 湖北宜化	-1.73%	 | 49%	 51% |	 31%	 0%	 47% |	 79%	并购重组概念人气龙头,煤化工,氟化工  
300233	 金城医药	-1.29%	 | 23%	 77% |	 47%	 2%	 62% |	111%	昨日首板,新冠药物,AI制药（医疗）  
000888	 峨眉山Ａ	-1.15%	 | 19%	 81% |	 25%	19%	 38% |	 81%	冰雪经济人气龙头,旅游酒店,信创    
002923	 润都股份	-1.13%	 | 33%	 67% |	 24%	 0%	 95% |	119%	昨日首板,电子烟,青蒿素        
603267	 鸿远电子	-0.93%	 | 39%	 61% |	  0%	10%	102% |	112%	昨日首板,半导体概念,MLCC     
603289	 泰瑞机器	-0.09%	 | 34%	 66% |	168%	 0%	 27% |	196%	昨日首板,工业母机,乡村振兴      
002681	 奋达科技	 0.12%	 | 97%	  3% |	 15%	 0%	 41% |	 56%	3日主力净流入领先,人形机器人,机器人概
300963	 中洲特材	 0.17%	  | 0%	100% |	 72%	 0%	160% |	232%	昨日首板,3D打印,中俄贸易概念    
