
2025-04-18 10:32:42
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
49	32/99	52.46%/74.44%	0.75%/2.96%	13/12

2025-04-18 10:32:43
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/8/8天4板	电商概念/7/5天5板	长江三角/6/12天6板	一带一路/5/2天2板	军工/5/6天4板

2025-04-18 10:32:44
龙头股信息：
代码	名称	板块	板数	标签	警告
002165	红宝丽：	环氧丙烷	 12天6板	12天6板,环氧丙烷,长江三角 	 5/5/20250415
601086	国芳集团	参股券商	11天10板	11天10板,商业百货,参股券商	 3/3/20250417
000965	天保基建	滨海新区	  8天4板	8天4板,滨海新区,房地产开发 	8/11/20250415
002564	天沃科技	熔盐储能	  6天4板	6天4板,熔盐储能,专业服务  	6/10/20250415
605188	国光连锁	 新零售	  5天5板	5天5板,商业百货,新零售   	 4/8/20250415

2025-04-18 10:32:44
连板天梯信息：
昨板数	今板数	涨停数	连板成功	连板成功率
6	->7	 1	0	  0.0%
4	->5	 3	1	33.33%
3	->4	 7	3	42.86%
2	->3	 9	3	33.33%
1	->2	66	6	 9.09%

2025-04-18 10:33:12
热门板块信息(人气350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
人气	0.13%/337	长江三角(16),跨境支付(15),央国企改革(14),半导体(13),商业百货(12)
飙升	 2.25%/82	      减肥药(10),CRO(8),机构增持(7),互联金融(6),长江三角(4)
大涨	10.32%/41	     商业百货(5),房地产开发(3),环氧丙烷(3),长江三角(3),微盘股(3)

(今日与昨日量比)上证：-19% 深证：-4% 创业板：-4% 沪深300：-32% 中证1000：-12% 银行板块：-17%：

2025-04-18 10:33:30
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
000428	华天酒店	20250411	2	67.0	20.0	 2.0	11.0	0.022	-2.0	昨日首板,参股保险,央国企改革   
002453	华软科技	20250411	2	66.0	16.0	 0.0	18.0	0.036	 3.0	昨日首板,互联金融,独角兽     
600712	南宁百货	20250411	2	64.0	22.0	 2.0	12.0	0.046	-6.0	退税商店,商业百货         
002127	南极电商	20250414	2	70.0	 7.0	14.0	 9.0	0.358	 3.0	昨日首板,长江三角,创投      
600053	九鼎投资	20250414	2	70.0	22.0	 0.0	 7.0	0.005	 3.0	今日首板,多元金融,创投      
002255	海陆重工	20250414	2	68.0	 9.0	12.0	11.0	0.343	-3.0	昨日首板,第三代半导体,可控核聚变 
002843	泰嘉股份	20250414	2	65.0	17.0	12.0	 5.0	0.055	 3.0	昨日首板,消费电子,AIPC    
002562	兄弟科技	20250415	2	64.0	18.0	 1.0	16.0	0.102	-3.0	4天2板,化学制品,PEEK材料概念
603110	东方材料	20250415	2	63.0	21.0	 6.0	 9.0	0.047	-4.0	4天2板,石墨烯,数据中心     
603359	东珠生态	20250415	2	63.0	27.0	 2.0	 8.0	0.035	 2.0	4天2板,PPP模式,碳交易    
600735	新华锦：	20250415	1	58.0	29.0	 4.0	 9.0	0.018	-1.0	一带一路,养老概念         

2025-04-18 10:33:35
飙升个股信息(今日人气飙升前100+排名350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	成交量	成交额	九转	人气排名	人气较昨日变动	标签	股本
301509	金凯生科	16.43%	19.23	20.41	1312	0.037	3.0	 35	3948	减肥药,CRO       	0+0 #                 
002177	御银股份	10.12%	 8.68	 6.84	3182	0.015	3.0	 96	1737	今日首板,数字货币,互联金融	33-1/1+31 # 8+62%+2.1%
301566	达利凯普	20.01%	 9.45	14.48	 132	0.002	3.0	102	2374	今日首板,MLCC,被动元件	3+22 #                
600721	百花医药	 3.66%	14.99	 6.75	8698	0.059	3.0	139	1765	CRO,肝炎概念      	3+18 # 2+50%+-0.1%    
301393	昊帆生物	 4.73%	 8.19	 5.17	 402	0.019	3.0	235	1730	CRO,生物制品      	4+12 #                
002724	海洋王：	 4.95%	 4.04	 3.99	8312	0.049	3.0	272	1702	电子元件,石墨烯      	1+-1 # 6+67%+4.2%     
300266	兴源环境	11.82%	 4.34	 7.98	7318	0.018	3.0	347	4122	PPP模式,碳交易     	0+0 # 4+50%+7.4%      
300961	深水海纳	 4.98%	12.76	 4.31	2513	0.039	3.0	348	1820	鸿蒙概念,PPP模式    	0+0 # 6+67%+2.0%      

2025-04-18 10:35:22
人气个股信息1(排名350内+最近人气飙升超1000+最近涨幅<15%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
300379	东方通：	-4.81%	  -1.0%	 49	 -12	 447	1050	-6.0	F	 -19.8%	数据安全,AIGC概念         	6+87 # 3+100%+10.8%         
300022	吉峰科技	 5.96%	-100.0%	 77	1260	 375	-190	 0.0	F	-100.0%	工程机械人气龙头,工程机械,工程机械概念	1+20 #                      
000963	华东医药	 5.27%	  -0.7%	 81	 528	 842	 368	 3.0	F	 -0.38%	减肥药业绩龙头,减肥药,长江三角    	70+202 #                    
600721	百花医药	 3.66%	 -0.76%	139	1765	 457	 -74	 3.0	F	 -2.24%	CRO,肝炎概念            	3+18 # 2+50%+-0.1%          
301073	君亭酒店	-0.86%	 13.24%	159	 -39	 844	 262	-4.0	F	 -1.67%	低空经济人气龙头,低空经济,养老概念  	4+-4 # 1+100%+5.4%          
002889	东方嘉盛	-1.26%	  0.85%	167	 147	 983	 732	-2.0	F	   2.3%	跨境电商,物流行业           	40-22/0+18 # 6+33%+-2.6%    
000721	西安饮食	 -3.6%	  7.02%	172	 -33	 530	 670	-3.0	F	  4.01%	社区团购,旅游酒店           	42-10/2+30 # 7+71%+2.4%     
002850	科达利：	 6.14%	  6.43%	190	 833	1224	  66	 3.0	F	  0.84%	电池,锂电池              	253-32/99+122 # 1+100%+10.0%
300973	立高食品	-4.94%	  5.44%	198	  26	1665	1243	-4.0	F	 -1.05%	机构增持,食品饮料           	10+-10 #                    
601678	滨化股份	-1.67%	  6.97%	203	 -71	1283	 992	-3.0	F	  6.89%	大股东增持,化学原料,半导体概念    	8+70 #                      
300155	安居宝：	-9.84%	  4.44%	208	 -73	2999	 978	-3.0	F	 -0.47%	电商概念,食品安全           	0+0 # 2+0%+-8.8%            
000701	厦门信达	 5.41%	  7.06%	216	1506	 120	-428	 3.0	F	  0.21%	商业百货,小米汽车           	1+20 # 6+33%+-0.4%          
600375	汉马科技	  2.8%	   0.0%	231	 443	1893	1923	 2.0	F	   0.0%	工程机械概念,新能源车         	2+30 # 13+62%+1.3%          
301393	昊帆生物	  4.6%	  6.17%	235	1730	1142	-351	 3.0	F	  -0.2%	CRO,生物制品            	4+12 #                      
002039	黔源电力	 3.18%	   1.7%	242	  22	1258	1945	 3.0	F	  2.87%	央国企改革,西部大开发         	6+36 #                      

2025-04-18 10:35:22
人气个股信息2：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
002820	桂发祥：	-4.07%	 8.19%	 10	 -3	1471	1498	-3.0	T2	 3.81%	3天2板,食品饮料,抖音小店      	1+16 # 9+89%+7.8%       
600250	南京商旅	 5.22%	13.56%	 17	  0	 829	1432	 2.0	T1	 9.21%	昨日首板,并购重组概念,长江三角    	0+0 # 4+50%+0.7%        
002098	浔兴股份	 4.47%	 0.13%	 27	 25	2507	2970	 8.0	T3	12.59%	4天3板,体育产业,跨境电商      	0+0 # 1+100%+10.0%      
603536	惠发食品	  2.2%	 6.93%	 29	 -2	1264	1230	 3.0	T1	 1.18%	昨日首板,新零售,预制菜概念      	0+11 # 9+67%+3.5%       
002040	南京港：	-1.84%	 7.37%	 32	  2	1160	  -6	-3.0	T2	-5.59%	一带一路人气龙头,央国企改革,航运港口 	0+0 # 3+33%+-1.0%       
002719	麦趣尔：	-4.04%	12.93%	 41	-21	1355	1963	-3.0	T3	13.14%	4天3板,食品饮料,乳业        	1+9 # 6+67%+2.4%        
603237	五芳斋：	 0.42%	 6.26%	 43	-17	 813	1996	 1.0	T1	 4.91%	昨日首板,虚拟数字人,预制菜概念    	0+0 # 1+100%+3.8%       
001395	亚联机械	 6.44%	-3.31%	 46	 24	1685	2259	 9.0	T3	12.96%	4天3板,专用设备,次新股       	0+0 # 1+100%+10.0%      
600575	淮河能源	 1.01%	 6.38%	 54	-30	1423	 847	 2.0	T1	15.03%	昨日首板,煤化工,一带一路       	6+43 # 1+0%+-0.2%       
605136	丽人丽妆	 7.57%	 8.25%	 56	-12	 925	1757	 2.0	T1	 6.14%	昨日首板,商业百货,创投        	4+13 # 5+20%+-2.1%      
002127	南极电商	 3.66%	11.51%	 57	-22	 670	1891	 3.0	T2	 9.02%	昨日首板,长江三角,创投        	10+-10 # 8+62%+2.4%     
002188	中天服务	-3.09%	 5.28%	 62	 27	2882	1780	-3.0	T1	 3.25%	昨日首板,房地产服务,微盘股      	1+8 # 1+0%+-5.3%        
002153	石基信息	 -1.8%	 0.56%	 63	-24	2308	1483	-3.0	T1	 3.43%	昨日首板,食品安全,远程办公      	0+0 # 5+40%+1.8%        
