
2025-04-19 19:00:16
业绩预测：
代码	名称	类型	公告时间	涨幅	Q3_R	Q3_RR	Q3_P	Q3_PR	Y_R	Y_RR	Y_P	Y_PR	Q1_R	Q1_RR	Q1_P	Q1_PR	公告内容
000008	 神州高铁	报表披露	2025-04-19	-3.24%	 0.0	 0.0%	 -2.0	 -24.0% | 	  0.0	 0.0%	 -6.0	   34.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-5.453亿元，同比增长34.16%，基本每股收益-0.2元                                                                                                                                                             
000404	 长虹华意	报表披露	2025-04-19	 1.33%	 0.0	 0.0%	  4.0	  37.0% | 	  0.0	 0.0%	  5.0	   24.0% | 	0.0	0.0%	 0.0	   0.0%	2025年一季报归属净利润1.004亿元，同比增长25.58%，基本每股收益0.1442元                                                                                                                                                           
000404	 长虹华意	报表披露	2025-04-19	 1.33%	 0.0	 0.0%	  4.0	  37.0% | 	  0.0	 0.0%	  5.0	   24.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润4.502亿元，同比增长24.31%，基本每股收益0.6469元                                                                                                                                                            
000576	 甘化科工	报表披露	2025-04-19	-0.29%	 0.0	 0.0%	  0.0	 -57.0% | 	  0.0	 0.0%	  0.0	  109.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润2051万元，同比增长108.80%，基本每股收益0.05元                                                                                                                                                              
000608	 阳光股份	报表披露	2025-04-19	  0.7%	 0.0	 0.0%	 -2.0	  38.0% | 	  0.0	 0.0%	-13.0	   43.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-1.291亿元，同比增长43.19%，基本每股收益-0.1638元                                                                                                                                                          
000735	罗 牛 山	报表披露	2025-04-19	-1.98%	 0.0	 0.0%	 34.0	 304.0% | 	  0.0	 0.0%	 25.0	  153.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润2.418亿元，同比增长149.58%，基本每股收益0.2099元                                                                                                                                                           
000795	 英洛华：	报表披露	2025-04-19	  0.0%	 0.0	 0.0%	 21.0	 151.0% | 	  0.0	 0.0%	 25.0	  168.0% | 	0.0	0.0%	 7.0	   4.0%	2025年一季报归属净利润6882万元，同比增长4.01%，基本每股收益0.0627元                                                                                                                                                             
000802	 北京文化	报表披露	2025-04-19	-1.64%	 0.0	 0.0%	 -4.0	  70.0% | 	  0.0	 0.0%	-16.0	   44.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-1.556亿元，同比增长44.40%，基本每股收益-0.2174元                                                                                                                                                          
002028	 思源电气	报表披露	2025-04-19	-0.09%	 0.0	 0.0%	 15.0	  30.0% | 	155.0	 0.0%	 20.0	   31.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润20.49亿元，同比增长31.42%，基本每股收益2.64元                                                                                                                                                              
002094	 青岛金王	报表披露	2025-04-19	-5.88%	 0.0	 0.0%	  6.0	  53.0% | 	  0.0	 0.0%	  4.0	  237.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润3512万元，同比增长236.91%，基本每股收益0.05元                                                                                                                                                              
002126	 银轮股份	报表披露	2025-04-19	 1.49%	 0.0	 0.0%	 60.0	  36.0% | 	  0.0	 0.0%	 78.0	   28.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润7.835亿元，同比增长28.00%，基本每股收益0.96元                                                                                                                                                              
002138	 顺络电子	报表披露	2025-04-19	 1.86%	 0.0	 0.0%	  6.0	  31.0% | 	  0.0	 0.0%	  8.0	   30.0% | 	0.0	0.0%	 2.0	  37.0%	2025年一季报归属净利润2.332亿元，同比增长37.02%，基本每股收益0.3元                                                                                                                                                              
002212	 天融信：	报表披露	2025-04-19	 0.27%	 0.0	 0.0%	 -2.0	  32.0% | 	 28.0	 0.0%	  1.0	  122.0% | 	3.0	0.0%	-7.0	   0.0%	2024年年报归属净利润8301万元，同比增长122.35%，基本每股收益0.0733元                                                                                                                                                            
002239	 奥特佳：	报表披露	2025-04-19	 0.36%	 0.0	 0.0%	  1.0	  46.0% | 	  0.0	 0.0%	  1.0	   44.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润1.058亿元，同比增长44.41%，基本每股收益0.03元                                                                                                                                                              
002303	 美盈森：	报表披露	2025-04-19	 0.92%	 0.0	 0.0%	  2.0	  35.0% | 	  0.0	 0.0%	  3.0	   44.0% | 	0.0	0.0%	 1.0	  16.0%	2025年一季报归属净利润8036万元，同比增长15.69%，基本每股收益0.0525元                                                                                                                                                            
002321	 华英农业	报表披露	2025-04-19	-1.21%	 0.0	 0.0%	  0.0	 105.0% | 	  0.0	 0.0%	  0.0	  202.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润3236万元，同比增长201.64%，基本每股收益0.02元                                                                                                                                                              
002550	 千红制药	报表披露	2025-04-19	 1.38%	 0.0	 0.0%	  3.0	  56.0% | 	  0.0	 0.0%	 36.0	   96.0% | 	0.0	0.0%	 0.0	   0.0%	2025年一季报归属净利润1.61亿元，同比增长54.62%，基本每股收益0.1288元                                                                                                                                                            
002550	 千红制药	报表披露	2025-04-19	 1.38%	 0.0	 0.0%	  3.0	  56.0% | 	  0.0	 0.0%	 36.0	   96.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润3.56亿元，同比增长95.77%，基本每股收益0.28元                                                                                                                                                               
002596	 海南瑞泽	报表披露	2025-04-19	-1.19%	 0.0	 0.0%	 -9.0	  16.0% | 	  0.0	 0.0%	-24.0	   52.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-2.415亿元，同比增长52.35%，基本每股收益-0.21元                                                                                                                                                            
002691	 冀凯股份	报表披露	2025-04-19	-0.26%	 0.0	 0.0%	 -1.0	  44.0% | 	  0.0	 0.0%	  0.0	    1.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-180.4万元，同比增长1.12%，基本每股收益-0.01元                                                                                                                                                             
002712	 思美传媒	报表披露	2025-04-19	-1.37%	 0.0	 0.0%	 -6.0	 -45.0% | 	  0.0	 0.0%	-34.0	   75.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-3411万元，同比增长74.60%，基本每股收益-0.0627元                                                                                                                                                           
002982	 湘佳股份	报表披露	2025-04-19	-3.44%	 0.0	 0.0%	  9.0	 260.0% | 	  0.0	 0.0%	 98.0	  167.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润9810万元，同比增长166.66%，基本每股收益0.69元                                                                                                                                                              
