
2025-04-21 14:18:36
高换手率的冷门股：
代码	名称	涨幅	人气	换手	量比	成交额	九转	标签
300899	上海凯鑫	 0.11%	2714	13.29	 2.6	1.01	 3.0	创业板综估值龙头,节能环保,微盘股
002828	贝肯能源	  6.0%	3461	 6.63	2.42	1.08	 1.0	采掘行业,页岩气         
300164	通源石油	 4.39%	3305	 9.01	 2.2	2.07	 1.0	采掘行业,页岩气         
300849	锦盛新材	-5.78%	2209	 6.15	2.04	1.04	-7.0	降解塑料,化妆品概念       
300254	仟源医药	 6.99%	2400	10.54	1.81	 2.1	 1.0	化学制药,婴童概念        
300472	新元科技	 3.26%	2167	 9.08	1.79	 1.0	 1.0	区块链,算力概念         
301488	豪恩汽电	 4.24%	2157	 6.55	1.63	0.88	-1.0	大股东增持,激光雷达,百度概念  
300645	正元智慧	 0.36%	2904	 6.12	1.63	1.22	 1.0	互联网服务,数字货币       
300517	海波重科	-3.88%	2859	 8.35	1.63	1.03	-2.0	工程建设,装配建筑        
000586	汇源通信	 1.35%	2639	 3.44	1.58	 0.6	 4.0	智慧城市,通信设备        
603843	正平股份	 1.89%	3127	  3.4	1.56	0.77	 2.0	充电桩,乡村振兴         

2025-04-21 14:18:45
异动股票信息：
异动总览
 竞价上涨: 22,  竞价下跌: 88,  火箭发射: 744,  加速下跌: 50,  快速反弹: 585,  高台跳水: 278, 

2025-04-21 14:18:57
异动股票信息(加速下跌、高台跳水+涨幅小于1)：
代码	名称	涨幅	成交额	九转	标签
000753	漳州发展	-6.23%	0.213	-2.0	央国企改革,汽车服务          
603922	金鸿顺：	 -6.8%	0.012	 0.0	新能源车,并购重组概念         
002571	德力股份	-9.34%	0.019	-1.0	月度涨幅领先,太阳能,参股银行     
301392	汇成真空	-7.93%	0.019	 1.0	AI眼镜人气龙头,复合集流体,注册制次新
300727	润禾材料	-4.96%	0.009	-2.0	化学制品,有机硅            
002214	大立科技	-5.45%	0.007	-1.0	国产芯片,长江三角           
301099	雅创电子	-3.09%	0.061	-3.0	国产芯片,汽车芯片           
603568	伟明环保	 -2.4%	 0.03	-3.0	机构推荐,PPP模式,环保行业     
301228	实朴检测	-4.56%	0.006	-3.0	土壤修复人气龙头,食品安全,节能环保  
600965	福成股份	-9.72%	0.014	-3.0	预制菜概念,京津冀           
601702	华峰铝业	-6.98%	0.021	-3.0	特斯拉,新能源车            
301191	菲菱科思	-2.87%	0.009	-1.0	机构增持,车联网(车路云),通信设备  
002212	天融信：	 -3.0%	0.027	-3.0	AI智能体,DeepSeek概念    
601890	亚星锚链	-2.99%	0.169	 0.0	机构增持,军民融合,军工        
300360	炬华科技	-5.06%	0.019	-1.0	边缘计算估值龙头,创投,电网设备    
002778	中晟高科	-2.25%	0.001	 1.0	央国企改革,石油行业          
002244	滨江集团	 -4.3%	 0.12	-1.0	旅游概念业绩龙头,房地产开发,租售同权 
