
2025-04-22 09:47:18
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
87	38/114	69.09%/78.62%	2.1%/2.41%	18/23

2025-04-22 09:47:19
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/10/9天5板	新零售/6/6天3板	电商概念/6/9天5板	一带一路/6/2天2板	长江三角/6/9天5板

2025-04-22 09:47:21
龙头股信息：
代码	名称	板块	板数	标签	警告
001212	中旗新材	 粤港自贸	15天9板	15天9板,粤港自贸,装修装饰	8/5/20250418
600644	乐山电力	 绿色电力	11天7板	11天7板,电力行业,绿色电力	3/7/20250418
600794	保税科技	统一大市场	 9天5板	9天5板,统一大市场,物流行业	5/8/20250418
002640	跨境通：	 进口博览	 9天5板	9天5板,进口博览,贸易行业 	8/9/20250418
603128	华贸物流	 上海自贸	 6天4板	6天4板,物流行业,快递概念 	8/9/20250418

2025-04-22 09:47:21
连板天梯信息：
昨板数	今板数	涨停数	连板成功	连板成功率
6	->7	 1	0	  0.0%
5	->6	 2	0	  0.0%
4	->5	 2	0	  0.0%
3	->4	 3	1	33.33%
2	->3	10	4	 40.0%
1	->2	82	9	10.98%

2025-04-22 09:47:40
热门板块信息(人气350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
人气	0.41%/335	跨境支付(26),数字货币(19),黄金(18),机器人(17),央国企改革(13)
飙升	 2.47%/84	 一带一路(8),上海自贸(6),央国企改革(5),进口博览(4),大股东增持(4)
大涨	 11.1%/48	  物流行业(8),数字货币(7),跨境支付(6),统一大市场(6),商业百货(4)

(今日与昨日量比)上证：18% 深证：29% 创业板：33% 沪深300：17% 中证1000：37% 银行板块：-4%：

2025-04-22 09:48:05
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
002279	久其软件	20250415	2	69.0	26.0	 2.0	 3.0	3.865	 9.0	昨日首板,化债(AMC)概念,财税数字化
600505	西昌电力	20250415	2	68.0	21.0	 1.0	10.0	4.994	 9.0	昨日首板,电力行业,绿色电力      
000639	西王食品	20250415	2	66.0	16.0	11.0	 7.0	3.985	 9.0	昨日首板,长寿药,新零售        
301558	三态股份	20250415	1	65.0	25.0	 4.0	 6.0	 3.53	 1.0	贸易行业,跨境电商           
600735	新华锦：	20250415	1	63.0	27.0	 3.0	 7.0	0.628	 2.0	一带一路,贬值受益           
301232	飞沃科技	20250416	1	70.0	12.0	 9.0	 9.0	0.359	-1.0	新型工业化,商业航天          
002820	桂发祥：	20250416	2	63.0	15.0	 1.0	20.0	1.431	 1.0	新零售,预制菜概念           
300605	恒锋信息	20250416	2	63.0	24.0	 3.0	10.0	1.586	-1.0	昨日首板,远程办公,东数西算      
603123	翠微股份	20250416	2	62.0	29.0	 5.0	 3.0	 3.27	 1.0	今日首板,数字货币,多元金融      
002153	石基信息	20250417	2	64.0	 4.0	13.0	18.0	0.138	 0.0	4天2板,云计算,远程办公       
002629	仁智股份	20250418	2	64.0	17.0	 0.0	19.0	0.723	-1.0	3天2板,油气设服,采掘行业      
603042	华脉科技	20250418	2	54.0	38.0	 1.0	 7.0	2.129	-1.0	3天2板,边缘计算,5G概念      
000620	新华联：	20250418	2	51.0	16.0	 0.0	33.0	 2.74	 2.0	3天2板,房地产开发,京津冀      
002583	海能达：	20250418	2	34.0	58.0	 0.0	 8.0	19.36	 8.0	3天2板,中俄贸易概念,互联金融    
002194	武汉凡谷	20250418	2	29.0	63.0	 0.0	 8.0	9.744	 8.0	3天2板,创投,职业教育        

2025-04-22 09:48:09
飙升个股信息(今日人气飙升前100+排名350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	成交量	成交额	九转	人气排名	人气较昨日变动	标签	股本
600822	上海物贸	9.99%	4.68	25.5	185533	1.87	7.0	283	1847	今日首板,进口博览,上海自贸	0+26 # 4+75%+1.8%

2025-04-22 09:50:42
人气个股信息1(排名350内+最近人气飙升超1000+最近涨幅<15%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
003015	日久光电	  4.15%	 2.42%	 96	 69	1165	 129	 4.0	F	 -5.12%	光学光电子,柔性屏(折叠屏)      	5+27 # 10+50%+0.2%         
300296	利亚德：	 -3.15%	  1.6%	127	-34	 481	 651	-1.0	F	 -2.89%	裸眼3D业绩龙头,AI眼镜,机器人概念 	167-11/14+142 # 1+100%+1.7%
603220	中贝通信	  0.68%	 0.35%	129	  5	 442	 887	 6.0	F	 -2.37%	F5G概念,一带一路          	113-30/3+80 # 4+25%+-1.2%  
300351	永贵电器	 -2.75%	 5.22%	137	 20	 675	1965	-2.0	F	   4.5%	高压快充,液冷概念           	1+40 #                     
000661	长春高新	 -1.42%	-4.67%	146	  5	 681	 842	-1.0	F	 -6.57%	东北振兴业绩龙头,生物疫苗,生物制品  	49+202 # 3+67%+5.7%        
002182	宝武镁业	  1.09%	-1.33%	162	111	1381	 801	 2.0	F	 -4.15%	长江三角,央国企改革          	4+-4 # 2+50%+0.8%          
300953	震裕科技	   1.2%	  2.2%	171	-34	 965	  10	 9.0	F	  -9.9%	节能环保,储能             	15+70 # 1+0%+-5.4%         
002231	奥维通信	-10.06%	 3.38%	177	502	1806	2315	-1.0	F	  -0.4%	军民融合,通信服务           	0+0 # 8+38%+-1.5%          
002315	焦点科技	  1.68%	  6.9%	183	 29	 889	-166	 1.0	F	 -4.22%	ERP概念业绩龙头,互联金融,跨境电商 	89-16/13+60 # 6+67%+1.5%   
002076	星光股份	 -9.96%	-4.15%	187	130	 890	 163	-1.0	F	-12.01%	新能源车,家电行业           	3+36 # 14+57%+2.3%         
002555	三七互娱	   2.5%	 5.67%	189	 66	  29	 661	 1.0	F	  4.91%	3日主力净流入领先,游戏,智谱AI   	36+178 # 2+50%+2.7%        
603728	鸣志电器	  2.08%	 1.32%	206	-57	1134	 999	 3.0	F	 -4.54%	电机市值龙头,国家安防,华为概念    	359-225/31+103 # 9+78%+2.5%
600961	株冶集团	 -0.27%	10.14%	215	-15	 207	1134	-4.0	F	  5.85%	黄金概念人气龙头,黄金概念,央国企改革 	7+37 # 1+100%+2.1%         
000504	南华生物	 -9.99%	 8.85%	222	556	2408	 899	-2.0	F	 -0.22%	医疗美容,医疗服务           	0+0 # 4+25%+-2.3%          
002364	中恒电气	 -1.13%	 3.56%	223	  8	1016	 354	-1.0	F	 -4.22%	高压快充,电源设备           	92-33/1+58 # 12+58%+1.8%   
300690	双一科技	 -3.94%	 5.89%	244	-40	1271	3953	-1.0	F	   3.9%	碳纤维估值龙头,飞行汽车(eVTOL),	0+20 #                     
603466	风语筑：	 -3.12%	11.07%	245	-37	 225	 924	-1.0	F	  6.47%	旅游概念,人形机器人          	4+33 # 5+80%+5.3%          
000990	诚志股份	 -2.04%	 1.12%	251	-41	2276	1452	-1.0	F	   0.0%	人造肉业绩龙头,燃料电池,OLED   	3+41 #                     
301196	唯科科技	 -3.43%	 5.67%	257	-15	2438	1053	-1.0	F	 -2.85%	新能源车,机器人概念          	0+24 #                     
600793	宜宾纸业	  0.48%	 4.42%	260	-44	  88	 962	 4.0	F	  4.82%	成渝特区人气龙头,成渝特区,央国企改革 	0+0 # 14+79%+4.5%          
300254	仟源医药	 -3.17%	-0.46%	266	-53	1721	 473	 3.0	F	 -6.74%	基因测序,婴童概念           	1+18 #                     
603815	交建股份	  0.63%	 -1.9%	272	-54	2293	 863	 9.0	F	  -2.7%	PPP模式,一带一路          	0+0 # 3+67%+3.5%           

2025-04-22 09:50:42
人气个股信息2：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
002194	武汉凡谷	 3.48%	 6.97%	  9	 -1	 313	1547	 8.0	T2	  8.39%	3天2板,创投,职业教育        	2+52 # 6+50%+-0.0%      
002279	久其软件	 2.94%	14.09%	 22	 -5	  74	 734	 9.0	T2	-12.69%	昨日首板,化债(AMC)概念,财税数字化	1+47 # 7+57%+0.0%       
603042	华脉科技	-4.92%	 9.27%	 29	 -3	 829	2630	-1.0	T2	  9.33%	3天2板,边缘计算,5G概念      	1+18 # 9+33%+-0.2%      
600860	京城股份	 3.15%	 2.96%	 41	  8	1252	2088	 1.0	T1	 -2.17%	昨日首板,天然气,央国企改革      	1+28 # 6+67%+0.8%       
002479	富春环保	 4.56%	 6.19%	 44	  7	2606	 680	 1.0	T1	 -1.24%	昨日首板,生物质能发电,垃圾分类    	2+26 # 2+0%+-4.6%       
002095	生意宝：	 4.16%	 8.31%	 49	 10	1068	-107	 1.0	T1	 -7.29%	昨日首板,移动支付,互联金融      	0+0 # 12+75%+4.9%       
002235	安妮股份	-0.75%	 4.31%	 51	-10	1645	 786	-1.0	T1	 -0.41%	昨日首板,造纸印刷,彩票概念      	0+0 # 3+33%+-3.9%       
000620	新华联：	-2.54%	 4.38%	 53	-15	 494	2544	 2.0	T2	  9.82%	3天2板,房地产开发,京津冀      	2+-2 # 6+67%+3.5%       
002297	博云新材	 2.14%	 5.77%	 56	 -9	 648	1719	 2.0	T1	  0.47%	昨日首板,央国企改革,通用航空     	2+29 # 1+0%+-3.1%       
605488	福莱新材	 3.87%	 4.25%	 59	 20	1390	 423	 3.0	T1	 -4.11%	昨日首板,一带一路,降解塑料      	3+34 # 15+87%+5.0%      
603366	日出东方	 0.48%	 2.74%	 60	-10	 591	 847	 3.0	T1	  0.11%	昨日首板,创投,参股银行        	0+0 # 19+79%+5.1%       
002651	利君股份	 0.29%	  6.7%	 66	 -4	 984	1594	 1.0	T1	 -3.27%	昨日首板,成渝特区,节能环保      	0+0 # 4+75%+4.4%        
603900	莱绅通灵	-0.29%	10.48%	 77	  5	 109	1209	 0.0	T2	  1.77%	4天2板,新零售,黄金概念       	1+9 # 7+57%+1.6%        
605358	立昂微：	 2.16%	  1.6%	 78	 -8	1408	 443	 1.0	T1	 -3.46%	昨日首板,IGBT概念,人工智能    	25+109 # 2+100%+6.0%    
002345	潮宏基：	 0.94%	 6.17%	 80	-12	 888	 -64	 1.0	T1	 -9.01%	昨日首板,新零售,NFT概念      	8+42 # 2+50%+1.9%       
300464	星徽股份	 1.89%	11.96%	 82	 -6	 998	 180	 1.0	T1	-10.73%	昨日首板,跨境电商,电商概念      	0+0 # 3+67%+4.4%        
603237	五芳斋：	-1.93%	10.97%	 83	-14	  75	 749	-1.0	T2	  2.95%	4天2板,食品饮料,虚拟数字人     	0+0 # 2+50%+-1.1%       
002172	澳洋健康	-1.94%	 3.51%	 84	-19	1650	1325	-1.0	T1	  -0.3%	昨日首板,毛发医疗,医疗服务      	0+20 # 2+50%+-4.0%      
600664	哈药股份	 -0.8%	  1.2%	 88	-14	1616	1083	-1.0	T1	 -0.29%	昨日首板,超级真菌,养老概念      	5+-5 # 2+50%+1.6%       
002391	长青股份	-2.02%	 2.32%	 89	 -5	1429	2428	-1.0	T1	  1.85%	昨日首板,长江三角,节能环保      	1+23 # 1+100%+0.7%      
600963	岳阳林纸	 2.31%	-0.23%	 90	  1	2676	1597	 3.0	T1	 -1.81%	昨日首板,绿色电力,工业大麻      	2+46 # 1+100%+0.8%      
300822	贝仕达克	-2.86%	 5.84%	 92	-14	2871	 624	-1.0	T1	 -2.32%	昨日首板,智能家居,宠物经济      	0+0 # 5+100%+12.2%      
301009	可靠股份	 -3.8%	 5.88%	 94	 -9	2562	 839	 3.0	T1	 -2.45%	昨日首板,养老概念,宠物经济      	16-2/3+11 # 1+100%+6.6% 
003006	百亚股份	 1.62%	  8.0%	 95	  0	1175	 831	 2.0	T1	  1.09%	昨日首板,电商概念,婴童概念      	26+24 #                 
002929	润建股份	-2.75%	 1.06%	 97	-25	1083	 858	 3.0	T1	 -3.54%	昨日首板,智慧灯杆,东数西算      	130-45/4+81 # 8+75%+5.4%
001222	源飞宠物	-2.34%	  7.0%	104	 10	1401	 165	-1.0	T1	  0.72%	昨日首板,家用轻工,宠物经济      	12-2/3+7 # 5+40%+1.6%   
603256	宏和科技	-2.16%	 4.77%	105	 -6	2377	2048	-1.0	T1	   0.5%	昨日首板,5G概念,PCB       	0+0 # 5+40%+0.8%        
600370	三房巷：	-1.63%	  0.0%	107	-13	1565	 720	 3.0	T1	 -3.47%	昨日首板,化学制品,新材料       	0+15 # 7+57%+2.9%       
600562	国睿科技	  0.2%	-4.49%	108	 -5	1797	1526	 9.0	T1	 -5.83%	昨日首板,PPP模式,长江三角     	28+66 # 1+100%+1.3%     
603637	镇海股份	-4.54%	 9.48%	110	 -8	2389	 714	 5.0	T1	 -2.89%	昨日首板,工程建设,氢能源       	1+19 # 3+33%+0.3%       
002629	仁智股份	-3.47%	-9.38%	114	 -6	 491	1122	-1.0	T2	 -7.91%	3天2板,油气设服,采掘行业      	1+18 # 14+57%+1.6%      
603308	应流股份	 0.56%	 2.24%	116	  0	1567	1760	 9.0	T1	 -3.12%	昨日首板,一带一路,参股银行      	30+66 # 3+67%+1.3%      
300051	琏升科技	-4.02%	  0.0%	117	-21	4684	2686	-1.0	T1	   0.0%	昨日首板,远程办公,HIT电池     	2+-2 #                  
300972	万辰集团	-2.04%	 9.43%	119	-21	1032	 307	 1.0	T1	 -1.19%	昨日首板,新零售,农牧饲渔       	37+73 # 3+67%+0.7%      
603119	浙江荣泰	 3.09%	 8.45%	120	-15	1361	 217	 7.0	T1	 -6.13%	昨日首板,非金属材料,新能源车     	6+70 # 5+40%+-0.9%      
002795	永和智控	 0.99%	 12.5%	125	 -6	2662	 418	 4.0	T1	 -2.13%	昨日首板,贬值受益,BC电池      	0+0 # 3+67%+3.2%        
603669	灵康药业	 0.68%	 3.59%	130	 -5	2862	1586	 1.0	T1	 -3.81%	昨日首板,IPO受益,化学制药     	0+15 # 3+100%+5.4%      
600609	金杯汽车	 -2.9%	 2.66%	131	-16	2293	 901	-1.0	T1	 -2.52%	昨日首板,东北振兴,汽车零部件     	10+43 # 6+50%+2.4%      
603991	至正股份	-0.29%	 3.64%	134	-13	2544	 942	-1.0	T1	 -2.47%	昨日首板,新材料,塑料制品       	53-14/2+37 # 12+83%+5.6%
600575	淮河能源	 1.52%	10.06%	135	 52	 -57	 779	 1.0	T1	  7.73%	电力行业,一带一路           	6+43 # 2+0%+-1.1%       
000560	我爱我家	 -1.4%	 7.42%	149	-22	  12	 898	-2.0	T1	 13.65%	房地产服务,租售同权          	8+45 # 6+67%+2.7%       
301259	艾布鲁：	 2.97%	 5.64%	150	-19	2739	1179	 9.0	T1	 -7.29%	昨日首板,乡村振兴,垃圾分类      	6+22 # 1+100%+3.2%      
002177	御银股份	-2.43%	 7.84%	153	 -8	 528	1285	-3.0	T1	  8.33%	创投,生物识别             	33-1/1+31 # 8+62%+2.1%  
603002	宏昌电子	-2.06%	13.04%	161	  3	 -76	1469	-3.0	T2	  18.3%	4天2板,英伟达概念,3D打印     	71-35/7+29 # 9+33%+-2.1%
002446	盛路通信	-2.67%	 2.64%	168	-22	 982	2613	-5.0	T1	  6.87%	6G概念,商业航天           	4+54 #                  
300322	硕贝德：	-4.84%	11.91%	170	  5	 905	2116	-3.0	T1	 19.08%	生物识别人气龙头,6G概念,商业航天  	1+56 # 2+0%+-8.9%       
002866	传艺科技	 -4.2%	10.53%	230	 72	 277	2066	-1.0	T1	 11.88%	富士康,钠离子电池           	34-7/2+25 # 8+50%+0.2%  
