
2025-04-22 10:01:56
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
86	43/114	65.15%/78.62%	1.78%/2.41%	20/23

2025-04-22 10:01:56
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/14/9天5板	一带一路/10/2天2板	长江三角/10/9天5板	电商概念/8/9天5板	创投/7/4天2板

2025-04-22 10:01:58
龙头股信息：
代码	名称	板块	板数	标签	警告
001212	中旗新材	  粤港自贸	15天9板	15天9板,粤港自贸,装修装饰	8/5/20250418
600794	保税科技	 统一大市场	 9天5板	9天5板,统一大市场,物流行业	5/8/20250418
002640	跨境通：	  进口博览	 9天5板	9天5板,进口博览,贸易行业 	8/9/20250418
001395	亚联机械	注册制次新股	 6天5板	6天5板,次新股,注册制次新股	3/8/20250418
603128	华贸物流	  上海自贸	 6天4板	6天4板,物流行业,快递概念 	8/9/20250418

2025-04-22 10:01:59
连板天梯信息：
昨板数	今板数	涨停数	连板成功	连板成功率
6	->7	 1	 0	  0.0%
5	->6	 2	 0	  0.0%
4	->5	 2	 0	  0.0%
3	->4	 3	 1	33.33%
2	->3	10	 4	 40.0%
1	->2	82	11	13.41%

2025-04-22 10:02:17
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
6	->7	   fail	605188	国光连锁	-8.37%	7天6板,新零售,电商概念      	 2/5/20250418
5	->6	   fail	003020	立方制药	-2.25%	6天5板,中药概念,肝炎概念     	 4/8/20250418
5	->6	   fail	603696	安记食品	-0.88%	6天5板,调味品概念,食品饮料    	 4/7/20250418
4	->5	   fail	000965	天保基建	 3.77%	10天5板,房地产开发,参股券商   	 5/8/20250418
4	->5	   fail	601086	国芳集团	 6.11%	13天11板,商业百货,参股券商   	 3/2/20250418
3	->4	   fail	002427	尤夫股份	 0.14%	化纤行业人气龙头,央国企改革,化纤行业	 5/6/20250418
3	->4	   fail	002809	红墙股份	-0.76%	4天3板,雄安新区,环氧丙烷     	 6/9/20250418
3	->4	success	600794	保税科技	 9.92%	9天5板,统一大市场,物流行业    	 5/8/20250418
2	->3	   fail	002194	武汉凡谷	 2.53%	3天2板,创投,职业教育       	7/10/20250418
2	->3	   fail	603042	华脉科技	-4.72%	3天2板,5G概念,边缘计算     	7/10/20250418
2	->3	   fail	002583	海能达：	 3.86%	3天2板,互联金融,中俄贸易概念   	7/10/20250418
2	->3	   fail	603955	大千生态	-1.84%	6天3板,新型城镇化,工程建设    	 7/9/20250418
2	->3	   fail	002629	仁智股份	-4.34%	3天2板,采掘行业,油气设服     	7/11/20250418
2	->3	   fail	000620	新华联：	-3.55%	3天2板,参股银行,京津冀      	7/10/20250418
2	->3	success	002251	步步高：	 9.94%	6天3板,移动支付,免税概念     	 7/9/20241216
2	->3	success	003003	天元股份	10.03%	3天3板,快递概念,包装材料     	7/10/20250418
2	->3	success	600865	百大集团	10.01%	3天3板,退税商店,商业百货     	 7/9/20250418
2	->3	success	603351	威尔药业	10.00%	3天3板,化学制药          	7/11/20250418

2025-04-22 10:02:19
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
300605	恒锋信息	-5.43%	| 46%	 54% |	  0%	  0%	 37% |	 37%	昨日首板,远程办公,东数西算      
300892	品渥食品	-4.83%	| 35%	 65% |	  0%	  0%	 38% |	 38%	昨日首板,啤酒概念,乳业        
300204	舒泰神：	-4.77%	| 47%	 53% |	 46%	  0%	 12% |	 58%	昨日首板,创新药,生物制品       
603237	五芳斋：	-4.31%	| 71%	 29% |	  0%	  0%	 30% |	 30%	4天2板,虚拟数字人,食品饮料     
301009	可靠股份	-4.18%	| 50%	 50% |	 54%	  0%	 24% |	 78%	昨日首板,美容护理,宠物经济      
300051	琏升科技	-4.16%	| 91%	  9% |	 16%	  0%	 15% |	 31%	昨日首板,HIT电池,远程办公     
603637	镇海股份	-4.15%	| 88%	 12% |	  0%	  0%	 37% |	 37%	昨日首板,节能环保,氢能源       
001222	源飞宠物	 -3.5%	| 88%	 12% |	  0%	  0%	 57% |	 57%	昨日首板,家用轻工,宠物经济      
600300	维维股份	 -3.4%	| 63%	 37% |	  0%	  0%	 40% |	 40%	昨日首板,抖音小店,乳业        
002391	长青股份	 -3.3%	| 85%	 15% |	  0%	  0%	 61% |	 61%	昨日首板,长江三角,节能环保      
003030	祖名股份	-3.11%	| 43%	 57% |	 31%	  0%	 53% |	 84%	昨日首板,社区团购,食品饮料      
600609	金杯汽车	-3.08%	| 54%	 46% |	  0%	  0%	 45% |	 45%	昨日首板,东北振兴,汽车零部件     
001318	阳光乳业	-2.96%	| 38%	 62% |	  0%	  0%	 50% |	 50%	昨日首板,食品饮料,乳业        
002929	润建股份	-2.87%	| 38%	 62% |	  0%	  0%	 39% |	 39%	昨日首板,智慧灯杆,东数西算      
000859	国风新材	-2.65%	| 15%	 85% |	 10%	  0%	 29% |	 39%	4天2板,新能源车,光刻机(胶)    
002172	澳洋健康	-2.49%	| 55%	 45% |	  0%	  0%	 43% |	 43%	昨日首板,毛发医疗,医疗服务      
603630	拉芳家化	-2.31%	| 73%	 27% |	  0%	  0%	 44% |	 44%	昨日首板,医疗美容,美容护理      
300972	万辰集团	-2.01%	| 34%	 66% |	  0%	  0%	 25% |	 25%	昨日首板,新零售,农牧饲渔       
603991	至正股份	-1.97%	| 93%	  7% |	 20%	  0%	 31% |	 51%	昨日首板,5G概念,并购重组概念    
002235	安妮股份	-1.68%	| 52%	 48% |	  0%	  0%	 67% |	 67%	昨日首板,造纸印刷,彩票概念      
603900	莱绅通灵	-1.43%	| 34%	 66% |	  0%	  0%	 64% |	 64%	4天2板,新零售,珠宝首饰       
002582	好想你：	-1.29%	| 29%	 71% |	  0%	 18%	 20% |	 38%	昨日首板,食品饮料,谷子经济      
002155	湖南黄金	-1.18%	| 28%	 72% |	  0%	  0%	 36% |	 36%	昨日首板,稀缺资源,小金属概念     
600664	哈药股份	-1.07%	| 30%	 70% |	  0%	  0%	 44% |	 44%	昨日首板,流感,养老概念        
002716	湖南白银	-1.01%	| 34%	 66% |	  0%	  0%	 36% |	 36%	昨日首板,央国企改革,小金属概念    
603697	有友食品	-0.64%	| 31%	 69% |	  5%	  0%	 43% |	 48%	昨日首板,成渝特区,西部大开发     
603366	日出东方	-0.38%	| 19%	 81% |	  0%	  0%	 44% |	 44%	昨日首板,创投,快手概念        
603103	横店影视	-0.37%	| 79%	 21% |	 66%	  0%	 41% |	107%	昨日首板,虚拟现实,影视概念      
603669	灵康药业	-0.23%	| 65%	 35% |	  0%	  0%	207% |	207%	昨日首板,IPO受益,化学制药     
000822	山东海化	-0.15%	| 41%	 59% |	  0%	  0%	 47% |	 47%	昨日首板,央国企改革,氢能源      
