
2025-04-22 22:22:12
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
87	93/114	74.4%/78.62%	2.05%/2.41%	24/23

2025-04-22 22:22:12
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/26/13天8板	一带一路/14/13天8板	长江三角/14/14天7板	西部大开发/12/13天12板	电商概念/11/9天5板

2025-04-22 22:22:14
龙头股信息：
代码	名称	板块	板数	标签	警告
001212	中旗新材	粤港自贸	 15天9板	15天9板,粤港自贸,新材料  	8/5/20250418
002165	红宝丽：	环氧丙烷	 14天7板	14天7板,环氧丙烷,化学制品 	2/2/20250418
601086	国芳集团	 新零售	13天12板	13天12板,商业百货,新零售 	3/2/20250418
600644	乐山电力	参股银行	 11天7板	11天7板,参股银行,成渝特区 	3/7/20250418
000965	天保基建	滨海新区	 10天6板	10天6板,滨海新区,房地产开发	5/8/20250418

2025-04-22 22:22:14
连板天梯信息：
昨板数	今板数	涨停数	连板成功	连板成功率
6	->7	  1	 0	  0.0%
5	->6	  2	 1	 50.0%
4	->5	  4	 4	100.0%
3	->4	  4	 2	 50.0%
2	->3	 16	 4	 25.0%
1	->2	114	15	13.16%

2025-04-22 22:22:34
个股连板情况：
昨板数	今板数	成功	代码	名称	涨幅	标签	警告
6	->7	   fail	605188	 国光连锁	 5.08%	7天6板,商业百货,新零售       	 2/5/20250418
5	->6	   fail	003020	 立方制药	 4.47%	6天5板,创新药,化学制药       	 4/8/20250418
5	->6	success	603696	 安记食品	10.03%	6天6板,调味品概念,食品饮料     	 4/7/20250418
4	->5	success	001395	 亚联机械	10.00%	6天5板,注册制次新股,次新股     	 3/8/20250418
4	->5	success	000965	 天保基建	 9.98%	10天6板,滨海新区,房地产开发    	 5/8/20250418
4	->5	success	601086	 国芳集团	10.02%	13天12板,商业百货,新零售     	 3/2/20250418
4	->5	success	002165	红 宝 丽	10.01%	14天7板,环氧丙烷,化学制品     	 2/2/20250418
3	->4	   fail	002427	 尤夫股份	-1.38%	化纤行业人气龙头,央国企改革,化纤行业 	 5/6/20250418
3	->4	   fail	000025	特  力Ａ	-3.98%	5天3板,深圳特区,新能源车      	 5/9/20250418
3	->4	success	600794	 保税科技	 9.92%	9天5板,统一大市场,物流行业     	 5/8/20250418
3	->4	success	002809	 红墙股份	 9.96%	4天4板,环氧丙烷,化学制品      	 6/9/20250418
2	->3	   fail	002836	 新宏泽：	-9.89%	4天2板,微盘股,造纸印刷       	 6/9/20250418
2	->3	   fail	601798	 蓝科高新	-7.61%	4天2板,海工装备,熔盐储能      	6/10/20250418
2	->3	   fail	601068	 中铝国际	-9.51%	4天2板,PPP模式,央国企改革    	 6/9/20250418
2	->3	   fail	002194	 武汉凡谷	 4.03%	3天2板,创投,职业教育        	7/10/20250418
2	->3	   fail	000514	渝 开 发	 4.66%	4天2板,化债(AMC)概念,房地产开发	 6/9/20250418
2	->3	   fail	000620	 新华联：	-4.57%	3天2板,参股银行,京津冀       	7/10/20250418
2	->3	   fail	002583	 海能达：	 1.31%	3天2板,中俄贸易概念,互联金融    	7/10/20250418
2	->3	   fail	603955	 大千生态	-6.47%	6天3板,工程建设,PPP模式     	 7/9/20250418
2	->3	   fail	603042	 华脉科技	-4.72%	3天2板,5G概念,边缘计算      	7/10/20250418
2	->3	   fail	603002	 宏昌电子	-4.44%	4天2板,3D打印,英伟达概念     	6/10/20250418
2	->3	   fail	002629	 仁智股份	-4.51%	3天2板,油气设服,采掘行业      	7/11/20250418
2	->3	   fail	603116	 红蜻蜓：	-1.01%	4天2板,纺织服装,C2M概念     	 6/9/20250418
2	->3	success	002251	 步步高：	 9.94%	6天3板,商业百货,移动支付      	 7/9/20241216
2	->3	success	003003	 天元股份	10.03%	3天3板,快递概念,包装材料      	7/10/20250418
2	->3	success	600865	 百大集团	10.01%	3天3板,退税商店,商业百货      	 7/9/20250418
2	->3	success	603351	 威尔药业	10.00%	3天3板,化学制药           	7/11/20250418

2025-04-22 22:22:41
昨日涨停成交量分析：
代码	名称	涨幅	昨套牢	昨获利	今套牢	今获利	今正常	今总量	标签
300892	 品渥食品	-7.33%	 | 63%	 37% |	 41%	  0%	 59% |	 100%	昨日首板,网红经济,啤酒概念      
300051	 琏升科技	 -7.1%	| 100%	  0% |	 46%	  0%	 32% |	  78%	昨日首板,云计算,远程办公       
003030	 祖名股份	 -7.0%	 | 81%	 19% |	118%	  0%	 57% |	 175%	昨日首板,食品饮料,人造肉       
300605	 恒锋信息	-6.99%	 | 55%	 45% |	 13%	  0%	 76% |	  89%	昨日首板,远程办公,东数西算      
603677	 奇精机械	-6.07%	 | 56%	 44% |	 21%	  0%	 36% |	  57%	新能源车,机器人概念          
002866	 传艺科技	-5.54%	 | 85%	 15% |	 14%	  0%	 58% |	  72%	消费电子,富士康            
301009	 可靠股份	-5.19%	 | 50%	 50% |	 63%	  0%	 84% |	 147%	昨日首板,美容护理,宠物经济      
603637	 镇海股份	-5.02%	 | 88%	 12% |	  0%	  0%	 98% |	  98%	昨日首板,节能环保,氢能源       
300322	 硕贝德：	-4.57%	| 100%	  0% |	  5%	  0%	 64% |	  68%	半导体概念人气龙头,元宇宙概念,6G概念
002342	 巨力索具	-4.52%	| 100%	  0% |	  0%	  0%	 59% |	  59%	军工,通用设备             
002278	 神开股份	-4.52%	| 100%	  0% |	 16%	  0%	 44% |	  59%	油气设服,可燃冰            
002177	 御银股份	-4.25%	 | 81%	 19% |	 18%	  0%	 55% |	  74%	计算机设备,生物识别          
301566	 达利凯普	-4.15%	| 100%	  0% |	  0%	  0%	 66% |	  66%	医疗器械概念人气龙头,5G概念,MLCC
603237	 五芳斋：	-4.08%	 | 71%	 29% |	  0%	  0%	 71% |	  71%	4天2板,食品饮料,虚拟数字人     
603366	 日出东方	-4.01%	 | 47%	 53% |	 57%	  0%	 61% |	 118%	昨日首板,华为概念,快手概念      
002446	 盛路通信	-3.92%	| 100%	  0% |	 13%	  0%	 48% |	  62%	5G概念,6G概念           
300972	 万辰集团	-3.68%	 | 47%	 53% |	 19%	  0%	 54% |	  72%	昨日首板,新零售,农牧饲渔       
002796	 世嘉科技	-3.55%	| 100%	  0% |	  0%	  0%	 62% |	  62%	专用设备,5G概念           
600776	 东方通信	-3.51%	| 100%	  0% |	  0%	  0%	 57% |	  57%	通信设备,5G概念           
300464	 星徽股份	 -3.4%	 | 56%	 44% |	143%	  0%	 35% |	 178%	昨日首板,互联网服务,无线耳机     
600609	 金杯汽车	-3.26%	 | 54%	 46% |	  0%	  0%	107% |	 107%	昨日首板,东北振兴,汽车零部件     
002792	 通宇通讯	-3.23%	| 100%	  0% |	  3%	  0%	 63% |	  66%	5G概念,6G概念           
002929	 润建股份	 -3.2%	 | 43%	 57% |	  0%	  0%	 87% |	  87%	昨日首板,算力概念,东数西算      
002981	 朝阳科技	-3.12%	| 100%	  0% |	 12%	  0%	 45% |	  57%	消费电子,无线耳机           
001318	 阳光乳业	-3.09%	 | 38%	 62% |	  0%	  0%	122% |	 122%	昨日首板,婴童概念,乳业        
001222	 源飞宠物	-2.99%	 | 88%	 12% |	  0%	  0%	121% |	 121%	昨日首板,家用轻工,宠物经济      
300822	 贝仕达克	-2.86%	 | 61%	 39% |	145%	  0%	 80% |	 225%	昨日首板,AIGC概念,消费电子    
000628	 高新发展	-2.85%	 | 64%	 36% |	  0%	  0%	 54% |	  54%	国产芯片,智慧城市           
002780	 三夫户外	-2.69%	| 100%	  0% |	  0%	  0%	 57% |	  57%	机构增持,旅游概念,冰雪经济      
002277	 友阿股份	-2.68%	| 100%	  0% |	  0%	  0%	 53% |	  53%	抖音小店,机器人概念          
603630	 拉芳家化	-2.67%	 | 73%	 27% |	  0%	  0%	123% |	 123%	昨日首板,美容护理,网红经济      
002582	 好想你：	-2.67%	 | 43%	 57% |	  1%	  0%	 88% |	  89%	昨日首板,网红经济,谷子经济      
002155	 湖南黄金	-2.55%	 | 52%	 48% |	 29%	  0%	 81% |	 110%	昨日首板,稀缺资源,小金属概念     
600300	 维维股份	-2.49%	 | 63%	 37% |	  0%	  0%	105% |	 105%	昨日首板,乳业,抖音小店        
603991	 至正股份	-2.34%	 | 93%	  7% |	 22%	  0%	 76% |	  98%	昨日首板,并购重组概念,5G概念    
603900	 莱绅通灵	-2.15%	 | 34%	 66% |	101%	  0%	 77% |	 178%	4天2板,黄金概念,新零售       
000859	 国风新材	-2.12%	 | 11%	 89% |	 42%	 17%	 53% |	 112%	4天2板,新材料,新能源车       
