2025-04-24 23:33:04
2025-04-25 00:00:00 4月25日盘前必读 2.36% 七部门印发《医药工业数智化转型实施方案（2025-2030年）》提出，深化人工智能赋能应用。支持相关单位建立医药大模型创新平台，协同开展医药大模型技术产品研发、监管科学研究等，强化标准规范、科技伦理、应用安全和风险管理等规则建设。开展“人工智能赋能医药全产业链”应用试点，鼓励龙头医药企业与医疗机构、科研院所、上下游企业、大用户等组成联合体，面向医药全产业链形成一批效果显著的标志性应用场景。鼓励各地建设医药人工智能领域概念验证、中试验证、共性技术、知识产权运营、开源社区等公共服务平台（新闻来源：央视新闻）
           题材       分类  子类    代码     名称     涨幅                  理由               
    0   4月25日盘前必读  AI医疗     603716  塞力医疗   -4.0%   SPD业务营收占比第一，营收占比29.84%        
    1   4月25日盘前必读  AI医疗     603108  润达医疗  -3.38%   SPD项目中标数量16项                  
    2   4月25日盘前必读  跨境贸易     002930  宏川智慧  -1.72%   仓储服务营收A股第一，为12.07亿。公司具有公共保税仓服务
    3   4月25日盘前必读  跨境贸易     600794  保税科技    3.0%   仓储服务营收A股第二，为4.26亿；控股子公司从事保税仓储业
    4   4月25日盘前必读  跨境贸易     002492  恒基达鑫   6.26%   仓储服务营收A股第三，为1.97亿；公司向深圳海关申请设立寄
    5   4月25日盘前必读  商业航天     600343  航天动力  -0.63%   液体火箭发动机进度A股第一，公司隶属于航天科技集团旗下航天推
    6   4月25日盘前必读  商业航天     600501  航天晨光   2.92%   为液体火箭发动机提供金属软管产品              
    7   4月25日盘前必读  外贸出口     001222  源飞宠物   4.53%   外销占比第一，96.4%；主销欧美             
    8   4月25日盘前必读  外贸出口     001206  依依股份   9.98%  外销占比第二，95.07%；北美占比50%\n        
    9   4月25日盘前必读   房地产     000560  我爱我家    5.8%   房产经纪营收A股第一，104亿               
    10  4月25日盘前必读   房地产     002285  世联行：   1.72%   房产经纪营收A股第二，26.5亿              
    11  4月25日盘前必读  深海经济     002278  神开股份  -3.81%   老龙头，2025.3.12-2025.3.26区间涨幅110
    12  4月25日盘前必读  深海经济     002427  尤夫股份   9.95%   老龙头，2025.3.17-2025.3.27区间涨幅63.
2025-04-24 17:26:54 4月24日龙虎榜 8.08% 【龙虎榜】4月24日龙虎榜中上榜机构以及各路游资汇总
           题材       分类      子类      代码     名称     涨幅                  理由               
    0   4月24日龙虎榜  机构净买入前五         002094  青岛金王   2.24%   机构净买入金额第一，2.36亿，跨境支付          
    1   4月24日龙虎榜  机构净买入前五         603119  浙江荣泰   10.0%   机构净买入金额第二，1.14亿，3日榜；机器人概念     
    2   4月24日龙虎榜  机构净买入前五         301000  肇民科技  16.88%   机构净买入金额第三，0.93亿，3日榜；机器人概念+汽车零部
    3   4月24日龙虎榜  机构净买入前五         603676  卫信康：   8.78%   机构净买入金额第四，0.71亿，3日榜；维生素+制药    
    4   4月24日龙虎榜  机构净买入前五         605133  嵘泰股份   9.92%   机构净买入金额第五，0.62亿，3日榜；机器人+汽车零部件 
    5   4月24日龙虎榜      统帅级   炒股养家  301076  新瀚新材  19.99%   净买入0.11亿，单日榜；PEEK材料           
    6   4月24日龙虎榜      统帅级   炒股养家  603335  迪生力：  10.05%  净买入0.08亿，单日榜；铝合金轮毂+出口美国\n      
    7   4月24日龙虎榜      统帅级   炒股养家  300994  久祺股份  20.03%   净买入0.07亿，单日榜；两轮车+外销高占比        
    8   4月24日龙虎榜      统帅级   炒股养家  002634  棒杰股份   9.89%  净买入0.06亿，3日榜；服装+外销高占比\n        
    9   4月24日龙虎榜      统帅级    章盟主  603119  浙江荣泰   10.0%   净买入0.59亿，3日榜；机器人概念            
    10  4月24日龙虎榜      统帅级    章盟主  002537  海联金汇   9.95%   净买入0.53亿，单日榜；数字货币+跨境支付        
    11  4月24日龙虎榜      统帅级    章盟主  002251  步步高：  10.03%   净卖出0.09亿，单日榜；零售+摘帽            
    12  4月24日龙虎榜      统帅级    章盟主  301225  恒勃股份  -8.28%   净卖出0.17亿，单日榜；汽车零部件            
    13  4月24日龙虎榜      统帅级    章盟主  600794  保税科技    3.0%   净卖出0.22亿，单日榜；保税区+外贸物流         
    14  4月24日龙虎榜      统帅级    呼家楼  002537  海联金汇   9.95%   净买入2.21亿，单日榜；数字货币+跨境支付        
    15  4月24日龙虎榜      统帅级    呼家楼  002427  尤夫股份   9.95%   净卖出0.14亿，单日榜；涤纶工业丝            
    16  4月24日龙虎榜      新生代    N周二  002251  步步高：  10.03%   净卖出0.14亿，单日榜；零售+摘帽            
    17  4月24日龙虎榜      新生代    陈小群  603205  健尔康：  10.01%   净买入0.32亿，单日榜；医用敷料+外销占比高       
    18  4月24日龙虎榜      首板流    佛山系  603696  安记食品   9.98%   净买入0.16亿，单日榜；食品               
    19  4月24日龙虎榜      首板流    佛山系  000965  天保基建   9.92%   净卖出0.35亿，单日榜；房地产+参股空客天津厂      
    20  4月24日龙虎榜      首板流    消闲派  000965  天保基建   9.92%   净买入0.32亿，单日榜；房地产+参股空客天津厂      
    21  4月24日龙虎榜      首板流    消闲派  000510  新金路：   9.98%   净卖出0.27亿，3日榜；化工+石英概念          
    22  4月24日龙虎榜      首板流    消闲派  002094  青岛金王   2.24%   净卖出0.42亿，单日榜；跨境支付             
    23  4月24日龙虎榜      首板流    消闲派  002570  贝因美：    6.6%   净卖出0.50亿，单日榜；奶粉+多胎概念          
    24  4月24日龙虎榜      首板流    成都系  301509  金凯生科  20.02%   净买入0.15亿，单日榜；减肥药+一季度业绩增长      
    25  4月24日龙虎榜      首板流    成都系  301335  天元宠物  19.98%   净买入0.06亿，单日榜；宠物用品             
    26  4月24日龙虎榜      首板流    成都系  300267  尔康制药   20.0%   净卖出0.14亿，单日榜；制药+维生素           
    27  4月24日龙虎榜      首板流   中山东路  301076  新瀚新材  19.99%   净买入0.29亿，单日榜；PEEK材料           
