代码	名称	公告时间	类型	公告内容
603091	众鑫股份	2024-09-19	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.1亿元至2.5亿元，同比上升32.59%至57.85%，营业收入约11亿元至12亿元，同比上升14.39%至24.79%，扣非净利润约2.05亿元至2.45亿元，同比上升27.04%至51.83%
002166	莱茵生物	2024-09-20	业绩预告	预计2024年1-9月业绩预增，归属净利润约8180万元至1.023亿元，同比上升100.00%至150.00%，每股收益约0.11元至0.14元，扣非净利润约8077万元至1.012亿元，同比上升2132.80%至2698.11%
301522	上大股份	2024-09-20	业绩快报	2023年1-9月快报披露，营业总收入15.11亿元，归属净利润1.185亿元
301556	托普云农	2024-09-20	业绩快报	2023年1-9月快报披露，营业总收入3.023亿元，归属净利润6670万元
688545	兴福电子	2024-09-20	业绩快报	2023年1-9月快报披露，营业总收入6.34亿元，归属净利润1.047亿元
300401	花园生物	2024-09-23	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.32亿元至2.62亿元，同比上升55.77%至75.92%，扣非净利润约1.92亿元至2.22亿元，同比上升44.39%至66.96%
301551	无线传媒	2024-09-23	业绩预告	预计2024年1-12月业绩略减，归属净利润约2.2亿元至2.4亿元，同比下降15.46%至22.51%，营业收入约6.1亿元至6.3亿元，同比下降2.53%至5.62%，扣非净利润约2.1亿元至2.32亿元，同比下降13.96%至22.12%
301622	英思特	2024-09-23	业绩快报	2024年1-6月快报披露，营业总收入4.838亿元，归属净利润5566万元
688615	合合信息	2024-09-23	业绩预告	预计2024年1-9月业绩略增，归属净利润约2.908亿元至2.952亿元，同比上升5.00%至7.00%，营业收入约10.25亿元至10.85亿元，同比上升18.00%至25.00%，净利润约2.908亿元至2.952亿元，同比上升5.00%至7.00%，扣非净利润约2.659亿元至2.703亿元，同比上升3.00%至5.00%
603617	君禾股份	2024-09-25	业绩预告	预计2024年1-9月业绩预增，归属净利润约5600万元至6200万元，同比上升35.56%至50.09%，扣非净利润约5200万元至5600万元，同比上升139.34%至157.75%
833171	国航远洋	2024-09-25	业绩预告	预计2024年1-9月业绩预增，归属净利润约8100万元至9100万元，同比上升943.42%至1072.24%
002376	新北洋	2024-09-27	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约3005万元至3756万元，同比上升580.00%至700.00%，每股收益约0.05元至0.06元，扣非净利润约1574万元至2308万元，同比上升250.00%至320.00%
002472	双环传动	2024-09-27	业绩预告	预计2024年1-9月业绩略增，归属净利润约7.23亿元至7.43亿元，同比上升22.66%至26.05%，每股收益约0.84元至0.87元，扣非净利润约6.95亿元至7.15亿元，同比上升26.37%至30.01%
