ratio_down	count	up00-10	up10-20	up20-30	up30-++
00-05	92	0	35	33	24
05-10	89	0	53	23	13
10-20	66	22	32	10	2
20-30	16	10	5	0	1
30-++	3	2	1	0	0
代码	ratio_down	ratio_up
603258	0	13
001296	0	15
603706	0	20
300251	0	22
603619	0	30
301118	0	31
002197	1	10
600871	1	11
600475	1	11
600773	1	14
002506	1	17
603353	1	19
600604	1	19
600358	1	19
002492	1	20
300072	1	20
300969	1	21
605167	1	23
601975	1	25
600227	1	25
000968	1	25
002476	1	26
003015	1	26
601279	1	33
300962	1	33
002615	1	38
000822	2	11
600302	2	12
002150	2	13
002268	2	16
603920	2	16
002583	2	17
603222	2	17
600617	2	17
000159	2	18
603086	2	19
002208	2	19
002384	2	20
000519	2	21
000777	2	22
002741	2	22
300772	2	23
301158	2	25
603929	2	25
603215	2	26
300941	2	28
603982	2	30
300589	2	32
301312	2	32
300645	2	38
300462	2	43
300903	2	44
300414	2	54
300483	2	59
002269	3	10
000547	3	12
600405	3	14
002413	3	15
000555	3	19
600590	3	21
605580	3	22
603255	3	23
600478	3	26
000909	3	27
002805	3	27
002426	3	27
600570	3	28
301319	3	32
300698	3	43
300269	3	52
300157	3	58
002051	4	11
002799	4	13
002272	4	14
600955	4	15
003036	4	16
600992	4	17
002374	4	17
600876	4	18
002246	4	19
002210	4	20
002806	4	21
300767	4	23
600184	4	26
300291	4	27
300649	4	32
002074	4	34
300457	4	36
300410	4	36
002676	4	37
300531	4	44
300682	4	48
603559	5	10
600463	5	10
002542	5	10
603533	5	12
603685	5	13
002281	5	13
600775	5	15
002822	5	15
002073	5	16
002824	5	17
601519	5	17
003009	5	18
002626	5	18
601133	5	19
000973	5	19
301182	5	23
603616	5	24
300480	5	27
603007	5	27
601162	5	29
603200	5	31
603256	5	33
605378	5	33
301022	5	49
601121	6	10
600844	6	10
600379	6	11
002175	6	11
600201	6	12
002899	6	13
603161	6	13
002240	6	15
603918	6	16
002855	6	17
600816	6	17
000766	6	22
300515	6	26
301398	6	27
600241	6	33
301213	6	34
300730	6	35
300581	6	52
300695	6	53
002753	7	12
002115	7	13
000590	7	13
000995	7	13
605298	7	14
002067	7	14
002705	7	14
002820	7	15
000607	7	15
603688	7	16
002514	7	17
600734	7	17
002609	7	18
600391	7	19
000850	7	20
301038	7	21
603800	7	21
000065	7	21
002072	7	23
002167	7	23
301349	7	27
300429	7	28
301565	7	31
600666	7	33
300803	7	41
301421	7	42
002421	8	10
600599	8	11
603828	8	11
603120	8	13
002190	8	15
605128	8	15
003026	8	17
000572	8	17
603383	8	17
601177	8	19
000632	8	19
603579	8	21
000576	8	21
603228	8	23
002724	8	26
603316	8	27
000016	9	13
603136	9	16
603275	9	22
300753	9	29
001331	10	0
600265	10	0
600513	10	10
601908	10	11
600650	10	11
002562	10	12
603033	10	13
600592	10	13
603716	10	14
002453	10	14
002086	10	14
603377	10	15
600212	10	15
002355	10	15
002178	10	15
603226	10	17
600318	10	18
603232	10	22
600355	10	23
000561	10	25
300960	10	26
300810	10	40
000788	11	4
603257	11	13
002342	11	16
600243	11	18
601089	12	0
600608	12	0
601022	12	11
603065	12	13
002227	12	14
603119	12	18
603823	12	21
300872	12	25
600696	13	0
002291	13	4
002593	13	7
002278	13	14
000903	13	15
002513	14	5
603610	14	6
002780	14	10
000026	14	28
603587	15	0
000908	15	0
002391	15	3
002887	15	7
002040	15	12
603980	15	16
002868	15	21
002634	15	21
605199	16	0
002393	16	3
001896	16	6
603637	16	13
600156	16	14
603390	17	11
603032	17	23
300169	17	39
603838	18	0
600259	18	1
600800	18	12
601008	18	14
600421	19	0
000525	19	0
003032	19	0
603332	21	0
002630	21	0
002734	21	1
002253	21	10
600706	22	13
002427	23	12
002076	24	0
001278	24	6
002471	25	0
600250	25	16
000695	25	17
300368	25	42
002172	26	3
605198	27	2
600228	29	0
600107	29	0
600238	31	0
002231	36	0
000584	88	18
