"编码","题材","分类","子类","代码","名称","理由","备注"
"1","医药医疗","糖尿病","血糖仪","300562","乐心医疗","主要产品包括血糖仪，公司拥有健康 IoT 领域最全产品线，产","将健康 IoT、大数据与医疗深度融合，形成“健康 IoT+数"
"1","医药医疗","糖尿病","血糖仪","300298","三诺生物","血糖仪市占率A股第一，2021年线下零售端市占率超过50%，","专注于糖尿病慢病管理领域专家，国内血糖仪零售市场第一龙头，院"
"1","医药医疗","糖尿病","血糖仪","002223","鱼跃医疗","血糖仪市占率A股第二，2020年市占率5%（国内血糖仪OTC","国内家用医疗器械龙头                    "
"1","医药医疗","糖尿病","胰岛素","603087","甘李药业","三代胰岛素市场份额A股第一，15.3%           ","公司为唯一掌握产业化生产重组胰岛素类似物技术的中国企业   "
"1","医药医疗","糖尿病","胰岛素","600267","海正药业","三代胰岛素市场份额A股第二，2%              ","领先的原料药生产商，中国最大的抗生素、抗肿瘤药物生产商之一 "
"1","医药医疗","糖尿病","胰岛素","600867","通化东宝","三代胰岛素市场份额A股第三，1%              ","拥有的重组人胰岛素产品，填补了国内空白           "
"1","医药医疗","糖尿病","胰岛素","002019","亿帆医药","二代胰岛素市场份额6%                   ","主导泛酸系列产品，是拥有独家产品数量较多的国内医药企业之一 "
"1","医药医疗","糖尿病","胰岛素","603987","康德莱","国内首家切入胰岛素针的企业                 ","国内拥有完整医用穿刺器械产业链的综合性生产企业       "
"1","医药医疗","糖尿病","胰岛素","300003","乐普医疗","甘精胰岛素正在注册审批中                  ","国内心血管领域平台型企业，多方位布局提供整体解决方案。   "
"1","医药医疗","糖尿病","胰岛素","300298","三诺生物","胰岛素检测试剂盒、C肽/胰岛素复合质控品。         ","专注于糖尿病慢病管理领域专家，国内血糖仪零售市场第一龙头，院"
"1","医药医疗","糖尿病","胰岛素","600351","亚宝药业","与生物物理研究所联合开发口服胰岛素产品。          ","专利产品丁桂儿脐贴是国内儿童外用药第一品牌         "
"1","医药医疗","糖尿病","胰岛素","300255","常山药业","艾本那肽注射液开始三期临床                 ","从事肝素原料药和肝素制剂药品研发生产的龙头企业       "
"1","医药医疗","糖尿病","再生胰岛素","603222","济民健康","进度A股第一，胰岛移植治疗已进行3期临床          ","业务覆盖医疗服务、医疗器械和化学制药三大板块        "
"1","医药医疗","糖尿病","再生胰岛素","000518","四环生物","国内最早从事再生医药的企业                 ","主要产品EPO注射液、注射用白介素-2的市场认可度高    "
"1","医药医疗","心血管","药物","603998","方盛制药","心血管类药物营收占比19%，2021年营收2.98亿元。公司","集医药工业、医疗服务、大健康业务于一体的高品质、综合性、科研"
"1","医药医疗","心血管","药物","300630","*ST普利","心血管类药物营收占比17.64%，2021年营收2.66亿元","专业从事化学药物制剂研发、生产和销售的高新技术企业     "
"1","医药医疗","心血管","药物","002437","誉衡药业","心脑血管药物营收占比20.80%，2021年营收6.54亿元","产品领先的医药企业，产品由单一的骨科治疗领域向现有心脑血管等"
