"代码","名称","备注","涨幅","时间"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","0.38%","20250716"
"111","****","国内规模较大的十字轴万向节总成生产企业","11.91%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","0.38%","20250716"
"111","****","国内规模较大的十字轴万向节总成生产企业","11.91%","20250716"
"111","****","环保设备及工程、输变电高压瓷绝缘子、精密轴承行业优秀企业","-0.28%","20250717"
"111","****","专业化、规模化、一体化的综合包装企业","0.55%","20250717"
"111","****","国内生物试剂行业国内领先的科技公司之一","2.55%","20250717"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-8.18%","20250717"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","-0.37%","20250717"
"111","****","国内规模较大的十字轴万向节总成生产企业","-1.54%","20250717"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","20.02%","20250718"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","20.02%","20250718"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.17%","20250718"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.77%","20250718"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","20.02%","20250718"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","20.02%","20250718"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.17%","20250718"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.77%","20250718"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","20.02%","20250718"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","20.02%","20250718"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.17%","20250718"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.77%","20250718"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","1.21%","20250718"
"111","****","环保设备及工程、输变电高压瓷绝缘子、精密轴承行业优秀企业","-0.19%","20250718"
"111","****","专业化、规模化、一体化的综合包装企业","-0.27%","20250718"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.77%","20250718"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.5%","20250718"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","-0.94%","20250718"
"111","****","国内规模较大的十字轴万向节总成生产企业","7.32%","20250718"
"111","****","国内高端外科手术吻合器出口的领先企业","-0.12%","20250718"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.5%","20250718"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","20.02%","20250718"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","20.02%","20250718"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.17%","20250718"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.77%","20250718"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","1.21%","20250718"
"111","****","环保设备及工程、输变电高压瓷绝缘子、精密轴承行业优秀企业","-0.19%","20250718"
"111","****","专业化、规模化、一体化的综合包装企业","-0.27%","20250718"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.77%","20250718"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.5%","20250718"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","-0.94%","20250718"
"111","****","国内规模较大的十字轴万向节总成生产企业","7.32%","20250718"
"111","****","国内高端外科手术吻合器出口的领先企业","-0.12%","20250718"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.31%","20250721"
"111","****","国内老牌医药企业，核心品种新活素加速放量","7.82%","20250721"
"111","****","国内藏药龙头生产企业","10.01%","20250721"
"111","****","公司在妇科产品领域深耕多年，核心产品“洁尔阴洗液”在妇科炎症","-0.08%","20250721"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","16.5%","20250721"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","16.5%","20250721"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","-2.48%","20250721"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","-2.48%","20250721"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.99%","20250721"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.31%","20250721"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","2.4%","20250721"
"111","****","环保设备及工程、输变电高压瓷绝缘子、精密轴承行业优秀企业","3.26%","20250721"
"111","****","专业化、规模化、一体化的综合包装企业","1.1%","20250721"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.31%","20250721"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","4.3%","20250722"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.6%","20250722"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","13.98%","20250722"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","13.98%","20250722"
