"代码","名称","备注","涨幅","trade_date"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","0.38%","20250716"
"111","****","国内规模较大的十字轴万向节总成生产企业","11.91%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.26%","20250716"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","0.38%","20250716"
"111","****","国内规模较大的十字轴万向节总成生产企业","11.91%","20250716"
